x,y,u,v
35.24,-6.48,-136.35,53.19
40.17,-3.67,-136.35,53.19
32.84,5.33,-136.35,53.19
7.21,-8.73,-136.35,53.19
35.46,-4.40,-136.35,53.19
2.01,-2.12,-136.35,53.19
25.10,-2.10,-136.35,53.19
23.02,8.03,-136.35,53.19
34.60,-4.33,-136.35,53.19
53.36,-8.71,-136.35,53.19
44.34,-2.09,-136.35,53.19
19.39,-8.52,-136.35,53.19
25.60,6.18,-136.35,53.19
43.78,-3.81,-136.35,53.19
25.54,-0.39,-136.35,53.19
40.60,1.05,-136.35,53.19
21.33,6.00,-136.35,53.19
27.18,-2.55,-136.35,53.19
31.63,5.52,-136.35,53.19
25.47,-6.95,-136.35,53.19
46.48,-3.30,-136.35,53.19
25.23,1.94,-136.35,53.19
28.95,-1.76,-136.35,53.19
29.48,-0.45,-136.35,53.19
28.19,-6.17,-136.35,53.19
3.49,11.00,-136.35,53.19
29.41,8.43,-136.35,53.19
42.57,-1.35,-136.35,53.19
44.53,2.87,-136.35,53.19
2.97,1.86,-136.35,53.19
29.64,7.19,-136.35,53.19
40.24,2.81,-136.35,53.19
40.86,-2.25,-136.35,53.19
33.79,8.88,-136.35,53.19
18.48,-0.28,-136.35,53.19
41.75,-6.63,-136.35,53.19
20.96,-1.01,-136.35,53.19
17.02,6.44,-136.35,53.19
28.58,-1.20,-136.35,53.19
47.12,-0.14,-136.35,53.19
5.82,-4.28,-136.35,53.19
7.99,-2.23,-136.35,53.19
25.54,13.98,-136.35,53.19
4.74,6.71,-136.35,53.19
