x,y,u,v
46.80,-14.36,-17.52,6.83
35.24,-6.48,-5.96,2.33
50.78,-32.53,-21.50,8.39
40.17,-3.67,-10.89,4.25
32.84,5.33,-3.56,1.39
35.46,-4.40,-6.18,2.41
43.47,-22.32,-14.19,5.53
34.60,-4.33,-5.32,2.07
53.36,-8.71,-24.08,9.40
43.29,-12.78,-14.01,5.47
44.34,-2.09,-15.06,5.88
43.78,-3.81,-14.50,5.66
36.65,-11.95,-7.37,2.87
47.98,-14.17,-18.70,7.30
40.60,1.05,-11.32,4.42
40.69,-16.05,-11.41,4.45
31.63,5.52,-2.35,0.92
46.48,-3.30,-17.20,6.71
29.48,-0.45,-0.20,0.08
39.99,-11.63,-10.71,4.18
52.56,-16.27,-23.28,9.08
29.41,8.43,-0.13,0.05
42.57,-1.35,-13.29,5.19
46.56,-18.63,-17.28,6.74
44.53,2.87,-15.25,5.95
40.25,-12.79,-10.97,4.28
29.64,7.19,-0.36,0.14
40.24,2.81,-10.96,4.27
40.86,-2.25,-11.58,4.52
36.84,-17.29,-7.56,2.95
33.79,8.88,-4.51,1.76
41.75,-6.63,-12.47,4.87
47.12,-0.14,-17.84,6.96
50.00,-13.83,-20.72,8.08
