x,y,u,v
35.24,-6.48,-35.24,13.75
40.17,-3.67,-40.17,15.67
32.84,5.33,-32.84,12.81
7.21,-8.73,-7.21,2.81
35.46,-4.40,-35.46,13.83
2.01,-2.12,-2.01,0.78
25.10,-2.10,-25.10,9.79
23.02,8.03,-23.02,8.98
34.60,-4.33,-34.60,13.50
53.36,-8.71,-53.36,20.82
44.34,-2.09,-44.34,17.30
19.39,-8.52,-19.39,7.57
25.60,6.18,-25.60,9.99
43.78,-3.81,-43.78,17.08
25.54,-0.39,-25.54,9.96
40.60,1.05,-40.60,15.84
21.33,6.00,-21.33,8.32
27.18,-2.55,-27.18,10.60
31.63,5.52,-31.63,12.34
25.47,-6.95,-25.47,9.93
46.48,-3.30,-46.48,18.13
25.23,1.94,-25.23,9.84
28.95,-1.76,-28.95,11.29
29.48,-0.45,-29.48,11.50
28.19,-6.17,-28.19,11.00
3.49,11.00,-3.49,1.36
29.41,8.43,-29.41,11.47
42.57,-1.35,-42.57,16.61
44.53,2.87,-44.53,17.37
2.97,1.86,-2.97,1.16
29.64,7.19,-29.64,11.56
40.24,2.81,-40.24,15.70
40.86,-2.25,-40.86,15.94
33.79,8.88,-33.79,13.18
18.48,-0.28,-18.48,7.21
41.75,-6.63,-41.75,16.29
20.96,-1.01,-20.96,8.18
17.02,6.44,-17.02,6.64
28.58,-1.20,-28.58,11.15
47.12,-0.14,-47.12,18.38
5.82,-4.28,-5.82,2.27
7.99,-2.23,-7.99,3.12
25.54,13.98,-25.54,9.96
4.74,6.71,-4.74,1.85
