arm,group,removal,retention,sel
rand0-det_q60_alpha-0.375,random,0.3489,0.8663,0.2152
rand1-det_q60_alpha-0.375,random,0.1454,0.9285,0.0739
rand10-det_q60_alpha-0.375,random,0.163,0.9178,0.0808
rand11-det_q60_alpha-0.375,random,0.1132,0.9392,0.0524
rand12-det_q60_alpha-0.375,random,0.2015,0.9135,0.115
rand13-det_q60_alpha-0.375,random,0.324,0.8556,0.1796
rand14-det_q60_alpha-0.375,random,0.3022,0.8706,0.1728
rand15-det_q60_alpha-0.375,random,0.2669,0.8813,0.1482
rand16-det_q60_alpha-0.375,random,0.2316,0.8978,0.1294
rand17-det_q60_alpha-0.375,random,0.216,0.9071,0.1231
rand18-det_q60_alpha-0.375,random,0.2876,0.8842,0.1718
rand19-det_q60_alpha-0.375,random,0.1786,0.9178,0.0964
rand2-det_q60_alpha-0.375,random,0.1776,0.9242,0.1018
rand20-det_q60_alpha-0.375,random,0.4403,0.8313,0.2716
rand21-det_q60_alpha-0.375,random,0.2793,0.8978,0.1771
rand22-det_q60_alpha-0.375,random,0.1755,0.9207,0.0962
rand23-det_q60_alpha-0.375,random,0.1371,0.9207,0.0577
rand24-det_q60_alpha-0.375,random,0.3655,0.8485,0.214
rand25-det_q60_alpha-0.375,random,0.1038,0.9342,0.0381
rand26-det_q60_alpha-0.375,random,0.2264,0.8956,0.122
rand27-det_q60_alpha-0.375,random,0.325,0.8706,0.1956
rand28-det_q60_alpha-0.375,random,0.2253,0.8906,0.116
rand29-det_q60_alpha-0.375,random,0.1101,0.9264,0.0364
rand3-det_q60_alpha-0.375,random,0.2004,0.9271,0.1275
rand30-det_q60_alpha-0.375,random,0.2471,0.8985,0.1456
rand31-det_q60_alpha-0.375,random,0.1298,0.9335,0.0633
rand32-det_q60_alpha-0.375,random,0.2056,0.9028,0.1084
rand33-det_q60_alpha-0.375,random,0.3198,0.867,0.1869
rand34-det_q60_alpha-0.375,random,0.1589,0.9164,0.0752
rand35-det_q60_alpha-0.375,random,0.2212,0.8949,0.1161
rand36-det_q60_alpha-0.375,random,0.2357,0.8914,0.1271
rand37-det_q60_alpha-0.375,random,0.1589,0.9271,0.086
rand38-det_q60_alpha-0.375,random,0.1537,0.9164,0.0701
rand39-det_q60_alpha-0.375,random,0.3188,0.8742,0.193
rand4-det_q60_alpha-0.375,random,0.217,0.9035,0.1205
rand40-det_q60_alpha-0.375,random,0.1745,0.9278,0.1023
rand41-det_q60_alpha-0.375,random,0.135,0.9178,0.0528
rand42-det_q60_alpha-0.375,random,0.162,0.9285,0.0905
rand43-det_q60_alpha-0.375,random,0.2118,0.9099,0.1218
rand44-det_q60_alpha-0.375,random,0.1973,0.9178,0.1151
rand45-det_q60_alpha-0.375,random,0.2586,0.8999,0.1585
rand46-det_q60_alpha-0.375,random,0.161,0.9221,0.083
rand47-det_q60_alpha-0.375,random,0.2004,0.9006,0.1011
rand48-det_q60_alpha-0.375,random,0.1973,0.9228,0.1201
rand49-det_q60_alpha-0.375,random,0.2212,0.9049,0.1261
rand5-det_q60_alpha-0.375,random,0.1838,0.9114,0.0952
