arm,group,removal,retention,sel
rand0-det_q30_alpha-0.25,random,0.3377,0.8564,0.1941
rand1-det_q30_alpha-0.25,random,0.2325,0.9269,0.1594
rand10-det_q30_alpha-0.25,random,0.193,0.9269,0.1199
rand11-det_q30_alpha-0.25,random,0.2193,0.9295,0.1488
rand12-det_q30_alpha-0.25,random,0.2237,0.9192,0.1429
rand13-det_q30_alpha-0.25,random,0.3596,0.8782,0.2379
rand14-det_q30_alpha-0.25,random,0.2851,0.8923,0.1774
rand15-det_q30_alpha-0.25,random,0.2807,0.9128,0.1935
rand16-det_q30_alpha-0.25,random,0.2368,0.9192,0.1561
rand17-det_q30_alpha-0.25,random,0.2281,0.9128,0.1409
rand18-det_q30_alpha-0.25,random,0.25,0.9077,0.1577
rand19-det_q30_alpha-0.25,random,0.2675,0.9192,0.1868
rand2-det_q30_alpha-0.25,random,0.2105,0.9282,0.1387
rand20-det_q30_alpha-0.25,random,0.3377,0.8744,0.2121
rand21-det_q30_alpha-0.25,random,0.2588,0.8987,0.1575
rand22-det_q30_alpha-0.25,random,0.2018,0.9269,0.1287
rand23-det_q30_alpha-0.25,random,0.2105,0.9295,0.14
rand24-det_q30_alpha-0.25,random,0.3509,0.8705,0.2214
rand25-det_q30_alpha-0.25,random,0.1754,0.95,0.1254
rand26-det_q30_alpha-0.25,random,0.2588,0.9115,0.1703
rand27-det_q30_alpha-0.25,random,0.3333,0.8962,0.2295
rand28-det_q30_alpha-0.25,random,0.2719,0.9064,0.1783
rand29-det_q30_alpha-0.25,random,0.2149,0.9423,0.1572
rand3-det_q30_alpha-0.25,random,0.2281,0.9282,0.1563
rand30-det_q30_alpha-0.25,random,0.2149,0.9,0.1149
rand31-det_q30_alpha-0.25,random,0.1842,0.9436,0.1278
rand32-det_q30_alpha-0.25,random,0.2368,0.9026,0.1394
rand33-det_q30_alpha-0.25,random,0.3114,0.8897,0.2011
rand34-det_q30_alpha-0.25,random,0.2193,0.9423,0.1616
rand35-det_q30_alpha-0.25,random,0.2325,0.9244,0.1568
rand36-det_q30_alpha-0.25,random,0.2544,0.909,0.1634
rand37-det_q30_alpha-0.25,random,0.1974,0.9538,0.1512
rand38-det_q30_alpha-0.25,random,0.2018,0.9372,0.1389
rand39-det_q30_alpha-0.25,random,0.2807,0.9077,0.1884
rand4-det_q30_alpha-0.25,random,0.2588,0.9192,0.178
rand40-det_q30_alpha-0.25,random,0.2018,0.9308,0.1325
rand41-det_q30_alpha-0.25,random,0.2193,0.9346,0.1539
rand42-det_q30_alpha-0.25,random,0.2193,0.9321,0.1513
rand43-det_q30_alpha-0.25,random,0.2632,0.9179,0.1811
rand44-det_q30_alpha-0.25,random,0.2237,0.9026,0.1262
rand45-det_q30_alpha-0.25,random,0.2325,0.9269,0.1594
rand46-det_q30_alpha-0.25,random,0.2281,0.9333,0.1614
rand47-det_q30_alpha-0.25,random,0.25,0.9064,0.1564
rand48-det_q30_alpha-0.25,random,0.2193,0.9256,0.1449
rand49-det_q30_alpha-0.25,random,0.2105,0.9128,0.1233
rand5-det_q30_alpha-0.25,random,0.1974,0.9372,0.1345
rand50-det_q30_alpha-0.25,random,0.3728,0.8321,0.2049
rand51-det_q30_alpha-0.25,random,0.2412,0.9423,0.1835
rand52-det_q30_alpha-0.25,random,0.2325,0.9295,0.1619
rand53-det_q30_alpha-0.25,random,0.3421,0.8744,0.2165
rand54-det_q30_alpha-0.25,random,0.3246,0.8897,0.2143
rand55-det_q30_alpha-0.25,random,0.2456,0.9359,0.1815
rand56-det_q30_alpha-0.25,random,0.1711,0.9385,0.1095
rand57-det_q30_alpha-0.25,random,0.3333,0.8974,0.2308
rand58-det_q30_alpha-0.25,random,0.2325,0.9244,0.1568
rand59-det_q30_alpha-0.25,random,0.3465,0.8731,0.2196
rand6-det_q30_alpha-0.25,random,0.2237,0.9218,0.1455
rand60-det_q30_alpha-0.25,random,0.2237,0.9436,0.1673
rand61-det_q30_alpha-0.25,random,0.2456,0.9244,0.17
rand62-det_q30_alpha-0.25,random,0.3596,0.8744,0.234
rand63-det_q30_alpha-0.25,random,0.193,0.9244,0.1173
rand64-det_q30_alpha-0.25,random,0.3158,0.8795,0.1953
rand65-det_q30_alpha-0.25,random,0.2544,0.909,0.1634
rand66-det_q30_alpha-0.25,random,0.2632,0.8885,0.1516
rand67-det_q30_alpha-0.25,random,0.3246,0.8731,0.1976
rand68-det_q30_alpha-0.25,random,0.2061,0.9231,0.1292
rand69-det_q30_alpha-0.25,random,0.1886,0.9436,0.1322
rand7-det_q30_alpha-0.25,random,0.3772,0.8462,0.2233
rand70-det_q30_alpha-0.25,random,0.2719,0.9141,0.186
rand71-det_q30_alpha-0.25,random,0.3026,0.9038,0.2065
rand72-det_q30_alpha-0.25,random,0.4079,0.8487,0.2566
rand73-det_q30_alpha-0.25,random,0.2807,0.8974,0.1781
rand74-det_q30_alpha-0.25,random,0.2456,0.9179,0.1636
rand75-det_q30_alpha-0.25,random,0.2763,0.9013,0.1776
rand76-det_q30_alpha-0.25,random,0.2281,0.9205,0.1486
rand77-det_q30_alpha-0.25,random,0.2325,0.9115,0.144
rand78-det_q30_alpha-0.25,random,0.2939,0.8795,0.1733
rand79-det_q30_alpha-0.25,random,0.2719,0.9141,0.186
rand8-det_q30_alpha-0.25,random,0.2675,0.9064,0.174
rand80-det_q30_alpha-0.25,random,0.3333,0.8821,0.2154
rand81-det_q30_alpha-0.25,random,0.1798,0.9231,0.1029
rand82-det_q30_alpha-0.25,random,0.2105,0.9115,0.1221
rand83-det_q30_alpha-0.25,random,0.2807,0.9038,0.1845
rand84-det_q30_alpha-0.25,random,0.2675,0.9077,0.1752
rand85-det_q30_alpha-0.25,random,0.2368,0.8987,0.1356
rand86-det_q30_alpha-0.25,random,0.2544,0.9231,0.1775
rand87-det_q30_alpha-0.25,random,0.307,0.8795,0.1865
rand88-det_q30_alpha-0.25,random,0.2325,0.9282,0.1607
rand89-det_q30_alpha-0.25,random,0.3202,0.8833,0.2035
rand9-det_q30_alpha-0.25,random,0.2325,0.9141,0.1466
rand90-det_q30_alpha-0.25,random,0.1974,0.9577,0.1551
rand91-det_q30_alpha-0.25,random,0.1842,0.9308,0.115
rand92-det_q30_alpha-0.25,random,0.2193,0.9295,0.1488
rand93-det_q30_alpha-0.25,random,0.2281,0.9038,0.1319
rand94-det_q30_alpha-0.25,random,0.364,0.8615,0.2256
rand95-det_q30_alpha-0.25,random,0.1974,0.9449,0.1422
rand96-det_q30_alpha-0.25,random,0.2325,0.941,0.1735
rand97-det_q30_alpha-0.25,random,0.2018,0.9077,0.1094
rand98-det_q30_alpha-0.25,random,0.3728,0.8615,0.2343
rand99-det_q30_alpha-0.25,random,0.2807,0.9128,0.1935
