x,y
44.77,-15.89
29.98,-0.60
36.88,-19.89
31.40,2.75
47.45,-28.31
41.88,-13.11
42.75,-12.18
40.23,-17.93
50.78,-32.53
28.81,3.33
30.07,-1.36
31.41,4.45
45.19,-2.59
40.25,-12.79
44.65,-25.50
24.74,4.03
47.81,-11.03
31.27,-7.20
36.41,-7.52
40.86,-10.08
13.70,-18.47
40.86,-2.25
45.43,-10.03
45.67,-4.20
31.95,4.22
48.31,-9.76
32.07,-11.53
51.53,-13.83
30.14,0.10
48.79,-9.37
45.03,-15.90
29.32,-4.91
52.29,-20.61
56.38,-25.56
27.97,-2.94
48.84,-2.67
58.40,-27.93
35.67,-2.67
36.97,-17.43
54.85,-29.40
45.53,-18.34
32.45,-7.79
40.69,-16.05
35.81,-3.47
46.03,-11.46
20.80,-12.20
34.20,-4.41
41.36,4.90
46.58,-18.49
40.22,-4.98
47.75,-30.78
35.24,-3.10
25.85,-5.30
55.54,-21.96
40.43,-15.48
30.75,-2.95
32.32,0.77
31.79,3.48
34.29,-5.01
47.50,-24.61
33.77,-0.55
56.92,-26.06
46.56,-18.63
53.38,-17.18
48.15,-21.93
45.21,-19.43
33.22,1.73
44.06,-10.40
34.79,-17.55
53.36,-8.71
55.37,-17.60
40.21,-4.61
54.56,-15.70
31.62,0.67
42.57,-1.35
47.80,-20.58
28.95,-1.76
48.33,-5.09
48.26,-8.01
54.55,-24.36
44.97,-18.14
45.89,-22.28
43.47,-22.32
43.15,-6.58
21.47,1.58
46.54,-13.40
43.78,-3.81
24.13,10.25
52.56,-16.27
47.99,-10.72
40.09,-17.94
24.71,3.00
48.71,-27.45
37.89,-6.34
38.49,0.23
46.24,-17.81
33.41,-12.36
42.33,-13.37
41.42,1.20
43.55,-1.68
39.79,-1.65
