x,y
20.37,2.98
4.74,6.71
43.18,-8.55
31.59,11.26
31.63,5.52
3.53,3.65
23.76,-4.24
12.48,-13.51
47.45,-20.75
28.49,-3.68
26.07,7.17
13.22,-16.09
14.06,0.96
11.03,-14.03
34.29,3.15
40.31,-7.49
28.20,13.21
43.29,-12.78
18.74,-8.61
37.74,-21.03
44.68,-8.50
30.71,13.93
20.79,11.16
7.49,-3.11
6.79,-6.28
32.29,-1.05
29.41,8.43
41.59,-21.75
53.14,-22.44
33.46,10.82
21.32,2.55
13.30,4.75
39.64,-4.47
44.50,-0.68
34.07,-0.12
25.54,-0.39
39.84,-23.46
40.17,-3.67
28.69,6.65
29.87,-4.54
34.02,-9.31
0.83,4.99
44.34,-2.09
39.14,-24.42
42.42,-11.89
7.99,-2.23
29.45,-0.22
35.31,4.93
10.35,4.59
37.19,-11.16
45.87,-6.77
23.02,8.03
42.32,-0.95
37.35,-6.43
35.22,-7.32
43.47,-4.35
31.16,-6.24
35.24,-6.48
31.34,-0.57
23.98,-0.60
34.68,-5.01
28.19,-6.17
24.61,14.37
45.11,-13.66
35.91,-0.10
7.21,-8.73
32.12,-1.89
51.23,-24.16
14.82,7.05
17.06,-1.66
12.47,-8.23
36.65,-11.95
49.83,-16.31
22.01,-0.95
28.45,6.92
15.53,3.35
48.17,-12.50
24.96,-0.63
47.98,-14.17
26.62,6.74
3.49,11.00
17.86,6.27
37.65,0.46
42.95,-25.60
30.50,2.59
27.74,-3.62
41.09,-4.12
1.86,6.59
35.90,-11.75
39.38,-11.97
35.02,2.76
17.51,13.57
38.02,3.06
27.53,5.25
41.59,-10.28
25.54,13.98
9.44,-11.61
18.48,-0.28
15.01,2.65
41.40,3.06
27.86,-7.82
47.33,-6.26
37.45,-4.46
19.39,-8.52
8.17,-10.65
36.33,-6.15
42.67,-4.49
25.78,-0.26
