x,y
17.02,6.44
45.62,-14.95
41.03,-7.82
15.18,5.97
37.24,-5.76
-4.84,14.97
0.22,0.83
37.12,-13.90
39.24,-12.85
50.65,-26.00
28.67,4.07
43.81,-7.52
39.64,-10.88
21.33,6.00
20.88,1.11
40.09,-2.57
21.69,2.89
33.06,0.26
40.60,1.05
9.46,-5.67
32.24,-0.91
36.53,6.06
41.44,1.54
37.37,-0.60
8.06,12.10
9.79,10.29
43.31,-12.09
34.75,1.70
22.85,4.51
43.90,-8.27
43.56,-12.60
3.07,1.27
34.15,1.50
34.60,-4.33
18.78,2.96
36.59,-1.32
23.27,1.57
1.25,5.81
22.65,2.73
5.82,-4.28
2.97,1.86
46.86,-10.93
19.53,7.22
11.79,3.69
15.50,4.11
17.92,-4.06
2.01,-2.12
40.51,-1.75
46.48,-3.30
46.06,-9.45
39.02,-10.93
48.17,-4.48
29.48,-0.45
9.46,5.87
24.10,2.57
46.80,-14.36
18.45,-14.12
20.41,-5.80
35.46,-4.40
11.99,-8.57
51.72,-7.78
37.31,-3.79
-4.51,23.17
46.38,-7.80
-4.23,5.96
31.42,-4.79
31.99,-1.48
20.21,4.28
35.63,-2.14
6.70,3.60
25.23,1.94
24.83,3.83
21.12,1.08
25.51,11.13
30.48,6.31
31.43,0.71
7.95,2.82
36.75,5.37
14.28,-3.97
32.91,-7.98
29.64,7.19
27.44,-0.42
46.97,-5.69
29.97,6.70
12.35,-9.11
7.85,12.34
10.33,7.38
46.37,-10.45
30.33,0.94
2.95,-0.54
28.58,-1.20
37.80,-3.49
25.26,-1.58
58.38,-18.39
20.96,-1.01
25.92,16.56
30.17,12.32
29.19,-6.21
22.77,-2.08
29.79,-0.77
41.75,-6.63
38.90,-12.34
18.15,-1.84
23.56,-5.28
25.47,-6.95
31.24,6.50
16.04,0.12
0.59,3.15
38.58,-9.85
19.81,2.41
32.53,-0.74
27.18,-2.55
30.63,-10.71
41.61,-1.09
55.60,-30.23
3.55,-2.61
41.62,-3.97
39.88,-9.14
26.15,11.28
0.81,1.65
13.24,10.99
