x,y
40.24,2.81
33.35,2.00
52.86,-22.68
47.34,-13.96
31.79,-1.74
13.38,12.75
29.04,9.40
25.60,6.18
33.30,6.18
38.49,-6.71
38.67,-2.31
38.15,0.70
46.40,-9.00
36.97,-1.71
42.38,-5.42
29.60,7.34
47.02,-8.11
28.67,7.97
25.57,5.09
28.98,3.87
40.11,-1.69
45.07,0.51
26.01,7.86
56.35,-14.58
42.11,2.45
39.99,-11.63
38.42,-6.40
44.57,-11.07
50.00,-13.83
43.18,-2.13
27.77,9.02
41.44,-5.50
34.71,1.90
38.05,-7.72
30.79,4.52
33.79,8.88
41.35,0.46
37.03,2.61
44.01,2.78
47.67,-6.83
29.08,8.24
35.96,-4.46
25.10,-2.10
44.43,5.13
47.12,-0.14
40.33,-5.12
11.07,7.85
32.84,5.33
53.81,-10.57
44.53,2.87
43.20,-10.14
36.74,-5.69
45.30,1.85
27.99,10.01
36.34,5.02
35.67,4.70
28.67,11.95
19.13,7.02
39.52,-6.45
40.27,-9.80
43.47,-2.05
38.79,-0.22
39.38,-4.64
36.84,-17.29
47.71,-13.06
32.21,5.96
27.93,-4.29
32.13,0.82
45.77,-2.95
21.14,7.81
