x,y,state
17.02,6.44,nonconfident_wrong
45.62,-14.95,nonconfident_wrong
41.03,-7.82,nonconfident_wrong
44.77,-15.89,confident_right
15.18,5.97,nonconfident_wrong
37.24,-5.76,nonconfident_wrong
-4.84,14.97,nonconfident_wrong
40.24,2.81,overconfident_wrong
29.98,-0.60,confident_right
0.22,0.83,nonconfident_wrong
33.35,2.00,overconfident_wrong
36.88,-19.89,confident_right
37.12,-13.90,nonconfident_wrong
31.40,2.75,confident_right
47.45,-28.31,confident_right
41.88,-13.11,confident_right
39.24,-12.85,nonconfident_wrong
42.75,-12.18,confident_right
40.23,-17.93,confident_right
52.86,-22.68,overconfident_wrong
50.78,-32.53,confident_right
20.37,2.98,nonconfident_right
28.81,3.33,confident_right
47.34,-13.96,overconfident_wrong
50.65,-26.00,nonconfident_wrong
28.67,4.07,nonconfident_wrong
31.79,-1.74,overconfident_wrong
30.07,-1.36,confident_right
31.41,4.45,confident_right
45.19,-2.59,confident_right
13.38,12.75,overconfident_wrong
40.25,-12.79,confident_right
4.74,6.71,nonconfident_right
44.65,-25.50,confident_right
43.18,-8.55,nonconfident_right
31.59,11.26,nonconfident_right
24.74,4.03,confident_right
31.63,5.52,nonconfident_right
47.81,-11.03,confident_right
43.81,-7.52,nonconfident_wrong
3.53,3.65,nonconfident_right
39.64,-10.88,nonconfident_wrong
31.27,-7.20,confident_right
29.04,9.40,overconfident_wrong
36.41,-7.52,confident_right
40.86,-10.08,confident_right
13.70,-18.47,confident_right
40.86,-2.25,confident_right
25.60,6.18,overconfident_wrong
23.76,-4.24,nonconfident_right
21.33,6.00,nonconfident_wrong
12.48,-13.51,nonconfident_right
47.45,-20.75,nonconfident_right
28.49,-3.68,nonconfident_right
33.30,6.18,overconfident_wrong
45.43,-10.03,confident_right
26.07,7.17,nonconfident_right
13.22,-16.09,nonconfident_right
14.06,0.96,nonconfident_right
20.88,1.11,nonconfident_wrong
11.03,-14.03,nonconfident_right
38.49,-6.71,overconfident_wrong
38.67,-2.31,overconfident_wrong
40.09,-2.57,nonconfident_wrong
