arm,group,removal,retention
probe_q50_add-0.5,pts,0.7273,0.7984
post_q50_add-1.0,pts_posthoc,0.9113,0.812
add-0.125,shift,0.4368,0.8586
add-0.25,shift,0.6608,0.7576
add-0.5,shift,0.8958,0.5785
add-0.75,shift,0.9379,0.4455
add-1.0,shift,0.9601,0.3414
prompt,baseline,0.4213,0.6827
cast_q30_add-0.5,cast,0.8115,0.7037
rand0_probe_q50_add-0.5,random,0.388,0.8372
rand1_probe_q50_add-0.5,random,0.2594,0.8565
rand2_probe_q50_add-0.5,random,0.3259,0.8812
rand3_probe_q50_add-0.5,random,0.1752,0.8419
rand4_probe_q50_add-0.5,random,0.1286,0.8419
rand5_probe_q50_add-0.5,random,0.1596,0.8429
rand6_probe_q50_add-0.5,random,0.0998,0.8314
rand7_probe_q50_add-0.5,random,0.4346,0.8759
rand8_probe_q50_add-0.5,random,0.235,0.8539
rand9_probe_q50_add-0.5,random,0.4723,0.8513
rand10_probe_q50_add-0.5,random,0.3104,0.8351
rand11_probe_q50_add-0.5,random,0.1796,0.8424
rand12_probe_q50_add-0.5,random,0.1774,0.8534
rand13_probe_q50_add-0.5,random,0.184,0.8236
rand14_probe_q50_add-0.5,random,0.3016,0.8712
rand15_probe_q50_add-0.5,random,0.1641,0.8377
rand16_probe_q50_add-0.5,random,0.2927,0.8712
rand17_probe_q50_add-0.5,random,0.2594,0.8497
rand18_probe_q50_add-0.5,random,0.1197,0.8031
rand19_probe_q50_add-0.5,random,0.1353,0.8408
rand20_probe_q50_add-0.5,random,0.1308,0.822
rand21_probe_q50_add-0.5,random,0.4302,0.8387
rand22_probe_q50_add-0.5,random,0.1973,0.8534
rand23_probe_q50_add-0.5,random,0.2882,0.8529
rand24_probe_q50_add-0.5,random,0.388,0.878
rand25_probe_q50_add-0.5,random,0.1353,0.823
rand26_probe_q50_add-0.5,random,0.1619,0.8178
rand27_probe_q50_add-0.5,random,0.2971,0.8712
rand28_probe_q50_add-0.5,random,0.122,0.855
rand29_probe_q50_add-0.5,random,0.3836,0.8723
rand30_probe_q50_add-0.5,random,0.2683,0.8016
rand31_probe_q50_add-0.5,random,0.2461,0.844
rand32_probe_q50_add-0.5,random,0.5166,0.8382
rand33_probe_q50_add-0.5,random,0.1131,0.7927
rand34_probe_q50_add-0.5,random,0.1973,0.8628
rand35_probe_q50_add-0.5,random,0.2483,0.8675
rand36_probe_q50_add-0.5,random,0.4457,0.8393
rand37_probe_q50_add-0.5,random,0.0953,0.7885
rand38_probe_q50_add-0.5,random,0.1375,0.8534
rand39_probe_q50_add-0.5,random,0.2705,0.8613
rand40_probe_q50_add-0.5,random,0.2106,0.8346
rand41_probe_q50_add-0.5,random,0.1308,0.8183
rand42_probe_q50_add-0.5,random,0.337,0.8288
rand43_probe_q50_add-0.5,random,0.1086,0.8241
rand44_probe_q50_add-0.5,random,0.2151,0.8702
rand45_probe_q50_add-0.5,random,0.1996,0.8628
rand46_probe_q50_add-0.5,random,0.0843,0.7995
rand47_probe_q50_add-0.5,random,0.5344,0.8209
rand48_probe_q50_add-0.5,random,0.3836,0.8314
rand49_probe_q50_add-0.5,random,0.3126,0.8586
rand50_probe_q50_add-0.5,random,0.3348,0.8298
rand51_probe_q50_add-0.5,random,0.1375,0.8251
rand52_probe_q50_add-0.5,random,0.122,0.8199
rand53_probe_q50_add-0.5,random,0.3681,0.8508
rand54_probe_q50_add-0.5,random,0.2772,0.8513
rand55_probe_q50_add-0.5,random,0.4146,0.8424
rand56_probe_q50_add-0.5,random,0.1641,0.8314
rand57_probe_q50_add-0.5,random,0.2373,0.8482
rand58_probe_q50_add-0.5,random,0.1441,0.8435
rand59_probe_q50_add-0.5,random,0.2905,0.8524
rand60_probe_q50_add-0.5,random,0.2306,0.8618
rand61_probe_q50_add-0.5,random,0.2528,0.8634
rand62_probe_q50_add-0.5,random,0.2262,0.8471
rand63_probe_q50_add-0.5,random,0.2306,0.8618
rand64_probe_q50_add-0.5,random,0.1552,0.8335
rand65_probe_q50_add-0.5,random,0.2239,0.8445
rand66_probe_q50_add-0.5,random,0.4656,0.8476
rand67_probe_q50_add-0.5,random,0.2727,0.8634
rand68_probe_q50_add-0.5,random,0.2727,0.8272
rand69_probe_q50_add-0.5,random,0.1441,0.8508
rand70_probe_q50_add-0.5,random,0.2328,0.8565
rand71_probe_q50_add-0.5,random,0.3259,0.8513
rand72_probe_q50_add-0.5,random,0.255,0.8209
rand73_probe_q50_add-0.5,random,0.4324,0.8607
rand74_probe_q50_add-0.5,random,0.1885,0.8424
rand75_probe_q50_add-0.5,random,0.2417,0.8665
rand76_probe_q50_add-0.5,random,0.1375,0.833
