arm,group,removal,retention
probe_q50_add-0.75,pts,0.7353,0.7845
post_q70_add-1.0,pts_posthoc,0.8824,0.8298
add-0.5,shift,0.7059,0.7229
prompt,baseline,0.7157,0.7032
cast_q30_add-0.5,cast,0.6373,0.8087
rand0_probe_q50_add-0.75,random,0.3725,0.8703
rand1_probe_q50_add-0.75,random,0.3627,0.8671
rand2_probe_q50_add-0.75,random,0.4608,0.866
rand3_probe_q50_add-0.75,random,0.3922,0.871
rand4_probe_q50_add-0.75,random,0.3824,0.8425
rand5_probe_q50_add-0.75,random,0.402,0.8671
rand6_probe_q50_add-0.75,random,0.5098,0.8509
rand7_probe_q50_add-0.75,random,0.402,0.865
rand8_probe_q50_add-0.75,random,0.3627,0.8594
rand9_probe_q50_add-0.75,random,0.3627,0.8636
rand10_probe_q50_add-0.75,random,0.3235,0.8667
rand11_probe_q50_add-0.75,random,0.4216,0.8629
rand12_probe_q50_add-0.75,random,0.3333,0.8632
rand13_probe_q50_add-0.75,random,0.4412,0.8625
rand14_probe_q50_add-0.75,random,0.4412,0.8625
rand15_probe_q50_add-0.75,random,0.3333,0.8485
rand16_probe_q50_add-0.75,random,0.3824,0.8474
rand17_probe_q50_add-0.75,random,0.4314,0.8583
rand18_probe_q50_add-0.75,random,0.3725,0.8492
rand19_probe_q50_add-0.75,random,0.4216,0.8597
rand20_probe_q50_add-0.75,random,0.4216,0.8615
rand21_probe_q50_add-0.75,random,0.5098,0.8516
rand22_probe_q50_add-0.75,random,0.3039,0.8579
rand23_probe_q50_add-0.75,random,0.4412,0.866
rand24_probe_q50_add-0.75,random,0.4118,0.8653
rand25_probe_q50_add-0.75,random,0.2941,0.8516
rand26_probe_q50_add-0.75,random,0.5098,0.8629
rand27_probe_q50_add-0.75,random,0.3922,0.8639
rand28_probe_q50_add-0.75,random,0.4314,0.8692
rand29_probe_q50_add-0.75,random,0.4118,0.853
rand30_probe_q50_add-0.75,random,0.4216,0.8639
rand31_probe_q50_add-0.75,random,0.4118,0.8773
rand32_probe_q50_add-0.75,random,0.3333,0.8541
rand33_probe_q50_add-0.75,random,0.4216,0.852
rand34_probe_q50_add-0.75,random,0.3725,0.8727
rand35_probe_q50_add-0.75,random,0.3235,0.8548
rand36_probe_q50_add-0.75,random,0.3824,0.8544
rand37_probe_q50_add-0.75,random,0.3725,0.8594
rand38_probe_q50_add-0.75,random,0.3235,0.8481
rand39_probe_q50_add-0.75,random,0.3725,0.8467
rand40_probe_q50_add-0.75,random,0.4412,0.8755
rand41_probe_q50_add-0.75,random,0.2745,0.8586
rand42_probe_q50_add-0.75,random,0.3039,0.8404
rand43_probe_q50_add-0.75,random,0.4412,0.8667
rand44_probe_q50_add-0.75,random,0.402,0.8558
rand45_probe_q50_add-0.75,random,0.3922,0.8699
rand46_probe_q50_add-0.75,random,0.402,0.8685
rand47_probe_q50_add-0.75,random,0.4706,0.8706
rand48_probe_q50_add-0.75,random,0.2647,0.866
rand49_probe_q50_add-0.75,random,0.4314,0.8597
rand50_probe_q50_add-0.75,random,0.4216,0.8485
rand51_probe_q50_add-0.75,random,0.3529,0.8502
rand52_probe_q50_add-0.75,random,0.3824,0.8745
rand53_probe_q50_add-0.75,random,0.3627,0.8555
rand54_probe_q50_add-0.75,random,0.3922,0.8506
rand55_probe_q50_add-0.75,random,0.3431,0.8769
rand56_probe_q50_add-0.75,random,0.3922,0.8551
rand57_probe_q50_add-0.75,random,0.3039,0.8467
rand58_probe_q50_add-0.75,random,0.3333,0.8435
rand59_probe_q50_add-0.75,random,0.3725,0.8509
rand60_probe_q50_add-0.75,random,0.4314,0.8695
rand61_probe_q50_add-0.75,random,0.3824,0.8678
rand62_probe_q50_add-0.75,random,0.4118,0.8622
rand63_probe_q50_add-0.75,random,0.3431,0.8618
rand64_probe_q50_add-0.75,random,0.4314,0.8506
rand65_probe_q50_add-0.75,random,0.4412,0.8727
rand66_probe_q50_add-0.75,random,0.3725,0.8565
rand67_probe_q50_add-0.75,random,0.3333,0.8643
rand68_probe_q50_add-0.75,random,0.4216,0.8558
rand69_probe_q50_add-0.75,random,0.402,0.8579
rand70_probe_q50_add-0.75,random,0.3529,0.8534
