arm,group,removal,retention
probe_q50_add-1.0,pts,0.8158,0.7179
post_q70_add-1.0,pts_posthoc,0.7582,0.8894
add-0.125,shift,0.2681,0.8558
add-0.25,shift,0.4441,0.7834
add-0.5,shift,0.6826,0.6733
add-0.75,shift,0.8355,0.5674
add-1.0,shift,0.9457,0.4777
prompt,baseline,0.5921,0.7939
cast_q50_add-1.0,cast,0.7401,0.7027
rand0_probe_q50_add-1.0,random,0.153,0.8044
rand1_probe_q50_add-1.0,random,0.0707,0.7992
rand2_probe_q50_add-1.0,random,0.4918,0.7761
rand3_probe_q50_add-1.0,random,0.7796,0.784
rand4_probe_q50_add-1.0,random,0.097,0.7619
rand5_probe_q50_add-1.0,random,0.3717,0.8149
rand6_probe_q50_add-1.0,random,0.1546,0.7908
rand7_probe_q50_add-1.0,random,0.5839,0.7572
rand8_probe_q50_add-1.0,random,0.3322,0.7976
rand9_probe_q50_add-1.0,random,0.4243,0.8238
rand10_probe_q50_add-1.0,random,0.199,0.8123
rand11_probe_q50_add-1.0,random,0.2516,0.8186
rand12_probe_q50_add-1.0,random,0.5115,0.6759
rand13_probe_q50_add-1.0,random,0.472,0.7918
rand14_probe_q50_add-1.0,random,0.5197,0.7514
rand15_probe_q50_add-1.0,random,0.6826,0.8091
rand16_probe_q50_add-1.0,random,0.7204,0.655
rand17_probe_q50_add-1.0,random,0.6431,0.7756
rand18_probe_q50_add-1.0,random,0.3191,0.7892
rand19_probe_q50_add-1.0,random,0.324,0.7687
rand20_probe_q50_add-1.0,random,0.6924,0.7184
rand21_probe_q50_add-1.0,random,0.3306,0.8081
rand22_probe_q50_add-1.0,random,0.801,0.7824
rand23_probe_q50_add-1.0,random,0.6908,0.7792
rand24_probe_q50_add-1.0,random,0.2385,0.7845
rand25_probe_q50_add-1.0,random,0.6809,0.7687
rand26_probe_q50_add-1.0,random,0.2188,0.8028
rand27_probe_q50_add-1.0,random,0.7056,0.7147
rand28_probe_q50_add-1.0,random,0.4803,0.8049
rand29_probe_q50_add-1.0,random,0.25,0.7934
rand30_probe_q50_add-1.0,random,0.3224,0.8207
rand31_probe_q50_add-1.0,random,0.5609,0.7462
rand32_probe_q50_add-1.0,random,0.222,0.7798
rand33_probe_q50_add-1.0,random,0.5789,0.7824
rand34_probe_q50_add-1.0,random,0.273,0.8159
rand35_probe_q50_add-1.0,random,0.5263,0.7661
rand36_probe_q50_add-1.0,random,0.1201,0.8201
rand37_probe_q50_add-1.0,random,0.523,0.7221
rand38_probe_q50_add-1.0,random,0.1875,0.7929
rand39_probe_q50_add-1.0,random,0.4128,0.7944
rand40_probe_q50_add-1.0,random,0.5148,0.7944
rand41_probe_q50_add-1.0,random,0.6842,0.7153
rand42_probe_q50_add-1.0,random,0.7516,0.7037
rand43_probe_q50_add-1.0,random,0.5099,0.7394
rand44_probe_q50_add-1.0,random,0.2122,0.8207
rand45_probe_q50_add-1.0,random,0.7072,0.7687
rand46_probe_q50_add-1.0,random,0.2105,0.7787
rand47_probe_q50_add-1.0,random,0.3109,0.795
rand48_probe_q50_add-1.0,random,0.2089,0.806
rand49_probe_q50_add-1.0,random,0.2401,0.8065
rand50_probe_q50_add-1.0,random,0.2747,0.7992
rand51_probe_q50_add-1.0,random,0.4095,0.689
rand52_probe_q50_add-1.0,random,0.1957,0.8233
rand53_probe_q50_add-1.0,random,0.4391,0.7651
rand54_probe_q50_add-1.0,random,0.5691,0.7792
rand55_probe_q50_add-1.0,random,0.4572,0.7436
rand56_probe_q50_add-1.0,random,0.4112,0.8023
rand57_probe_q50_add-1.0,random,0.2599,0.7787
rand58_probe_q50_add-1.0,random,0.3766,0.7881
rand59_probe_q50_add-1.0,random,0.2878,0.764
rand60_probe_q50_add-1.0,random,0.5872,0.7179
rand61_probe_q50_add-1.0,random,0.3141,0.7908
rand62_probe_q50_add-1.0,random,0.6299,0.721
rand63_probe_q50_add-1.0,random,0.2484,0.7593
rand64_probe_q50_add-1.0,random,0.4276,0.7415
rand65_probe_q50_add-1.0,random,0.4046,0.8138
rand66_probe_q50_add-1.0,random,0.3438,0.8044
rand67_probe_q50_add-1.0,random,0.5066,0.7719
rand68_probe_q50_add-1.0,random,0.4622,0.7824
rand69_probe_q50_add-1.0,random,0.523,0.7478
rand70_probe_q50_add-1.0,random,0.0789,0.7908
rand71_probe_q50_add-1.0,random,0.7237,0.7887
rand72_probe_q50_add-1.0,random,0.3569,0.7619
rand73_probe_q50_add-1.0,random,0.653,0.7257
rand74_probe_q50_add-1.0,random,0.2138,0.8144
rand75_probe_q50_add-1.0,random,0.6349,0.7294
rand76_probe_q50_add-1.0,random,0.1414,0.8196
rand77_probe_q50_add-1.0,random,0.7105,0.6466
rand78_probe_q50_add-1.0,random,0.5132,0.7986
rand79_probe_q50_add-1.0,random,0.2039,0.774
rand80_probe_q50_add-1.0,random,0.1299,0.8028
rand81_probe_q50_add-1.0,random,0.2632,0.8034
rand82_probe_q50_add-1.0,random,0.3536,0.774
rand83_probe_q50_add-1.0,random,0.6875,0.7866
rand84_probe_q50_add-1.0,random,0.4819,0.7247
rand85_probe_q50_add-1.0,random,0.7039,0.7745
rand86_probe_q50_add-1.0,random,0.1102,0.8044
rand87_probe_q50_add-1.0,random,0.3849,0.6911
rand88_probe_q50_add-1.0,random,0.4309,0.7761
rand89_probe_q50_add-1.0,random,0.0641,0.7855
rand90_probe_q50_add-1.0,random,0.1776,0.7929
rand91_probe_q50_add-1.0,random,0.4046,0.7766
rand92_probe_q50_add-1.0,random,0.6201,0.7798
rand93_probe_q50_add-1.0,random,0.1316,0.7808
rand94_probe_q50_add-1.0,random,0.1184,0.7918
rand95_probe_q50_add-1.0,random,0.3076,0.8102
rand96_probe_q50_add-1.0,random,0.5493,0.7514
rand97_probe_q50_add-1.0,random,0.0674,0.7881
rand98_probe_q50_add-1.0,random,0.5822,0.7918
rand99_probe_q50_add-1.0,random,0.7516,0.7881
refuse,refuse,0.8635,0.5931
