law,sim,kind
0.1978,0.1972,shift
0.2220,0.1964,shift
0.2410,0.1904,shift
0.2468,0.1881,shift
0.2472,0.1929,shift
0.2391,0.1818,shift
0.2313,0.1752,shift
0.2299,0.1694,shift
0.2164,0.1567,shift
0.2146,0.1615,shift
0.1967,0.1541,shift
0.1923,0.1430,shift
0.1865,0.1520,shift
0.1632,0.1393,shift
0.1504,0.1336,shift
0.1347,0.1305,shift
0.1135,0.1056,shift
0.0886,0.0841,shift
0.0597,0.0558,shift
0.0299,0.0293,shift
0.2558,0.2548,shift
0.2979,0.2663,shift
0.3316,0.2727,shift
0.3442,0.2697,shift
0.3482,0.2668,shift
0.3379,0.2515,shift
0.3285,0.2494,shift
0.3295,0.2465,shift
0.3106,0.2340,shift
0.3107,0.2416,shift
0.2853,0.2309,shift
0.2812,0.2298,shift
0.2749,0.2348,shift
0.2403,0.2118,shift
0.2226,0.2019,shift
0.2005,0.1844,shift
0.1698,0.1537,shift
0.1329,0.1211,shift
0.0896,0.0860,shift
0.0452,0.0509,shift
0.1115,0.1118,shift
0.1782,0.1447,shift
0.2337,0.1891,shift
0.2618,0.2056,shift
0.2792,0.2274,shift
0.2758,0.2203,shift
0.2744,0.2263,shift
0.2873,0.2429,shift
0.2732,0.2359,shift
0.2840,0.2516,shift
0.2628,0.2350,shift
0.2680,0.2446,shift
0.2707,0.2506,shift
0.2358,0.2190,shift
0.2227,0.2101,shift
0.2050,0.1952,shift
0.1767,0.1672,shift
0.1398,0.1313,shift
0.0947,0.0911,shift
0.0486,0.0473,shift
0.1978,0.1972,shift
0.2240,0.2017,shift
0.2502,0.2062,shift
0.2692,0.2037,shift
0.2670,0.1970,shift
0.2728,0.2017,shift
0.2746,0.2038,shift
0.2673,0.1964,shift
0.2539,0.1879,shift
0.2418,0.1812,shift
0.2450,0.1825,shift
0.2294,0.1760,shift
0.2272,0.1878,shift
0.2131,0.1830,shift
0.1842,0.1677,shift
0.1684,0.1595,shift
0.1497,0.1354,shift
0.1217,0.1131,shift
0.0868,0.0838,shift
0.0407,0.0275,shift
0.2558,0.2565,shift
0.3011,0.2672,shift
0.3463,0.2823,shift
0.3800,0.2869,shift
0.3799,0.2823,shift
0.3925,0.3074,shift
0.3987,0.3115,shift
0.3902,0.3096,shift
0.3714,0.2874,shift
0.3548,0.2861,shift
0.3631,0.2991,shift
0.3411,0.2936,shift
0.3403,0.3090,shift
0.3205,0.3027,shift
0.2772,0.2693,shift
0.2550,0.2578,shift
0.2278,0.2349,shift
0.1858,0.1998,shift
0.1330,0.1497,shift
0.0622,0.0700,shift
0.1115,0.1118,shift
0.1823,0.1605,shift
0.2530,0.2163,shift
0.3086,0.2564,shift
0.3204,0.2633,shift
0.3485,0.3000,shift
0.3684,0.3272,shift
0.3691,0.3290,shift
0.3545,0.3192,shift
0.3429,0.3086,shift
0.3654,0.3357,shift
0.3473,0.3233,shift
0.3560,0.3346,shift
0.3404,0.3283,shift
0.2953,0.2855,shift
0.2777,0.2723,shift
0.2524,0.2504,shift
0.2078,0.2074,shift
0.1506,0.1514,shift
0.0700,0.0700,shift
