law,sim,kind
0.1419,0.1413,ablate
0.1644,0.1379,ablate
0.1824,0.1310,ablate
0.1890,0.1357,ablate
0.1910,0.1300,ablate
0.1853,0.1032,ablate
0.1800,0.1009,ablate
0.1803,0.1011,ablate
0.1700,0.1006,ablate
0.1699,0.1045,ablate
0.1559,0.1014,ablate
0.1535,0.1052,ablate
0.1500,0.1064,ablate
0.1311,0.0911,ablate
0.1214,0.0871,ablate
0.1092,0.0779,ablate
0.0925,0.0625,ablate
0.0723,0.0461,ablate
0.0488,0.0264,ablate
0.0246,0.0102,ablate
0.1419,0.1413,ablate
0.1661,0.1458,ablate
0.1904,0.1424,ablate
0.2084,0.1504,ablate
0.2081,0.1533,ablate
0.2147,0.1563,ablate
0.2179,0.1479,ablate
0.2131,0.1361,ablate
0.2028,0.1224,ablate
0.1936,0.1184,ablate
0.1980,0.1189,ablate
0.1859,0.1114,ablate
0.1853,0.1222,ablate
0.1744,0.1200,ablate
0.1508,0.1081,ablate
0.1387,0.1032,ablate
0.1238,0.0897,ablate
0.1009,0.0699,ablate
0.0722,0.0466,ablate
0.0338,0.0216,ablate
