law,sim,kind
0.1221,0.1218,clamp
0.1351,0.1262,clamp
0.1453,0.1246,clamp
0.1480,0.1291,clamp
0.1476,0.1346,clamp
0.1426,0.1200,clamp
0.1377,0.1071,clamp
0.1363,0.1100,clamp
0.1282,0.1092,clamp
0.1267,0.1129,clamp
0.1160,0.0992,clamp
0.1130,0.0863,clamp
0.1092,0.0936,clamp
0.0956,0.0833,clamp
0.0879,0.0722,clamp
0.0785,0.0689,clamp
0.0661,0.0578,clamp
0.0515,0.0413,clamp
0.0347,0.0206,clamp
0.0173,0.0103,clamp
0.1221,0.1218,clamp
0.1363,0.1271,clamp
0.1504,0.1324,clamp
0.1606,0.1307,clamp
0.1588,0.1291,clamp
0.1615,0.1223,clamp
0.1619,0.1191,clamp
0.1572,0.1141,clamp
0.1492,0.1100,clamp
0.1419,0.1162,clamp
0.1431,0.1077,clamp
0.1339,0.1124,clamp
0.1322,0.1205,clamp
0.1237,0.1190,clamp
0.1069,0.1070,clamp
0.0975,0.0967,clamp
0.0864,0.0770,clamp
0.0702,0.0493,clamp
0.0500,0.0425,clamp
0.0235,0.0234,clamp
