law,sim,kind
0.1726,0.1723,mimic
0.1843,0.1732,mimic
0.1929,0.1663,mimic
0.1936,0.1674,mimic
0.1909,0.1528,mimic
0.1836,0.1347,mimic
0.1763,0.1287,mimic
0.1726,0.1298,mimic
0.1620,0.1247,mimic
0.1583,0.1286,mimic
0.1446,0.1209,mimic
0.1394,0.1106,mimic
0.1334,0.1030,mimic
0.1169,0.0944,mimic
0.1068,0.0859,mimic
0.0946,0.0748,mimic
0.0790,0.0576,mimic
0.0614,0.0430,mimic
0.0412,0.0327,mimic
0.0205,0.0181,mimic
0.1726,0.1740,mimic
0.1855,0.1732,mimic
0.1984,0.1706,mimic
0.2070,0.1681,mimic
0.2028,0.1673,mimic
0.2035,0.1649,mimic
0.2017,0.1581,mimic
0.1944,0.1584,mimic
0.1840,0.1351,mimic
0.1743,0.1370,mimic
0.1734,0.1285,mimic
0.1615,0.1244,mimic
0.1578,0.1272,mimic
0.1468,0.1231,mimic
0.1267,0.1024,mimic
0.1145,0.0853,mimic
0.1008,0.0873,mimic
0.0815,0.0614,mimic
0.0577,0.0450,mimic
0.0272,0.0147,mimic
