law,sim
0.1715,0.1714
0.1729,0.1685
0.1741,0.1710
0.1747,0.1719
0.1745,0.1715
0.1694,0.1603
0.1623,0.1449
0.1563,0.1349
0.1515,0.1341
0.1447,0.1308
0.1362,0.1125
0.1231,0.1134
0.1102,0.1117
0.1033,0.1068
0.0915,0.1048
0.0808,0.0944
0.0749,0.0878
0.0604,0.0916
0.0431,0.0729
0.0263,0.0325
0.1116,0.1115
0.1133,0.1141
0.1147,0.1153
0.1158,0.1200
0.1162,0.1154
0.1131,0.1167
0.1086,0.1121
0.1049,0.1063
0.1021,0.1097
0.0979,0.0981
0.0923,0.0952
0.0835,0.0852
0.0749,0.0823
0.0705,0.0815
0.0627,0.0795
0.0556,0.0653
0.0519,0.0608
0.0420,0.0537
0.0299,0.0421
0.0184,0.0212
0.0868,0.0866
0.0909,0.0892
0.0947,0.0875
0.0978,0.0897
0.1003,0.0864
0.0988,0.0901
0.0958,0.0814
0.0937,0.0798
0.0927,0.0736
0.0901,0.0740
0.0858,0.0678
0.0779,0.0633
0.0701,0.0616
0.0674,0.0513
0.0606,0.0492
0.0546,0.0443
0.0526,0.0456
0.0428,0.0344
0.0305,0.0228
0.0189,-0.0001
0.1002,0.1000
0.1038,0.1013
0.1071,0.0967
0.1098,0.0947
0.1119,0.0930
0.1098,0.0943
0.1061,0.0802
0.1034,0.0756
0.1017,0.0765
0.0985,0.0799
0.0935,0.0653
0.0848,0.0608
0.0762,0.0587
0.0728,0.0554
0.0653,0.0530
0.0586,0.0439
0.0559,0.0411
0.0454,0.0340
0.0324,0.0157
0.0200,0.0079
0.0595,0.0593
0.0656,0.0631
0.0713,0.0627
0.0761,0.0674
0.0804,0.0682
0.0804,0.0637
0.0789,0.0508
0.0784,0.0475
0.0790,0.0522
0.0780,0.0673
0.0751,0.0556
0.0684,0.0478
0.0619,0.0432
0.0608,0.0395
0.0553,0.0455
0.0507,0.0405
0.0502,0.0435
0.0412,0.0419
0.0293,0.0190
0.0184,0.0082
0.1013,0.1024
0.1060,0.1061
0.1105,0.1070
0.1141,0.1133
0.1170,0.1084
0.1153,0.1134
0.1118,0.0951
0.1094,0.0893
0.1081,0.0789
0.1051,0.0714
0.1001,0.0773
0.0908,0.0711
0.0818,0.0624
0.0786,0.0587
0.0707,0.0588
0.0637,0.0497
0.0613,0.0469
0.0499,0.0478
0.0356,0.0345
0.0221,0.0104
0.1715,0.1714
0.1744,0.1714
0.1808,0.1714
0.1850,0.1714
0.1865,0.1727
0.1870,0.1710
0.1897,0.1723
0.1890,0.1799
0.1879,0.1782
0.1797,0.1720
0.1643,0.1712
0.1529,0.1638
0.1418,0.1509
0.1282,0.1363
0.1203,0.1301
0.1042,0.1223
0.0904,0.1052
0.0713,0.0882
0.0479,0.0570
0.0245,0.0325
0.1116,0.1115
0.1144,0.1115
0.1197,0.1115
0.1234,0.1115
0.1251,0.1115
0.1262,0.1141
0.1288,0.1153
0.1290,0.1216
0.1288,0.1267
0.1235,0.1221
0.1130,0.1201
0.1054,0.1247
0.0980,0.1143
0.0887,0.1127
0.0836,0.1027
0.0726,0.0936
0.0631,0.0753
0.0498,0.0695
0.0336,0.0524
0.0172,0.0266
0.0868,0.0866
0.0923,0.0866
0.1006,0.0866
0.1072,0.0825
0.1114,0.0821
0.1150,0.0821
0.1202,0.0830
0.1227,0.0838
0.1247,0.0889
0.1209,0.0718
0.1110,0.0644
0.1042,0.0757
0.0977,0.0803
0.0890,0.0758
0.0850,0.0750
0.0743,0.0601
0.0654,0.0497
0.0519,0.0364
0.0351,0.0232
0.0183,-0.0001
0.1002,0.1000
0.1052,0.1013
0.1131,0.1013
0.1193,0.0984
0.1230,0.1009
0.1261,0.0926
0.1308,0.0880
0.1328,0.0864
0.1343,0.0914
0.1298,0.0839
0.1191,0.0819
0.1115,0.0853
0.1043,0.0845
0.0949,0.0825
0.0903,0.0771
0.0787,0.0622
0.0691,0.0502
0.0547,0.0302
0.0370,0.0170
0.0192,0.0062
0.0595,0.0593
0.0672,0.0593
0.0778,0.0606
0.0866,0.0577
0.0929,0.0598
0.0985,0.0582
0.1058,0.0536
0.1104,0.0599
0.1142,0.0649
0.1118,0.0562
0.1031,0.0609
0.0974,0.0597
0.0920,0.0452
0.0844,0.0511
0.0816,0.0512
0.0718,0.0333
0.0639,0.0289
0.0509,0.0127
0.0346,0.0128
0.0182,0.0049
0.1013,0.1011
0.1077,0.1011
0.1173,0.1024
0.1250,0.1020
0.1300,0.1003
0.1341,0.0974
0.1402,0.0995
0.1432,0.1046
0.1455,0.1067
0.1410,0.1043
0.1295,0.0897
0.1216,0.0911
0.1139,0.0807
0.1039,0.0825
0.0992,0.0913
0.0867,0.0847
0.0763,0.0781
0.0605,0.0607
0.0410,0.0416
0.0213,0.0116
