x,y,u,v
36.76,-2.06,-34.03,10.68
31.35,1.15,-32.43,-1.97
45.59,-4.00,-42.66,10.77
37.92,0.05,-39.11,9.79
31.49,4.68,-24.66,3.59
50.53,-15.50,-42.62,19.00
26.27,2.68,-28.11,12.32
46.16,-11.52,-50.18,16.43
15.02,1.48,-24.47,11.18
14.16,4.38,-15.31,8.52
25.01,-8.58,10.81,-17.83
25.67,8.39,-32.40,7.14
52.39,-30.44,-1.91,-0.32
52.67,-17.24,-50.47,21.30
44.01,-16.50,-44.09,27.60
40.49,-9.88,-36.80,18.25
43.14,-11.15,-55.70,33.59
40.44,-14.92,-41.69,18.31
46.70,-15.60,-45.56,23.30
48.78,-31.29,-2.44,-0.61
49.20,-20.95,-41.10,27.79
31.15,-3.11,-33.02,8.13
30.00,-1.33,-1.28,-8.79
23.47,3.46,-29.54,9.73
10.44,-5.46,-18.82,14.14
33.25,8.76,-26.52,-20.98
34.04,-1.89,-35.82,13.52
47.00,-15.76,-36.98,2.21
39.60,-15.83,-39.38,22.01
37.01,-18.56,-36.61,26.16
35.75,-9.86,-43.42,22.28
16.96,-2.89,-19.63,9.81
36.33,-3.59,-38.42,14.69
33.43,-0.91,-40.72,17.38
36.87,-12.75,-34.24,22.92
48.38,-8.93,-53.84,16.36
32.12,-6.90,-23.61,9.57
26.10,-3.12,-28.87,14.86
42.39,-12.41,-48.46,26.96
42.35,-3.26,-31.77,0.54
45.60,-20.82,-34.39,18.32
38.60,-7.03,-34.96,12.78
53.99,-30.82,-48.03,36.94
57.31,-24.42,-49.31,27.85
47.64,-18.50,-49.15,30.39
40.44,11.42,-31.27,-6.98
27.71,-0.29,-0.53,-6.45
39.12,-13.44,-33.09,8.31
45.32,-10.32,-47.23,22.81
23.30,-4.56,-15.85,-1.23
39.28,-13.11,-38.83,16.97
42.20,-23.30,-14.59,11.66
48.89,-27.46,-43.10,30.77
34.87,-16.65,-38.26,26.11
47.89,-14.44,-38.38,3.96
38.13,-2.17,-26.27,-7.94
45.05,-17.12,-47.67,22.71
20.37,7.75,-21.22,2.92
48.61,-11.27,-39.81,15.07
46.22,-5.95,-44.39,14.66
47.95,-25.33,-47.00,28.92
46.31,-5.25,-27.83,-2.62
41.76,2.03,9.93,-34.98
33.16,0.74,-34.79,15.35
33.76,1.24,-34.14,7.89
18.00,-0.62,-10.93,8.74
31.12,-3.34,-21.97,-8.02
39.57,-2.01,-29.85,-9.23
27.80,-0.93,-17.55,2.59
48.68,-6.03,-39.21,4.97
20.45,1.58,-30.00,9.53
29.75,0.26,-15.77,-1.03
40.94,1.12,-23.24,-1.45
33.02,-5.48,-24.05,-8.40
40.90,-4.41,-41.26,7.54
50.25,-25.64,-47.83,31.82
