x,y,u,v
36.76,-2.06,-41.12,17.02
31.35,1.15,-32.63,-1.51
45.59,-4.00,-42.66,10.77
37.92,0.05,-30.73,-0.70
31.49,4.68,-24.66,3.59
26.27,2.68,-30.24,9.89
15.02,1.48,-24.47,11.18
14.16,4.38,-15.31,8.52
25.01,-8.58,-21.00,13.73
25.67,8.39,-32.40,7.14
40.49,-9.88,-36.80,18.25
31.15,-3.11,-33.02,8.13
30.00,-1.33,-1.58,-6.92
23.47,3.46,-30.99,9.91
10.44,-5.46,-18.82,14.14
33.25,8.76,-26.52,-20.98
34.04,-1.89,-35.82,13.52
35.75,-9.86,-43.42,22.28
16.96,-2.89,-19.63,9.81
36.33,-3.59,-38.42,14.69
33.43,-0.91,-40.72,17.38
48.38,-8.93,-53.84,16.36
32.12,-6.90,-26.33,11.37
26.10,-3.12,-28.87,14.86
42.35,-3.26,-31.77,0.54
38.60,-7.03,-35.03,12.95
40.44,11.42,-32.57,-6.88
27.71,-0.29,-1.62,-4.83
23.30,-4.56,-15.96,-1.21
38.13,-2.17,-26.27,-7.94
20.37,7.75,-21.17,3.68
46.22,-5.95,-44.39,14.66
46.31,-5.25,-27.83,-2.62
41.76,2.03,9.93,-34.98
33.16,0.74,-34.79,15.35
33.76,1.24,-34.34,8.00
18.00,-0.62,-26.17,15.74
31.12,-3.34,-21.97,-8.02
39.57,-2.01,-29.92,-9.15
27.80,-0.93,-17.55,2.59
48.68,-6.03,-39.21,4.97
20.45,1.58,-30.00,9.53
29.75,0.26,-15.77,-1.03
40.94,1.12,-22.90,-2.58
33.02,-5.48,-24.29,-7.34
40.90,-4.41,-39.91,8.65
