x,y,u,v
36.76,-2.06,-4.19,3.14
31.35,1.15,-5.80,3.70
45.59,-4.00,-1.13,-10.27
37.92,0.05,-4.03,-3.50
31.49,4.68,-2.58,1.53
50.53,-15.50,-7.74,6.08
26.27,2.68,-1.26,1.84
46.16,-11.52,-1.17,-0.29
15.02,1.48,1.65,1.61
14.16,4.38,22.30,-10.00
25.01,-8.58,2.34,-9.91
25.67,8.39,0.45,-11.39
52.39,-30.44,-0.50,1.58
52.67,-17.24,-4.22,5.07
44.01,-16.50,-13.48,18.86
40.49,-9.88,3.12,-7.22
43.14,-11.15,-8.41,5.84
40.44,-14.92,-3.49,2.91
46.70,-15.60,-3.09,6.02
48.78,-31.29,0.49,1.28
49.20,-20.95,-0.90,0.95
31.15,-3.11,9.69,-6.27
30.00,-1.33,7.05,-8.74
23.47,3.46,-4.58,2.00
10.44,-5.46,4.74,-7.41
33.25,8.76,7.44,-9.55
34.04,-1.89,1.06,-2.29
47.00,-15.76,-5.98,-5.04
39.60,-15.83,-0.43,5.39
37.01,-18.56,2.25,-7.65
35.75,-9.86,-0.94,6.98
16.96,-2.89,-0.47,1.94
36.33,-3.59,13.85,-23.53
33.43,-0.91,-14.66,16.83
36.87,-12.75,-13.30,13.17
48.38,-8.93,-2.76,-7.23
32.12,-6.90,0.74,3.47
26.10,-3.12,3.83,-2.37
42.39,-12.41,-5.29,-1.74
42.35,-3.26,11.36,-21.37
45.60,-20.82,-0.46,-0.38
38.60,-7.03,1.63,-7.38
53.99,-30.82,-2.83,6.16
57.31,-24.42,-1.76,-1.60
47.64,-18.50,-5.81,2.36
40.44,11.42,6.43,-7.78
27.71,-0.29,7.07,-5.47
39.12,-13.44,-2.76,-1.12
45.32,-10.32,-0.58,3.32
23.30,-4.56,-6.20,-0.16
39.28,-13.11,-6.46,8.91
42.20,-23.30,-4.27,0.91
48.89,-27.46,-7.66,0.72
34.87,-16.65,0.88,-2.41
47.89,-14.44,-2.57,7.74
38.13,-2.17,0.43,-2.19
45.05,-17.12,-4.38,4.68
20.37,7.75,2.13,-0.36
48.61,-11.27,0.60,-8.26
46.22,-5.95,3.34,-18.87
47.95,-25.33,-0.17,0.20
46.31,-5.25,-0.28,0.23
41.76,2.03,0.62,-7.40
33.16,0.74,-2.86,2.30
33.76,1.24,-1.28,-1.49
18.00,-0.62,-0.20,5.79
31.12,-3.34,2.46,-5.38
39.57,-2.01,2.41,-11.87
27.80,-0.93,18.68,-24.28
48.68,-6.03,-2.37,2.46
20.45,1.58,1.45,1.09
29.75,0.26,11.81,-17.61
40.94,1.12,-0.83,-9.60
33.02,-5.48,4.29,-6.73
40.90,-4.41,-1.83,4.58
50.25,-25.64,-1.95,-1.98
