x,y,u,v
43.16,-17.82,-13.58,13.70
32.88,9.59,-8.77,3.77
21.66,-1.03,-3.75,2.82
38.28,-2.31,2.16,2.28
41.55,-7.99,-2.72,4.36
39.92,1.03,0.29,0.19
45.61,-6.94,-1.45,0.60
24.40,5.96,3.18,-4.26
43.96,-2.95,-4.52,9.45
17.27,-6.11,6.18,-1.52
40.70,-13.26,2.39,-2.65
31.42,-0.64,-7.48,3.86
28.12,4.52,5.54,-7.67
44.96,-18.15,-6.55,8.37
41.83,-6.16,0.59,1.89
31.51,-1.65,1.78,-2.23
43.21,-5.64,-4.79,3.17
31.75,-6.43,-0.18,0.73
12.77,-10.02,-2.80,2.82
43.71,-18.42,-9.59,12.37
42.94,-11.57,-10.83,10.08
37.41,-10.37,-0.62,-2.98
31.56,-4.57,3.74,-5.37
41.29,-5.31,10.80,-14.22
42.88,-7.01,-2.46,4.04
32.96,-12.70,-7.64,1.03
33.40,4.80,2.11,-3.41
25.00,0.38,-1.32,1.46
36.85,-8.78,-0.29,0.36
39.49,11.68,-2.47,-1.21
34.99,3.27,-0.78,-9.53
47.29,-7.52,-4.30,7.17
46.97,-15.47,-9.61,2.41
36.14,-7.69,10.05,-12.88
29.58,0.27,-2.29,0.97
14.92,-13.21,-1.02,-4.87
32.54,-1.22,1.98,-1.14
31.97,6.50,0.25,-0.23
35.89,-6.21,-2.98,4.22
37.80,5.08,1.69,-5.91
29.00,9.02,-5.64,4.76
33.50,0.48,1.49,-10.61
46.13,2.91,-0.50,0.58
35.27,-1.49,6.52,-10.43
29.99,8.45,-3.72,-8.82
40.23,-6.88,-4.84,4.97
26.41,-1.70,-1.36,-2.83
39.37,-1.96,7.40,-13.12
31.65,-0.82,-1.62,-0.74
