x,y,u,v
36.76,-2.06,-1.04,4.19
31.35,1.15,-3.35,3.56
45.59,-4.00,6.00,-11.26
37.92,0.05,-0.70,-4.77
31.49,4.68,6.48,-5.82
50.53,-15.50,-1.56,7.75
26.27,2.68,-2.53,1.10
46.16,-11.52,3.37,-1.91
15.02,1.48,0.99,6.91
14.16,4.38,19.21,-3.16
25.67,8.39,2.50,-3.69
52.39,-30.44,0.27,1.26
52.67,-17.24,-1.44,-0.44
44.01,-16.50,-4.88,7.91
40.49,-9.88,-0.03,0.01
43.14,-11.15,-9.85,9.55
40.44,-14.92,-6.90,13.26
48.78,-31.29,1.67,3.47
49.20,-20.95,0.24,-0.11
31.15,-3.11,8.42,-5.30
30.00,-1.33,4.56,-5.79
23.47,3.46,-3.16,-2.22
10.44,-5.46,1.52,-2.27
33.25,8.76,-1.52,3.12
34.04,-1.89,0.53,-4.31
47.00,-15.76,-5.82,0.47
39.60,-15.83,-2.17,2.81
37.01,-18.56,0.84,-1.58
35.75,-9.86,-2.18,5.39
16.96,-2.89,2.19,-7.80
36.33,-3.59,1.03,-4.59
33.43,-0.91,-0.67,4.17
36.87,-12.75,-12.87,19.41
48.38,-8.93,0.38,-0.55
32.12,-6.90,-0.13,2.62
26.10,-3.12,2.86,-1.20
42.39,-12.41,-0.18,0.11
42.35,-3.26,11.51,-19.69
45.60,-20.82,-0.05,1.22
38.60,-7.03,-7.26,6.73
53.99,-30.82,-1.64,6.96
57.31,-24.42,-7.62,12.52
47.64,-18.50,0.42,-1.08
40.44,11.42,6.95,-10.27
27.71,-0.29,0.10,-0.18
39.12,-13.44,-1.51,-2.51
45.32,-10.32,-2.37,4.26
23.30,-4.56,1.11,1.82
42.20,-23.30,-2.70,9.47
34.87,-16.65,1.02,-1.83
47.89,-14.44,0.47,-0.95
38.13,-2.17,0.89,8.75
45.05,-17.12,-11.15,10.56
20.37,7.75,1.17,2.22
48.61,-11.27,5.92,-8.69
46.22,-5.95,-0.14,-0.28
47.95,-25.33,0.29,0.65
46.31,-5.25,-0.68,0.29
41.76,2.03,1.21,-2.19
33.16,0.74,-3.68,3.62
33.76,1.24,2.81,-6.59
18.00,-0.62,2.66,-0.85
31.12,-3.34,8.35,-5.31
39.57,-2.01,-0.35,-0.84
27.80,-0.93,19.32,-22.54
48.68,-6.03,0.10,0.22
20.45,1.58,2.73,2.34
29.75,0.26,-5.48,3.92
40.94,1.12,7.50,-8.49
33.02,-5.48,-1.98,1.94
40.90,-4.41,10.83,-15.91
