x,y,u,v
43.16,-17.82,-8.15,7.74
32.88,9.59,1.53,-3.98
21.66,-1.03,-4.54,5.71
38.28,-2.31,-5.64,5.97
41.55,-7.99,-3.62,8.25
39.92,1.03,-0.67,0.21
45.61,-6.94,-3.89,3.75
24.40,5.96,1.00,1.41
43.96,-2.95,-8.88,12.22
17.27,-6.11,-0.55,1.00
40.70,-13.26,-10.10,7.25
31.42,-0.64,-2.68,-1.02
28.12,4.52,0.63,-3.02
44.96,-18.15,-7.04,16.45
41.83,-6.16,0.74,0.59
31.51,-1.65,7.87,-7.67
43.21,-5.64,7.98,-8.86
31.75,-6.43,-3.62,11.40
12.77,-10.02,-0.86,-0.12
43.71,-18.42,-6.56,13.65
42.94,-11.57,-11.10,13.14
31.56,-4.57,1.01,2.09
41.29,-5.31,1.69,1.61
42.88,-7.01,-0.35,2.33
32.96,-12.70,-4.50,0.69
28.82,-1.71,-2.06,2.39
25.00,0.38,0.59,-0.56
39.49,11.68,-3.85,-1.79
34.99,3.27,3.14,-5.66
47.29,-7.52,-12.75,9.61
46.97,-15.47,-7.46,1.12
36.14,-7.69,-5.25,7.89
29.58,0.27,-1.27,-1.76
14.92,-13.21,-0.20,-1.87
32.54,-1.22,-0.01,6.66
31.97,6.50,-1.16,-0.78
35.89,-6.21,1.78,-2.17
37.80,5.08,-2.02,-0.11
29.00,9.02,0.20,1.39
33.50,0.48,0.22,-6.07
46.13,2.91,0.95,-2.42
35.27,-1.49,9.90,-18.47
29.99,8.45,1.74,-6.53
40.23,-6.88,-6.40,0.76
26.41,-1.70,6.99,-9.68
39.37,-1.96,4.70,-3.25
31.65,-0.82,-1.32,0.37
