x,y,u,v
36.76,-2.06,-0.28,-2.22
31.35,1.15,-2.61,1.03
45.59,-4.00,2.39,-2.64
37.92,0.05,1.12,-1.00
31.49,4.68,5.83,-6.43
50.53,-15.50,-2.87,13.94
26.27,2.68,-1.06,1.48
46.16,-11.52,-1.18,-0.33
25.67,8.39,5.21,-3.24
52.67,-17.24,-7.73,20.92
44.01,-16.50,-0.08,4.01
40.49,-9.88,0.07,0.12
43.14,-11.15,-9.85,9.55
46.70,-15.60,-0.59,-2.36
31.15,-3.11,11.21,3.23
30.00,-1.33,8.01,-10.76
23.47,3.46,2.60,-5.66
33.25,8.76,5.10,-2.14
34.04,-1.89,3.32,-3.46
47.00,-15.76,-3.25,-4.66
36.33,-3.59,3.91,-6.36
33.43,-0.91,-3.72,4.23
36.87,-12.75,-10.35,16.28
48.38,-8.93,1.00,1.20
42.39,-12.41,0.74,8.55
42.35,-3.26,-6.04,0.54
38.60,-7.03,2.84,-1.97
40.44,11.42,5.43,-6.15
27.71,-0.29,7.48,-5.00
39.12,-13.44,-2.46,1.90
45.32,-10.32,-4.05,6.39
39.28,-13.11,0.82,1.12
47.89,-14.44,-3.35,6.08
38.13,-2.17,5.30,-2.71
20.37,7.75,2.82,-2.04
48.61,-11.27,3.59,-1.14
46.22,-5.95,0.28,0.06
46.31,-5.25,0.72,-3.75
41.76,2.03,0.24,0.45
33.16,0.74,2.98,-4.78
33.76,1.24,4.69,-7.52
31.12,-3.34,6.32,-1.98
39.57,-2.01,-0.59,0.73
27.80,-0.93,18.82,-24.35
48.68,-6.03,0.15,-3.70
29.75,0.26,-0.40,0.18
40.94,1.12,7.01,-6.60
33.02,-5.48,7.68,-12.85
40.90,-4.41,0.54,3.22
