x,y,u,v
32.88,9.59,-5.40,7.20
38.28,-2.31,6.48,-0.58
41.55,-7.99,-1.65,2.34
39.92,1.03,-0.88,2.01
45.61,-6.94,-4.73,0.95
24.40,5.96,1.09,-1.62
43.96,-2.95,-6.39,10.56
40.70,-13.26,-10.45,7.05
31.42,-0.64,-6.59,2.08
28.12,4.52,5.31,-6.16
44.96,-18.15,-2.66,8.56
41.83,-6.16,-2.76,8.47
31.51,-1.65,1.43,-2.82
43.21,-5.64,-5.86,2.38
42.94,-11.57,-1.60,1.90
37.41,-10.37,2.76,3.05
41.29,-5.31,4.85,0.26
42.88,-7.01,0.39,-0.09
28.82,-1.71,-0.83,-1.15
25.00,0.38,-0.02,0.37
39.49,11.68,7.82,-7.41
34.99,3.27,-10.14,5.10
47.29,-7.52,-9.71,3.64
36.14,-7.69,4.82,-8.16
29.58,0.27,-1.21,-1.89
31.97,6.50,-1.23,-0.76
35.89,-6.21,-2.14,-1.91
37.80,5.08,2.18,-2.41
29.00,9.02,4.16,-10.94
33.50,0.48,0.17,-0.32
46.13,2.91,1.71,-7.96
35.27,-1.49,10.62,-17.05
29.99,8.45,11.66,-12.45
40.23,-6.88,-8.06,9.44
26.41,-1.70,4.99,-8.29
39.37,-1.96,5.87,-11.49
31.65,-0.82,-1.16,0.89
