x,y,u,v
32.88,9.59,-7.09,-4.77
21.66,-1.03,-2.49,-1.07
38.28,-2.31,1.29,2.21
41.55,-7.99,-3.62,4.40
39.92,1.03,3.21,-15.95
45.61,-6.94,-5.05,-2.38
24.40,5.96,1.10,-13.91
43.96,-2.95,-4.63,-2.74
17.27,-6.11,-3.73,7.82
31.42,-0.64,-21.75,11.42
28.12,4.52,4.46,-14.57
41.83,-6.16,0.88,1.56
31.51,-1.65,3.81,-9.03
43.21,-5.64,-5.47,2.66
31.75,-6.43,-0.46,6.80
12.77,-10.02,-2.79,-0.12
31.56,-4.57,4.35,-5.48
41.29,-5.31,6.82,-18.45
42.88,-7.01,-20.41,14.30
33.40,4.80,0.31,-0.65
28.82,-1.71,-4.11,0.85
25.00,0.38,-7.47,9.59
36.85,-8.78,-3.55,3.43
39.49,11.68,-2.41,-11.42
34.99,3.27,-1.68,-8.06
47.29,-7.52,-10.75,-6.31
36.14,-7.69,4.37,-20.26
29.58,0.27,-1.65,-0.74
32.54,-1.22,-0.04,-5.42
31.97,6.50,-0.14,-0.24
35.89,-6.21,1.38,-6.79
37.80,5.08,2.43,-15.71
29.00,9.02,-3.48,4.02
33.50,0.48,-2.76,-5.08
46.13,2.91,1.30,-22.38
35.27,-1.49,8.06,-15.73
29.99,8.45,8.62,-23.90
40.23,-6.88,-11.97,0.45
26.41,-1.70,0.69,-1.86
39.37,-1.96,0.96,-12.70
31.65,-0.82,-2.79,-0.27
