x,y,u,v
36.76,-2.06,-0.72,0.49
31.35,1.15,-1.66,-1.02
45.59,-4.00,-2.86,-2.07
37.92,0.05,-0.03,-0.04
31.49,4.68,-0.79,0.33
50.53,-15.50,-1.10,1.88
25.67,8.39,0.73,-0.79
43.14,-11.15,0.38,-1.29
31.15,-3.11,8.61,7.45
33.25,8.76,-1.47,-1.35
34.04,-1.89,-6.51,6.72
33.43,-0.91,-2.43,7.12
48.38,-8.93,-2.41,3.99
42.35,-3.26,-1.47,-1.35
40.44,11.42,2.03,-6.96
45.32,-10.32,-1.66,0.60
38.13,-2.17,0.02,-0.36
48.61,-11.27,-0.52,-0.07
46.22,-5.95,0.42,-0.99
46.31,-5.25,-0.28,0.23
41.76,2.03,-0.69,-1.36
33.16,0.74,-2.22,1.76
33.76,1.24,-17.42,4.96
48.68,-6.03,-0.08,-2.03
40.94,1.12,7.52,-9.66
40.90,-4.41,-1.54,1.40
