x,y
26.27,2.68
46.16,-11.52
15.02,1.48
14.16,4.38
25.01,-8.58
52.39,-30.44
52.67,-17.24
44.01,-16.50
40.49,-9.88
40.44,-14.92
46.70,-15.60
48.78,-31.29
49.20,-20.95
30.00,-1.33
23.47,3.46
10.44,-5.46
47.00,-15.76
39.60,-15.83
37.01,-18.56
35.75,-9.86
16.96,-2.89
36.33,-3.59
36.87,-12.75
32.12,-6.90
26.10,-3.12
42.39,-12.41
45.60,-20.82
38.60,-7.03
53.99,-30.82
57.31,-24.42
47.64,-18.50
27.71,-0.29
39.12,-13.44
23.30,-4.56
39.28,-13.11
42.20,-23.30
48.89,-27.46
34.87,-16.65
47.89,-14.44
45.05,-17.12
20.37,7.75
47.95,-25.33
18.00,-0.62
31.12,-3.34
39.57,-2.01
27.80,-0.93
20.45,1.58
29.75,0.26
33.02,-5.48
50.25,-25.64
