x,y,u,v
32.88,9.59,-0.72,-2.27
38.28,-2.31,2.73,2.47
41.55,-7.99,-1.69,2.71
39.92,1.03,0.42,-0.53
45.61,-6.94,-0.18,0.48
24.40,5.96,4.75,-5.52
43.96,-2.95,-0.07,-1.56
41.83,-6.16,-0.06,-1.53
43.21,-5.64,-1.37,0.34
31.75,-6.43,0.21,-0.42
42.94,-11.57,-3.82,1.72
41.29,-5.31,-1.64,-1.21
42.88,-7.01,0.14,-0.73
33.40,4.80,-0.08,-0.35
39.49,11.68,0.01,-1.64
34.99,3.27,-6.20,4.65
47.29,-7.52,-2.60,2.06
32.54,-1.22,0.15,0.04
31.97,6.50,0.16,-0.43
37.80,5.08,-3.29,-0.20
29.00,9.02,1.13,-2.00
33.50,0.48,-0.62,-0.99
46.13,2.91,-2.97,-1.33
29.99,8.45,13.08,-12.77
40.23,-6.88,-0.02,0.11
39.37,-1.96,1.54,-0.58
