x,y,u,v,state,changed
44.49,-9.28,-39.91,16.66,nonconfident_wrong,1
43.23,-17.85,-46.31,27.91,confident_right,1
16.37,-1.26,-31.24,17.91,nonconfident_wrong,1
30.84,9.37,-3.84,-7.44,nonconfident_wrong,1
38.71,4.22,-35.43,4.85,nonconfident_wrong,1
21.62,-1.02,-30.96,15.70,overconfident_wrong,1
34.74,-5.46,-33.85,9.13,nonconfident_right,1
36.78,-2.03,-35.59,7.77,confident_right,1
3.35,0.27,-20.41,18.97,nonconfident_wrong,1
23.52,-0.60,-30.66,19.41,nonconfident_wrong,1
17.43,1.31,-26.76,17.81,nonconfident_wrong,1
12.76,1.51,-12.77,7.46,nonconfident_wrong,1
38.40,-6.09,-40.10,8.95,nonconfident_right,1
9.93,-9.82,-21.02,19.85,nonconfident_wrong,1
35.01,0.67,-42.32,14.96,overconfident_wrong,1
25.67,6.99,-28.53,-3.76,confident_right,1
41.59,-7.95,-35.15,11.41,overconfident_wrong,1
31.50,-2.53,-29.80,5.82,nonconfident_wrong,1
29.14,-7.11,-24.23,5.18,nonconfident_wrong,1
36.03,0.47,-30.30,9.33,confident_right,1
40.68,-1.63,-38.57,7.53,overconfident_wrong,1
47.18,-10.94,-20.01,13.14,confident_right,1
10.47,-8.89,-2.12,0.76,nonconfident_right,1
24.03,0.94,-30.52,14.58,nonconfident_right,1
31.55,1.12,-43.41,15.95,confident_right,1
40.56,-0.84,-43.72,13.85,nonconfident_wrong,1
33.54,1.84,-10.91,11.15,nonconfident_wrong,1
41.67,1.14,-44.08,5.38,overconfident_wrong,1
30.98,3.90,-22.15,-1.61,confident_right,1
25.25,-4.35,-31.06,18.12,nonconfident_right,1
36.34,-8.58,-39.28,20.87,nonconfident_wrong,1
45.25,-26.84,-21.08,21.99,nonconfident_wrong,1
24.39,5.99,-31.14,9.76,overconfident_wrong,1
26.40,11.28,-32.08,4.76,nonconfident_right,1
50.37,-15.68,-44.65,20.35,nonconfident_wrong,1
45.73,-10.83,-47.13,20.87,nonconfident_wrong,1
33.66,3.54,-35.75,9.39,nonconfident_wrong,1
38.51,-2.56,-32.24,-1.53,overconfident_wrong,1
17.33,-6.15,-26.53,20.52,overconfident_wrong,1
51.07,-18.32,-45.92,23.64,nonconfident_right,1
32.06,-4.83,-34.51,11.11,nonconfident_wrong,1
-4.26,4.33,-6.19,5.83,nonconfident_right,1
38.66,-19.63,-36.56,24.30,nonconfident_right,1
26.32,2.65,-26.72,10.56,confident_right,1
45.67,-5.15,-47.52,15.51,confident_right,1
42.41,-9.34,-43.50,18.16,overconfident_wrong,1
42.10,-7.49,-41.89,17.31,overconfident_wrong,1
31.25,1.13,-39.38,17.04,overconfident_wrong,1
