x,y,u,v,state,changed
44.49,-9.28,-38.96,15.92,nonconfident_wrong,1
43.23,-17.85,0.00,0.00,confident_right,0
16.37,-1.26,-34.57,18.60,nonconfident_wrong,1
30.84,9.37,-26.14,-0.43,nonconfident_wrong,1
38.71,4.22,-31.86,1.74,nonconfident_wrong,1
21.62,-1.02,-30.78,12.13,overconfident_wrong,1
34.74,-5.46,-34.34,10.10,nonconfident_right,1
36.78,-2.03,-40.55,16.64,confident_right,1
3.35,0.27,-15.52,16.16,nonconfident_wrong,1
23.52,-0.60,-30.49,19.46,nonconfident_wrong,1
17.43,1.31,-28.70,19.88,nonconfident_wrong,1
12.76,1.51,-19.45,9.38,nonconfident_wrong,1
38.40,-6.09,-34.99,16.15,nonconfident_right,1
9.93,-9.82,-20.79,19.22,nonconfident_wrong,1
35.01,0.67,-35.94,8.08,overconfident_wrong,1
25.67,6.99,-26.75,-7.76,confident_right,1
41.59,-7.95,-35.82,16.24,overconfident_wrong,1
31.50,-2.53,-22.82,-10.96,nonconfident_wrong,1
29.14,-7.11,-32.05,13.86,nonconfident_wrong,1
36.03,0.47,-35.08,6.44,confident_right,1
40.68,-1.63,-32.79,5.23,overconfident_wrong,1
47.18,-10.94,0.00,0.00,confident_right,0
10.47,-8.89,-16.89,12.17,nonconfident_right,1
24.03,0.94,-31.68,11.71,nonconfident_right,1
31.55,1.12,-23.28,-0.71,confident_right,1
40.56,-0.84,-40.25,5.58,nonconfident_wrong,1
33.54,1.84,-4.59,-9.39,nonconfident_wrong,1
41.67,1.14,-4.46,-28.29,overconfident_wrong,1
30.98,3.90,-24.13,4.40,confident_right,1
25.25,-4.35,-1.61,-1.43,nonconfident_right,1
36.34,-8.58,-40.29,18.95,nonconfident_wrong,1
45.25,-26.84,0.00,0.00,nonconfident_wrong,0
24.39,5.99,-31.24,8.24,overconfident_wrong,1
26.40,11.28,-29.79,0.62,nonconfident_right,1
50.37,-15.68,0.00,0.00,nonconfident_wrong,0
45.73,-10.83,0.00,0.00,nonconfident_wrong,0
33.66,3.54,-27.28,8.70,nonconfident_wrong,1
38.51,-2.56,-27.11,-2.09,overconfident_wrong,1
17.33,-6.15,-22.75,15.40,overconfident_wrong,1
51.07,-18.32,0.00,0.00,nonconfident_right,0
32.06,-4.83,-22.98,-7.10,nonconfident_wrong,1
-4.26,4.33,-13.07,8.67,nonconfident_right,1
38.66,-19.63,0.00,0.00,nonconfident_right,0
26.32,2.65,-30.25,9.93,confident_right,1
45.67,-5.15,-49.68,10.11,confident_right,1
42.41,-9.34,-33.45,-2.04,overconfident_wrong,1
42.10,-7.49,-33.96,11.88,overconfident_wrong,1
31.25,1.13,-45.21,15.78,overconfident_wrong,1
27.88,2.31,-28.51,3.47,confident_right,1
8.34,-8.26,-20.69,17.97,nonconfident_right,1
31.03,-8.47,-40.45,21.14,confident_right,1
26.32,-1.34,-17.95,6.31,nonconfident_wrong,1
44.95,-18.16,0.00,0.00,overconfident_wrong,0
31.86,-3.90,-32.98,16.79,confident_right,1
43.71,-1.18,-37.33,6.35,confident_right,1
25.02,-8.58,-20.93,13.68,confident_right,1
27.03,4.28,-33.73,11.32,confident_right,1
52.39,-30.40,0.00,0.00,confident_right,0
24.60,-0.75,-39.24,17.32,nonconfident_right,1
3.56,-1.29,-11.34,13.51,nonconfident_wrong,1
11.86,0.47,-13.34,2.04,nonconfident_wrong,1
42.81,-7.31,-36.34,11.53,overconfident_wrong,1
20.48,9.79,-21.61,4.09,overconfident_wrong,1
44.66,3.60,-42.45,0.44,confident_right,1
37.74,1.93,-44.61,13.63,nonconfident_right,1
31.52,-1.67,-30.41,7.86,overconfident_wrong,1
38.55,-5.45,-39.85,17.44,confident_right,1
40.18,-9.85,-36.41,18.17,confident_right,1
43.06,-11.59,0.00,0.00,confident_right,0
25.12,1.12,-17.18,-11.95,nonconfident_wrong,1
47.89,-14.21,0.00,0.00,nonconfident_wrong,0
18.15,7.04,-28.96,9.09,nonconfident_right,1
40.47,-14.99,0.00,0.00,confident_right,0
44.28,-7.82,-34.52,-3.46,overconfident_wrong,1
46.70,-15.63,0.00,0.00,confident_right,0
27.51,8.27,-23.02,1.29,nonconfident_wrong,1
16.44,7.73,-19.99,3.41,nonconfident_wrong,1
31.76,-6.43,-20.78,4.99,overconfident_wrong,1
