x,y,u,v,state,changed
44.49,-9.28,-1.86,-0.94,nonconfident_wrong,1
43.23,-17.85,-11.60,11.40,confident_right,1
16.37,-1.26,0.65,3.06,nonconfident_wrong,1
30.84,9.37,-6.70,3.97,nonconfident_wrong,1
38.71,4.22,4.82,-13.50,nonconfident_wrong,1
21.62,-1.02,-6.23,6.16,overconfident_wrong,1
34.74,-5.46,8.53,-18.68,nonconfident_right,1
36.78,-2.03,3.17,-3.96,confident_right,1
3.35,0.27,7.88,-3.84,nonconfident_wrong,1
23.52,-0.60,0.35,-0.82,nonconfident_wrong,1
17.43,1.31,0.01,2.62,nonconfident_wrong,1
12.76,1.51,11.70,-7.59,nonconfident_wrong,1
38.40,-6.09,-0.96,-3.32,nonconfident_right,1
9.93,-9.82,-10.40,9.02,nonconfident_wrong,1
35.01,0.67,4.47,-6.71,overconfident_wrong,1
25.67,6.99,1.33,-2.00,confident_right,1
41.59,-7.95,-1.83,2.34,overconfident_wrong,1
31.50,-2.53,4.48,-3.34,nonconfident_wrong,1
29.14,-7.11,-10.93,8.56,nonconfident_wrong,1
36.03,0.47,0.97,-7.10,confident_right,1
40.68,-1.63,-0.87,2.87,overconfident_wrong,1
47.18,-10.94,-3.87,2.63,confident_right,1
10.47,-8.89,-0.31,0.66,nonconfident_right,1
24.03,0.94,0.27,-2.19,nonconfident_right,1
31.55,1.12,1.32,0.27,confident_right,1
40.56,-0.84,-8.81,6.81,nonconfident_wrong,1
33.54,1.84,0.00,0.00,nonconfident_wrong,0
41.67,1.14,2.39,-7.24,overconfident_wrong,1
30.98,3.90,3.20,-5.15,confident_right,1
25.25,-4.35,2.19,-1.72,nonconfident_right,1
36.34,-8.58,-8.86,8.07,nonconfident_wrong,1
45.25,-26.84,0.00,0.00,nonconfident_wrong,0
24.39,5.99,3.23,-4.30,overconfident_wrong,1
26.40,11.28,8.12,-14.85,nonconfident_right,1
50.37,-15.68,0.52,-1.18,nonconfident_wrong,1
45.73,-10.83,-6.64,2.35,nonconfident_wrong,1
33.66,3.54,-6.88,7.57,nonconfident_wrong,1
38.51,-2.56,1.26,8.48,overconfident_wrong,1
17.33,-6.15,1.19,-0.08,overconfident_wrong,1
51.07,-18.32,1.65,0.06,nonconfident_right,1
32.06,-4.83,-0.58,2.11,nonconfident_wrong,1
-4.26,4.33,-0.24,0.09,nonconfident_right,1
38.66,-19.63,-10.47,18.32,nonconfident_right,1
26.32,2.65,-5.98,7.52,confident_right,1
45.67,-5.15,-0.05,-6.69,confident_right,1
42.41,-9.34,0.72,-6.57,overconfident_wrong,1
42.10,-7.49,-3.96,4.68,overconfident_wrong,1
31.25,1.13,-2.87,-2.72,overconfident_wrong,1
27.88,2.31,9.78,-20.64,confident_right,1
8.34,-8.26,-1.16,0.33,nonconfident_right,1
31.03,-8.47,-13.36,8.06,confident_right,1
26.32,-1.34,-11.15,-3.16,nonconfident_wrong,1
44.95,-18.16,-4.70,7.69,overconfident_wrong,1
31.86,-3.90,4.73,-1.97,confident_right,1
43.71,-1.18,-5.07,0.91,confident_right,1
25.02,-8.58,-1.58,-6.24,confident_right,1
27.03,4.28,3.53,-8.97,confident_right,1
52.39,-30.40,-0.48,1.56,confident_right,1
24.60,-0.75,-5.91,5.13,nonconfident_right,1
3.56,-1.29,2.64,-2.46,nonconfident_wrong,1
11.86,0.47,-6.43,3.90,nonconfident_wrong,1
42.81,-7.31,-2.83,5.10,overconfident_wrong,1
20.48,9.79,-0.88,0.85,overconfident_wrong,1
44.66,3.60,5.46,-12.06,confident_right,1
37.74,1.93,-0.35,0.36,nonconfident_right,1
31.52,-1.67,-0.57,-1.83,overconfident_wrong,1
38.55,-5.45,-2.10,-2.73,confident_right,1
40.18,-9.85,-0.58,-4.37,confident_right,1
43.06,-11.59,0.44,-0.13,confident_right,1
25.12,1.12,0.00,0.00,nonconfident_wrong,0
47.89,-14.21,0.13,2.29,nonconfident_wrong,1
18.15,7.04,1.10,-2.07,nonconfident_right,1
40.47,-14.99,-3.89,2.84,confident_right,1
44.28,-7.82,-7.11,5.98,overconfident_wrong,1
46.70,-15.63,-5.73,13.19,confident_right,1
27.51,8.27,0.00,0.00,nonconfident_wrong,0
16.44,7.73,0.25,0.24,nonconfident_wrong,1
31.76,-6.43,-0.18,0.72,overconfident_wrong,1
42.96,-3.56,5.28,-1.71,nonconfident_wrong,1
51.78,-28.41,0.20,1.14,nonconfident_wrong,1
54.36,-23.44,4.90,-11.33,nonconfident_right,1
12.78,-9.97,-0.05,0.76,overconfident_wrong,1
34.44,-1.33,-2.08,0.69,nonconfident_right,1
43.63,-14.98,-8.42,7.11,overconfident_wrong,1
48.76,-31.29,-0.93,2.73,confident_right,1
10.08,9.54,1.02,-2.55,nonconfident_right,1
49.20,-20.98,-1.92,2.19,confident_right,1
31.16,-3.10,11.67,4.46,confident_right,1
20.95,2.94,-2.66,3.44,nonconfident_right,1
21.12,8.16,2.11,-6.62,nonconfident_right,1
53.97,-18.72,-0.60,-4.12,nonconfident_wrong,1
25.74,1.09,12.53,-11.97,overconfident_wrong,1
26.84,4.28,7.51,-7.73,nonconfident_right,1
29.28,-11.34,-3.27,6.37,nonconfident_wrong,1
2.13,2.99,1.33,2.10,nonconfident_wrong,1
38.97,-2.02,-1.38,-1.30,nonconfident_right,1
42.94,-11.57,-10.94,8.35,overconfident_wrong,1
23.46,3.46,-2.97,0.48,confident_right,1
35.73,-6.20,-1.84,5.66,overconfident_wrong,1
30.11,-2.52,1.47,-8.35,nonconfident_right,1
15.23,-11.84,-0.05,-1.03,nonconfident_right,1
28.51,6.39,0.01,0.09,nonconfident_wrong,1
31.73,-4.42,3.62,-5.53,nonconfident_wrong,1
33.04,8.47,4.64,-13.66,confident_right,1
43.52,-4.86,10.93,-11.62,nonconfident_right,1
26.28,-7.35,-2.42,0.08,confident_right,1
41.27,-5.52,11.81,-14.86,overconfident_wrong,1
35.29,-4.25,-1.27,1.06,confident_right,1
42.93,-7.05,-0.84,-2.67,overconfident_wrong,1
39.71,2.94,3.10,-6.06,nonconfident_wrong,1
33.23,-5.32,-0.97,3.59,nonconfident_right,1
47.29,-10.77,-12.82,9.05,nonconfident_wrong,1
47.69,-13.95,-8.43,2.33,confident_right,1
11.51,8.45,-12.38,4.85,nonconfident_right,1
33.81,2.14,3.02,-4.62,nonconfident_wrong,1
14.04,5.40,-10.72,2.70,nonconfident_wrong,1
37.91,-5.44,0.02,-6.84,nonconfident_wrong,1
29.31,3.64,3.41,2.52,nonconfident_right,1
33.11,10.52,-6.85,-4.81,nonconfident_right,1
49.72,-20.17,0.54,-8.28,nonconfident_wrong,1
30.01,-15.20,-4.64,3.51,overconfident_wrong,1
33.36,4.84,2.75,-5.38,overconfident_wrong,1
17.62,0.06,0.00,0.00,nonconfident_right,0
-0.55,7.01,1.81,-1.28,nonconfident_right,1
12.06,9.35,-11.55,1.96,nonconfident_wrong,1
47.05,-15.79,-5.65,2.45,confident_right,1
44.77,-26.88,-2.69,7.50,nonconfident_right,1
16.83,4.38,4.74,-6.23,nonconfident_right,1
39.61,-15.82,-0.44,5.37,confident_right,1
37.05,-18.60,2.24,-7.63,confident_right,1
14.08,-11.91,-0.07,0.06,nonconfident_wrong,1
25.35,5.51,5.93,-13.86,confident_right,1
28.86,-1.71,0.00,0.00,overconfident_wrong,0
35.78,-9.91,-2.04,6.38,confident_right,1
16.68,-1.16,-0.41,-0.05,confident_right,1
-8.39,11.21,3.54,-2.27,nonconfident_wrong,1
17.32,7.71,-11.94,3.17,nonconfident_wrong,1
36.32,-3.61,11.79,-23.22,confident_right,1
33.47,-0.93,-11.76,11.50,confident_right,1
25.63,1.12,-1.93,0.70,overconfident_wrong,1
37.97,-12.58,-3.83,3.14,confident_right,1
53.22,-20.58,-2.12,-1.02,nonconfident_wrong,1
36.91,-12.77,-12.85,16.11,confident_right,1
36.85,-8.81,-0.30,0.41,overconfident_wrong,1
45.40,-4.53,-8.36,4.16,nonconfident_wrong,1
-0.62,13.49,15.13,-10.18,nonconfident_wrong,1
48.36,-8.51,-2.35,-3.34,confident_right,1
9.96,4.66,0.88,-0.51,nonconfident_right,1
31.30,12.74,4.74,-10.69,nonconfident_right,1
22.08,7.11,12.45,-3.60,confident_right,1
32.75,-3.41,-0.10,-0.21,confident_right,1
42.51,-8.37,5.48,-13.78,nonconfident_wrong,1
36.08,15.18,3.89,-4.39,overconfident_wrong,1
36.35,-9.52,-5.34,13.77,overconfident_wrong,1
43.95,-5.77,-1.70,-5.61,overconfident_wrong,1
23.58,8.22,0.02,0.07,nonconfident_right,1
14.31,1.60,0.00,0.00,nonconfident_wrong,0
49.20,-21.47,-5.92,10.36,overconfident_wrong,1
33.60,-11.36,2.48,4.55,nonconfident_right,1
25.70,-4.96,4.37,-0.55,confident_right,1
42.37,-12.38,-6.17,-1.85,confident_right,1
18.59,6.20,3.25,-13.20,nonconfident_right,1
43.55,-3.96,9.75,-21.21,confident_right,1
36.15,-7.70,4.24,-20.29,overconfident_wrong,1
10.44,-1.52,-2.85,0.68,nonconfident_wrong,1
25.04,1.43,-1.22,-0.27,nonconfident_wrong,1
45.55,-20.86,2.04,1.00,confident_right,1
30.16,-1.24,1.71,2.43,overconfident_wrong,1
14.85,-13.19,-0.93,-4.95,nonconfident_wrong,1
41.17,-10.09,-0.88,-4.50,confident_right,1
38.42,-7.52,-0.58,1.35,nonconfident_wrong,1
52.25,-26.92,1.32,-1.82,confident_right,1
6.43,6.30,-3.50,2.31,nonconfident_wrong,1
2.38,-0.12,-5.56,1.92,nonconfident_wrong,1
57.98,-25.86,-0.23,0.87,confident_right,1
24.86,-4.91,-2.38,4.84,nonconfident_right,1
34.49,3.48,0.00,0.00,overconfident_wrong,0
23.41,1.07,-3.14,5.30,nonconfident_wrong,1
50.83,-5.86,-3.47,-13.96,nonconfident_right,1
29.58,-5.85,-5.25,8.65,nonconfident_right,1
46.01,-15.43,-1.80,-5.85,nonconfident_right,1
13.71,7.38,10.50,-3.66,nonconfident_wrong,1
34.24,-5.03,-3.30,5.57,nonconfident_right,1
1.07,7.62,-3.13,-0.13,nonconfident_right,1
36.17,-6.74,-2.47,6.72,nonconfident_right,1
35.65,-14.97,-1.70,8.47,nonconfident_right,1
47.63,-18.48,-10.28,8.24,confident_right,1
32.00,6.50,0.21,-0.20,overconfident_wrong,1
36.51,-8.69,2.26,-8.69,nonconfident_wrong,1
35.04,-3.06,5.59,-9.97,nonconfident_wrong,1
37.18,1.21,11.71,-17.80,overconfident_wrong,1
-3.12,17.33,24.54,-15.77,nonconfident_wrong,1
