x,y,u,v,state,changed
44.49,-9.28,-13.94,8.58,nonconfident_wrong,1
43.23,-17.85,0.29,-0.06,confident_right,1
16.37,-1.26,-2.15,3.75,nonconfident_wrong,1
30.84,9.37,0.88,-8.33,nonconfident_wrong,1
38.71,4.22,5.29,-4.52,nonconfident_wrong,1
21.62,-1.02,-4.46,5.64,overconfident_wrong,1
34.74,-5.46,-1.44,0.74,nonconfident_right,1
36.78,-2.03,7.15,-4.29,confident_right,1
3.35,0.27,3.96,-0.55,nonconfident_wrong,1
23.52,-0.60,1.68,-2.10,nonconfident_wrong,1
17.43,1.31,1.88,-1.96,nonconfident_wrong,1
12.76,1.51,7.63,-2.43,nonconfident_wrong,1
38.40,-6.09,-8.72,10.10,nonconfident_right,1
9.93,-9.82,1.01,-0.77,nonconfident_wrong,1
35.01,0.67,4.95,-1.03,overconfident_wrong,1
25.67,6.99,-0.05,-0.35,confident_right,1
41.59,-7.95,0.34,2.31,overconfident_wrong,1
31.50,-2.53,3.85,-4.12,nonconfident_wrong,1
29.14,-7.11,-1.42,4.52,nonconfident_wrong,1
36.03,0.47,5.20,-6.19,confident_right,1
40.68,-1.63,-0.94,2.44,overconfident_wrong,1
47.18,-10.94,4.57,-4.02,confident_right,1
10.47,-8.89,0.50,0.67,nonconfident_right,1
24.03,0.94,0.12,-1.18,nonconfident_right,1
31.55,1.12,6.85,-7.41,confident_right,1
40.56,-0.84,-5.62,-1.32,nonconfident_wrong,1
33.54,1.84,-0.43,-0.16,nonconfident_wrong,1
41.67,1.14,0.91,-2.79,overconfident_wrong,1
30.98,3.90,0.79,0.55,confident_right,1
25.25,-4.35,-1.59,2.60,nonconfident_right,1
36.34,-8.58,-0.25,3.11,nonconfident_wrong,1
45.25,-26.84,-0.38,1.32,nonconfident_wrong,1
24.39,5.99,0.67,0.87,overconfident_wrong,1
26.40,11.28,7.70,-10.54,nonconfident_right,1
50.37,-15.68,-1.12,0.42,nonconfident_wrong,1
45.73,-10.83,-2.51,0.31,nonconfident_wrong,1
33.66,3.54,0.00,0.00,nonconfident_wrong,0
38.51,-2.56,-2.98,5.40,overconfident_wrong,1
17.33,-6.15,-0.61,1.06,overconfident_wrong,1
51.07,-18.32,-0.86,-2.11,nonconfident_right,1
32.06,-4.83,0.24,0.75,nonconfident_wrong,1
-4.26,4.33,15.69,-11.23,nonconfident_right,1
38.66,-19.63,1.46,2.19,nonconfident_right,1
26.32,2.65,-2.58,1.41,confident_right,1
45.67,-5.15,2.65,-5.79,confident_right,1
42.41,-9.34,-10.67,7.71,overconfident_wrong,1
42.10,-7.49,-1.12,1.09,overconfident_wrong,1
31.25,1.13,-4.06,3.44,overconfident_wrong,1
27.88,2.31,8.92,-7.10,confident_right,1
8.34,-8.26,0.29,0.36,nonconfident_right,1
31.03,-8.47,-19.07,19.01,confident_right,1
26.32,-1.34,0.05,1.84,nonconfident_wrong,1
44.95,-18.16,0.35,6.55,overconfident_wrong,1
31.86,-3.90,-1.26,7.68,confident_right,1
43.71,-1.18,-2.60,-6.27,confident_right,1
25.02,-8.58,0.00,0.00,confident_right,0
27.03,4.28,5.33,0.19,confident_right,1
52.39,-30.40,0.25,1.21,confident_right,1
24.60,-0.75,-6.14,5.04,nonconfident_right,1
3.56,-1.29,-1.44,1.55,nonconfident_wrong,1
11.86,0.47,-1.14,-0.02,nonconfident_wrong,1
42.81,-7.31,-1.43,3.45,overconfident_wrong,1
20.48,9.79,-3.80,1.10,overconfident_wrong,1
44.66,3.60,6.57,-21.29,confident_right,1
37.74,1.93,-2.04,-0.58,nonconfident_right,1
31.52,-1.67,4.41,-5.88,overconfident_wrong,1
38.55,-5.45,-6.92,9.02,confident_right,1
40.18,-9.85,-1.80,-1.97,confident_right,1
43.06,-11.59,-7.22,8.32,confident_right,1
25.12,1.12,3.71,0.89,nonconfident_wrong,1
47.89,-14.21,0.00,0.00,nonconfident_wrong,0
18.15,7.04,3.05,-4.52,nonconfident_right,1
40.47,-14.99,-1.74,6.30,confident_right,1
44.28,-7.82,-3.11,2.25,overconfident_wrong,1
46.70,-15.63,0.10,0.33,confident_right,1
27.51,8.27,-0.27,0.45,nonconfident_wrong,1
16.44,7.73,0.94,-0.96,nonconfident_wrong,1
