x,y,u,v,state,changed
44.49,-9.28,-9.78,4.03,nonconfident_wrong,1
43.23,-17.85,0.00,0.00,confident_right,0
16.37,-1.26,0.00,0.00,nonconfident_wrong,0
30.84,9.37,-5.02,-4.60,nonconfident_wrong,1
38.71,4.22,3.24,-20.55,nonconfident_wrong,1
21.62,-1.02,-2.46,-1.10,overconfident_wrong,1
34.74,-5.46,12.43,-26.01,nonconfident_right,1
36.78,-2.03,-0.48,-8.39,confident_right,1
3.35,0.27,-2.44,3.86,nonconfident_wrong,1
23.52,-0.60,-10.32,6.50,nonconfident_wrong,1
17.43,1.31,-1.69,7.93,nonconfident_wrong,1
12.76,1.51,-11.21,5.63,nonconfident_wrong,1
38.40,-6.09,-43.98,19.91,nonconfident_right,1
9.93,-9.82,2.12,-0.14,nonconfident_wrong,1
35.01,0.67,5.12,-3.28,overconfident_wrong,1
25.67,6.99,-1.23,-3.35,confident_right,1
41.59,-7.95,-2.00,3.53,overconfident_wrong,1
31.50,-2.53,6.39,-10.33,nonconfident_wrong,1
29.14,-7.11,-21.82,5.46,nonconfident_wrong,1
36.03,0.47,-3.97,-1.68,confident_right,1
40.68,-1.63,1.55,-6.18,overconfident_wrong,1
47.18,-10.94,0.00,0.00,confident_right,0
10.47,-8.89,-0.31,-1.04,nonconfident_right,1
24.03,0.94,-0.68,-3.36,nonconfident_right,1
31.55,1.12,7.40,-14.45,confident_right,1
40.56,-0.84,-8.47,5.73,nonconfident_wrong,1
33.54,1.84,-0.70,0.21,nonconfident_wrong,1
41.67,1.14,0.14,-13.10,overconfident_wrong,1
30.98,3.90,3.80,-4.94,confident_right,1
25.25,-4.35,-0.15,-6.33,nonconfident_right,1
36.34,-8.58,-2.69,-5.97,nonconfident_wrong,1
45.25,-26.84,0.00,0.00,nonconfident_wrong,0
24.39,5.99,1.09,-13.93,overconfident_wrong,1
26.40,11.28,-0.17,-11.14,nonconfident_right,1
50.37,-15.68,0.00,0.00,nonconfident_wrong,0
45.73,-10.83,0.00,0.00,nonconfident_wrong,0
33.66,3.54,1.54,-7.84,nonconfident_wrong,1
38.51,-2.56,-3.03,-3.55,overconfident_wrong,1
17.33,-6.15,-6.87,10.79,overconfident_wrong,1
51.07,-18.32,0.00,0.00,nonconfident_right,0
32.06,-4.83,-0.45,-5.61,nonconfident_wrong,1
-4.26,4.33,16.82,-14.78,nonconfident_right,1
38.66,-19.63,0.00,0.00,nonconfident_right,0
26.32,2.65,-8.13,6.04,confident_right,1
45.67,-5.15,-4.55,-3.03,confident_right,1
42.41,-9.34,-4.54,-0.14,overconfident_wrong,1
42.10,-7.49,-8.44,5.81,overconfident_wrong,1
31.25,1.13,-21.50,10.37,overconfident_wrong,1
27.88,2.31,4.68,-12.36,confident_right,1
8.34,-8.26,-1.26,1.68,nonconfident_right,1
31.03,-8.47,-16.58,13.58,confident_right,1
26.32,-1.34,-11.52,-3.55,nonconfident_wrong,1
44.95,-18.16,0.00,0.00,overconfident_wrong,0
31.86,-3.90,-23.59,10.18,confident_right,1
43.71,-1.18,-12.59,2.93,confident_right,1
25.02,-8.58,0.67,-10.43,confident_right,1
27.03,4.28,-9.73,3.08,confident_right,1
52.39,-30.40,0.00,0.00,confident_right,0
24.60,-0.75,-9.59,-0.29,nonconfident_right,1
3.56,-1.29,-1.01,1.67,nonconfident_wrong,1
11.86,0.47,-5.65,2.78,nonconfident_wrong,1
42.81,-7.31,0.96,0.60,overconfident_wrong,1
20.48,9.79,-2.21,-2.44,overconfident_wrong,1
44.66,3.60,2.44,-8.20,confident_right,1
37.74,1.93,-3.09,-7.83,nonconfident_right,1
31.52,-1.67,3.78,-9.04,overconfident_wrong,1
38.55,-5.45,-10.75,3.36,confident_right,1
40.18,-9.85,-1.93,-4.80,confident_right,1
43.06,-11.59,0.00,0.00,confident_right,0
25.12,1.12,-0.59,0.28,nonconfident_wrong,1
47.89,-14.21,0.00,0.00,nonconfident_wrong,0
18.15,7.04,0.45,-3.88,nonconfident_right,1
40.47,-14.99,0.00,0.00,confident_right,0
44.28,-7.82,-25.70,5.44,overconfident_wrong,1
46.70,-15.63,0.00,0.00,confident_right,0
27.51,8.27,-6.53,5.10,nonconfident_wrong,1
16.44,7.73,3.12,-2.94,nonconfident_wrong,1
31.76,-6.43,-2.32,9.08,overconfident_wrong,1
42.96,-3.56,-12.21,1.52,nonconfident_wrong,1
51.78,-28.41,0.00,0.00,nonconfident_wrong,0
54.36,-23.44,0.00,0.00,nonconfident_right,0
12.78,-9.97,-5.13,2.02,overconfident_wrong,1
34.44,-1.33,3.82,-7.73,nonconfident_right,1
43.63,-14.98,0.00,0.00,overconfident_wrong,0
48.76,-31.29,0.00,0.00,confident_right,0
10.08,9.54,-1.05,-1.76,nonconfident_right,1
49.20,-20.98,0.00,0.00,confident_right,0
31.16,-3.10,1.21,10.23,confident_right,1
20.95,2.94,-8.67,3.35,nonconfident_right,1
21.12,8.16,-4.14,-1.44,nonconfident_right,1
53.97,-18.72,0.00,0.00,nonconfident_wrong,0
25.74,1.09,7.57,-8.86,overconfident_wrong,1
26.84,4.28,-3.06,1.12,nonconfident_right,1
29.28,-11.34,0.00,0.00,nonconfident_wrong,0
2.13,2.99,-2.49,2.15,nonconfident_wrong,1
38.97,-2.02,-4.32,-0.89,nonconfident_right,1
42.94,-11.57,0.00,0.00,overconfident_wrong,0
23.46,3.46,2.42,-8.96,confident_right,1
35.73,-6.20,6.15,-8.26,overconfident_wrong,1
30.11,-2.52,-2.39,-1.65,nonconfident_right,1
15.23,-11.84,0.00,0.00,nonconfident_right,0
28.51,6.39,-5.44,-0.66,nonconfident_wrong,1
31.73,-4.42,4.20,-5.62,nonconfident_wrong,1
33.04,8.47,7.65,-19.79,confident_right,1
43.52,-4.86,2.50,-8.63,nonconfident_right,1
26.28,-7.35,-10.03,12.64,confident_right,1
41.27,-5.52,6.76,-15.84,overconfident_wrong,1
35.29,-4.25,-2.57,-1.66,confident_right,1
42.93,-7.05,-7.16,3.43,overconfident_wrong,1
39.71,2.94,7.19,-9.14,nonconfident_wrong,1
33.23,-5.32,-5.50,9.25,nonconfident_right,1
47.29,-10.77,0.00,0.00,nonconfident_wrong,0
47.69,-13.95,0.00,0.00,confident_right,0
11.51,8.45,-22.45,9.54,nonconfident_right,1
33.81,2.14,4.22,-12.55,nonconfident_wrong,1
14.04,5.40,-5.93,1.14,nonconfident_wrong,1
37.91,-5.44,-9.65,7.76,nonconfident_wrong,1
29.31,3.64,-3.38,1.19,nonconfident_right,1
33.11,10.52,-1.18,-10.50,nonconfident_right,1
49.72,-20.17,0.00,0.00,nonconfident_wrong,0
30.01,-15.20,0.00,0.00,overconfident_wrong,0
33.36,4.84,0.33,-0.65,overconfident_wrong,1
17.62,0.06,0.11,-1.19,nonconfident_right,1
-0.55,7.01,4.02,-5.21,nonconfident_right,1
12.06,9.35,-9.92,-0.72,nonconfident_wrong,1
47.05,-15.79,0.00,0.00,confident_right,0
44.77,-26.88,0.00,0.00,nonconfident_right,0
16.83,4.38,1.71,-5.10,nonconfident_right,1
39.61,-15.82,0.00,0.00,confident_right,0
37.05,-18.60,0.00,0.00,confident_right,0
14.08,-11.91,0.00,0.00,nonconfident_wrong,0
25.35,5.51,3.89,-12.12,confident_right,1
28.86,-1.71,-4.14,0.86,overconfident_wrong,1
35.78,-9.91,-0.22,5.40,confident_right,1
16.68,-1.16,4.41,-11.19,confident_right,1
-8.39,11.21,2.17,-1.01,nonconfident_wrong,1
17.32,7.71,-15.73,5.72,nonconfident_wrong,1
36.32,-3.61,14.59,-31.35,confident_right,1
33.47,-0.93,-8.31,5.03,confident_right,1
25.63,1.12,-8.10,8.84,overconfident_wrong,1
37.97,-12.58,0.00,0.00,confident_right,0
53.22,-20.58,0.00,0.00,nonconfident_wrong,0
36.91,-12.77,0.00,0.00,confident_right,0
36.85,-8.81,-4.35,1.76,overconfident_wrong,1
45.40,-4.53,-5.41,-5.48,nonconfident_wrong,1
-0.62,13.49,16.38,-10.54,nonconfident_wrong,1
48.36,-8.51,0.68,-10.82,confident_right,1
9.96,4.66,-2.63,-1.56,nonconfident_right,1
31.30,12.74,7.76,-22.24,nonconfident_right,1
22.08,7.11,9.86,-0.25,confident_right,1
32.75,-3.41,-2.22,-2.95,confident_right,1
42.51,-8.37,-1.31,-8.17,nonconfident_wrong,1
36.08,15.18,2.31,-14.75,overconfident_wrong,1
36.35,-9.52,-2.47,3.49,overconfident_wrong,1
43.95,-5.77,-8.89,-3.99,overconfident_wrong,1
23.58,8.22,-0.06,-4.03,nonconfident_right,1
14.31,1.60,5.14,-8.20,nonconfident_wrong,1
49.20,-21.47,0.00,0.00,overconfident_wrong,0
33.60,-11.36,0.00,0.00,nonconfident_right,0
25.70,-4.96,3.60,0.03,confident_right,1
42.37,-12.38,0.00,0.00,confident_right,0
18.59,6.20,-0.53,-7.04,nonconfident_right,1
43.55,-3.96,9.06,-23.95,confident_right,1
36.15,-7.70,4.37,-20.27,overconfident_wrong,1
10.44,-1.52,-0.85,-4.17,nonconfident_wrong,1
25.04,1.43,1.31,-4.12,nonconfident_wrong,1
45.55,-20.86,0.00,0.00,confident_right,0
30.16,-1.24,-11.04,8.14,overconfident_wrong,1
14.85,-13.19,0.00,0.00,nonconfident_wrong,0
41.17,-10.09,0.00,0.00,confident_right,0
38.42,-7.52,-21.10,1.39,nonconfident_wrong,1
52.25,-26.92,0.00,0.00,confident_right,0
6.43,6.30,-9.72,4.68,nonconfident_wrong,1
2.38,-0.12,-6.00,0.50,nonconfident_wrong,1
57.98,-25.86,0.00,0.00,confident_right,0
24.86,-4.91,-1.49,2.51,nonconfident_right,1
34.49,3.48,-2.10,-6.34,overconfident_wrong,1
23.41,1.07,-0.19,-2.95,nonconfident_wrong,1
50.83,-5.86,-10.16,-1.08,nonconfident_right,1
29.58,-5.85,-13.54,0.05,nonconfident_right,1
46.01,-15.43,0.00,0.00,nonconfident_right,0
13.71,7.38,7.38,-8.51,nonconfident_wrong,1
34.24,-5.03,-2.90,0.98,nonconfident_right,1
1.07,7.62,-3.97,0.27,nonconfident_right,1
36.17,-6.74,-7.85,13.27,nonconfident_right,1
35.65,-14.97,0.00,0.00,nonconfident_right,0
47.63,-18.48,0.00,0.00,confident_right,0
32.00,6.50,-0.16,-0.20,overconfident_wrong,1
36.51,-8.69,-0.46,-8.15,nonconfident_wrong,1
35.04,-3.06,2.24,-9.95,nonconfident_wrong,1
37.18,1.21,0.95,-10.17,overconfident_wrong,1
-3.12,17.33,24.36,-14.86,nonconfident_wrong,1
30.71,-3.96,-7.80,-0.83,nonconfident_wrong,1
44.92,5.88,-1.01,-10.85,overconfident_wrong,1
30.57,6.75,-5.15,4.41,overconfident_wrong,1
26.09,-2.42,-4.94,8.25,nonconfident_wrong,1
33.14,0.90,1.12,-8.00,overconfident_wrong,1
45.02,-2.00,-4.67,-10.15,nonconfident_wrong,1
27.74,-0.32,9.07,-11.37,confident_right,1
39.38,-8.42,-10.46,-2.05,nonconfident_right,1
31.80,-1.18,7.76,-10.22,nonconfident_wrong,1
43.17,-24.64,0.00,0.00,nonconfident_right,0
21.37,1.69,-1.49,1.96,nonconfident_right,1
45.33,-17.47,0.00,0.00,nonconfident_right,0
29.20,-2.06,10.92,-15.50,nonconfident_right,1
44.83,2.42,2.60,-21.90,overconfident_wrong,1
17.50,-11.56,0.00,0.00,nonconfident_wrong,0
37.65,-13.42,0.00,0.00,confident_right,0
37.50,-18.37,0.00,0.00,nonconfident_wrong,0
21.72,3.17,-5.79,8.73,nonconfident_wrong,1
38.82,-10.14,0.00,0.00,nonconfident_wrong,0
11.78,3.24,5.09,-7.09,nonconfident_wrong,1
38.95,-6.67,4.39,-10.57,overconfident_wrong,1
46.77,-7.72,-11.01,6.82,confident_right,1
23.28,-7.72,-2.72,-3.16,nonconfident_wrong,1
14.14,-4.21,-8.27,5.04,nonconfident_right,1
22.15,-0.55,-5.32,-4.06,confident_right,1
29.41,5.06,2.77,-11.77,nonconfident_right,1
39.31,-13.12,0.00,0.00,nonconfident_wrong,0
10.61,-12.53,0.00,0.00,nonconfident_wrong,0
40.20,4.94,-3.60,3.35,nonconfident_wrong,1
7.66,-9.24,0.84,-1.45,nonconfident_right,1
32.64,0.25,5.98,-15.72,overconfident_wrong,1
33.33,-9.22,-3.08,2.62,nonconfident_wrong,1
-6.97,10.17,5.24,-0.39,nonconfident_right,1
42.27,-23.48,0.00,0.00,confident_right,0
28.07,11.40,-2.55,-4.89,nonconfident_wrong,1
40.90,3.16,-4.55,3.68,nonconfident_right,1
26.27,-2.21,-11.66,10.06,overconfident_wrong,1
13.15,4.30,7.54,-7.30,nonconfident_wrong,1
