x,y,u,v
43.06,-11.59,-36.45,11.25
45.25,-13.45,-52.63,36.32
24.39,5.99,-31.14,9.76
14.08,-11.91,3.98,-5.57
11.86,0.47,-19.73,10.57
16.61,5.00,-25.48,13.64
14.16,-4.82,-22.38,15.63
45.04,-28.89,-34.67,20.75
30.57,6.75,-31.93,8.95
35.29,-4.25,-41.93,21.38
27.88,2.31,-19.36,-9.36
36.20,1.44,-41.53,13.77
35.01,0.67,-42.32,14.96
39.38,-8.42,-44.97,19.16
7.66,-9.24,-15.57,16.54
43.23,-17.85,-46.31,27.91
26.27,-2.21,-34.44,18.94
17.32,7.71,-21.29,2.15
29.31,3.64,-31.57,11.59
44.95,-18.16,-47.16,32.81
43.55,-3.96,-32.83,7.20
25.67,6.99,-28.53,-3.76
12.76,1.51,-12.77,7.46
9.93,-9.82,-21.02,19.85
35.36,5.87,-38.89,9.93
38.71,4.22,-35.43,4.85
26.09,-2.42,-30.97,10.07
33.23,-5.32,-33.58,15.41
22.15,-0.55,-14.26,-9.50
41.53,2.15,-35.32,-0.60
11.51,8.45,-12.99,-1.35
-6.97,10.17,12.41,-11.97
36.11,-2.15,-37.97,11.07
49.72,-20.17,-52.40,31.11
34.49,3.48,-36.54,10.08
33.11,10.52,-40.79,10.28
47.69,-13.95,-47.41,22.04
49.56,-19.69,-47.70,28.27
31.30,12.74,-30.41,-1.40
46.77,-7.72,-51.16,13.66
48.69,-6.06,-45.19,11.62
26.32,-1.34,-34.44,13.27
38.97,-2.02,-36.24,7.82
42.51,-8.37,-42.67,17.29
42.81,-7.31,-37.39,13.19
38.42,-7.52,-38.09,16.94
45.53,-8.80,-52.41,23.77
46.21,-5.97,-48.54,15.68
23.46,3.46,-29.80,16.49
23.58,8.22,-23.03,-2.10
-0.62,13.49,-7.15,-6.44
45.63,-21.47,-49.43,29.14
48.99,-12.21,-49.02,23.27
43.17,-24.64,-13.36,15.17
31.50,-2.53,-29.80,5.82
