x,y,u,v
14.31,1.60,-11.98,-2.52
27.51,8.27,-23.02,1.29
36.20,1.44,-34.91,8.39
41.53,2.15,10.16,-35.09
16.68,-1.16,-19.28,8.04
36.32,-3.61,-38.40,14.73
33.33,-9.22,-34.41,16.11
26.32,-1.34,-17.95,6.31
29.31,3.64,-27.59,10.23
1.07,7.62,-2.26,-7.75
46.71,-4.00,-53.82,14.60
40.56,-9.18,1.85,-20.26
28.07,11.40,-20.65,-3.74
34.28,4.01,-42.63,4.40
33.36,4.84,-27.56,13.37
31.55,1.12,-23.28,-0.71
48.36,-8.51,-53.10,16.89
32.64,0.25,-20.01,-5.78
38.42,-7.52,-3.54,-9.20
25.25,-4.35,-1.61,-1.43
35.86,-9.39,-43.00,24.13
27.88,2.31,-28.51,3.47
24.86,-4.91,-17.60,-6.23
25.35,5.51,-16.33,-15.69
33.11,10.52,-36.34,5.79
43.55,-3.96,-32.89,1.25
39.70,-3.22,-27.84,-6.90
3.35,0.27,-15.52,16.16
43.95,-5.77,-47.22,12.40
38.40,-6.09,-34.99,16.15
30.11,-2.52,-37.67,12.03
31.50,2.56,-27.95,10.76
29.20,-2.06,-18.94,-0.69
33.14,0.90,-6.01,-6.13
44.92,5.88,-35.70,-1.58
28.10,8.21,-33.00,5.23
22.15,-0.55,-14.79,-5.23
31.03,-8.47,-40.45,21.14
42.13,5.96,-47.48,8.32
25.04,1.43,-34.26,20.41
40.18,-9.85,-36.41,18.17
38.71,4.22,-31.86,1.74
11.86,0.47,-13.34,2.04
13.71,7.38,-14.01,3.51
31.57,-8.18,-50.04,23.55
25.12,1.12,-17.18,-11.95
23.34,10.22,-26.78,0.37
6.43,6.30,-18.03,7.86
33.23,-5.32,-33.44,15.09
30.71,-3.96,-28.75,12.04
33.81,2.14,-23.47,-14.01
42.51,-8.37,-39.20,10.43
10.08,9.54,-23.19,4.05
7.66,-9.24,-15.57,16.54
19.47,10.80,-21.99,3.24
