x,y,u,v
29.58,-5.85,-5.25,8.65
22.76,-4.67,-0.40,0.40
24.39,5.99,3.23,-4.30
45.55,-20.86,2.04,1.00
40.18,-9.85,-0.58,-4.37
14.04,5.40,-10.72,2.70
31.55,1.12,1.32,0.27
38.42,-7.52,-0.58,1.35
17.33,-6.15,1.19,-0.08
38.66,-19.63,-10.47,18.32
6.43,6.30,-3.50,2.31
30.39,-0.66,0.28,-2.09
31.16,-3.10,11.67,4.46
49.56,-19.69,0.15,-0.66
37.97,-12.58,-3.83,3.14
47.89,-14.21,0.13,2.29
38.71,4.22,4.82,-13.50
36.03,0.47,0.97,-7.10
33.11,10.52,-6.85,-4.81
41.53,2.15,-0.23,-6.70
45.03,-17.11,-0.04,-2.64
25.70,-4.96,4.37,-0.55
47.05,-15.79,-5.65,2.45
42.10,-7.49,-3.96,4.68
45.71,-4.77,0.81,-5.55
24.63,-5.79,-1.98,1.58
33.81,1.23,-2.18,-7.40
22.15,-0.55,-5.03,-4.18
33.14,0.90,1.83,-11.03
2.38,-0.12,-5.56,1.92
53.22,-20.58,-2.12,-1.02
23.52,-0.60,0.35,-0.82
33.04,8.47,4.64,-13.66
43.71,-1.18,-5.07,0.91
2.13,2.99,1.33,2.10
40.56,-0.84,-8.81,6.81
25.02,-8.58,-1.58,-6.24
42.37,-12.38,-6.17,-1.85
36.51,-8.69,2.26,-8.69
40.24,-6.89,-1.14,2.79
29.31,3.64,3.41,2.52
25.04,1.43,-1.22,-0.27
44.95,-18.16,-4.70,7.69
36.32,-3.61,11.79,-23.22
41.67,1.14,2.39,-7.24
35.65,-14.97,-1.70,8.47
41.27,-5.52,11.81,-14.86
12.78,-9.97,-0.05,0.76
48.69,-6.06,-2.31,2.29
33.47,-0.93,-11.76,11.50
27.84,-1.04,18.64,-24.14
21.12,8.16,2.11,-6.62
45.25,-13.45,-4.63,9.82
39.71,2.94,3.10,-6.06
42.96,-3.56,5.28,-1.71
