x,y,u,v
30.84,9.37,0.88,-8.33
21.72,3.17,-1.69,2.53
36.11,-2.15,-0.37,-0.19
18.15,7.04,3.05,-4.52
26.81,-2.48,-4.86,8.26
11.51,8.45,15.03,-15.35
19.47,10.80,1.03,-1.78
36.34,-8.58,-0.25,3.11
46.49,-5.31,-0.55,0.69
39.38,-8.42,-3.55,4.80
33.23,-5.32,0.04,5.95
25.98,0.38,-2.32,2.28
24.68,11.17,-2.76,5.75
15.00,-18.17,-0.52,1.28
26.09,-2.42,-6.05,2.97
45.71,-4.77,-1.04,-1.67
37.18,1.21,1.69,1.53
44.49,-9.28,-13.94,8.58
13.71,7.38,0.97,1.19
45.63,-21.47,-5.18,5.74
41.59,-7.95,0.34,2.31
16.83,4.38,3.36,-6.87
57.98,-25.86,-8.66,14.35
27.88,2.31,8.92,-7.10
36.08,15.18,-0.66,-10.21
18.59,6.20,-0.11,-7.50
8.34,-8.26,0.29,0.36
45.04,-28.89,3.83,1.43
40.56,-0.84,-5.62,-1.32
10.61,-12.53,-0.99,1.59
36.35,-9.52,0.25,9.15
28.10,8.21,1.06,-1.37
24.75,-7.39,0.74,-1.25
13.15,4.30,-16.41,5.74
46.21,-5.97,0.19,-1.48
25.12,1.12,3.71,0.89
23.52,-0.60,1.68,-2.10
49.56,-19.69,-0.59,0.60
35.65,-14.97,-6.35,-0.13
40.68,-1.63,-0.94,2.44
24.03,0.94,0.12,-1.18
41.17,-10.87,-5.34,5.06
21.62,-1.02,-4.46,5.64
47.05,-15.79,-3.28,-4.64
38.71,4.22,5.29,-4.52
17.50,-11.56,-1.51,5.06
45.03,-17.11,-8.82,10.79
42.96,-3.56,-2.14,-0.09
40.18,-9.85,-1.80,-1.97
44.28,-7.82,-3.11,2.25
45.25,-13.45,-1.61,6.28
0.24,12.11,-0.89,-7.34
52.25,-26.92,1.77,4.17
31.03,-8.47,-19.07,19.01
42.94,-11.57,-3.78,1.31
