x,y,u,v
38.97,-2.02,-4.32,-0.89
36.03,0.47,-3.97,-1.68
31.03,-8.47,-16.58,13.58
27.88,2.31,4.68,-12.36
12.78,-9.97,-5.13,2.02
50.83,-5.86,-10.16,-1.08
26.32,-1.34,-11.52,-3.55
33.33,-9.22,-3.08,2.62
20.95,2.94,-8.67,3.35
40.20,4.94,-3.60,3.35
24.63,-5.79,-4.92,-3.67
23.46,3.46,2.42,-8.96
42.51,-8.37,-1.31,-8.17
19.47,10.80,-3.41,0.77
26.28,-7.35,-10.03,12.64
25.04,1.43,1.31,-4.12
14.31,1.60,5.14,-8.20
26.40,11.28,-0.17,-11.14
3.35,0.27,-2.44,3.86
31.73,-4.42,4.20,-5.62
16.83,4.38,1.71,-5.10
33.23,-5.32,-5.50,9.25
25.63,1.12,-8.10,8.84
24.60,-0.75,-9.59,-0.29
34.44,-1.33,3.82,-7.73
36.34,-8.58,-2.69,-5.97
42.96,-3.56,-12.21,1.52
42.13,5.96,1.88,-3.78
6.43,6.30,-9.72,4.68
44.66,3.60,2.44,-8.20
29.20,-2.06,10.92,-15.50
-0.62,13.49,16.38,-10.54
36.78,-2.03,-0.48,-8.39
40.18,-9.85,-1.93,-4.80
34.74,-5.46,12.43,-26.01
35.78,-9.91,-0.22,5.40
42.41,-9.34,-4.54,-0.14
12.76,1.51,-11.21,5.63
39.70,-3.22,1.70,-2.82
8.34,-8.26,-1.26,1.68
22.08,7.11,9.86,-0.25
42.49,-1.83,-2.13,-2.76
38.42,-7.52,-21.10,1.39
13.15,4.30,7.54,-7.30
45.40,-4.53,-5.41,-5.48
1.07,7.62,-3.97,0.27
38.55,-5.45,-10.75,3.36
23.28,-7.72,-2.72,-3.16
24.86,-4.91,-1.49,2.51
32.75,-3.41,-2.22,-2.95
16.61,5.00,-1.69,-3.25
23.41,1.07,-0.19,-2.95
7.66,-9.24,0.84,-1.45
23.52,-0.60,-10.32,6.50
34.65,-9.15,-12.32,3.46
