x,y,u,v
29.78,0.21,8.35,-18.36
25.70,-4.96,3.60,0.03
35.36,5.87,0.31,-6.79
22.15,-0.55,-5.32,-4.06
40.18,-9.85,-1.93,-4.80
27.74,-0.32,9.07,-11.37
23.46,3.46,2.42,-8.96
39.75,-2.83,-1.47,-11.24
46.77,-7.72,-11.01,6.82
33.29,0.71,-6.09,5.08
35.78,-9.91,-0.22,5.40
41.13,0.46,3.33,-11.74
46.21,-5.97,4.16,-17.94
46.49,-5.31,-7.14,-1.42
24.55,5.62,-6.33,2.09
18.05,-0.67,2.15,-3.85
38.55,-5.45,-10.75,3.36
43.55,-3.96,9.06,-23.95
43.71,-1.18,-12.59,2.93
48.36,-8.51,0.68,-10.82
42.76,-2.69,-15.35,7.81
32.75,-3.41,-2.22,-2.95
