x,y,u,v
44.92,5.88,-1.01,-10.85
31.25,1.13,-21.50,10.37
33.14,0.90,1.12,-8.00
42.81,-7.31,0.96,0.60
31.76,-6.43,-2.32,9.08
44.28,-7.82,-25.70,5.44
35.01,0.67,5.12,-3.28
31.50,2.56,-1.38,0.26
42.93,-7.05,-7.16,3.43
38.95,-6.67,4.39,-10.57
42.41,-9.34,-4.54,-0.14
37.18,1.21,0.95,-10.17
30.39,-0.66,0.29,-4.23
25.63,1.12,-8.10,8.84
12.78,-9.97,-5.13,2.02
33.36,4.84,0.33,-0.65
25.74,1.09,7.57,-8.86
24.39,5.99,1.09,-13.93
26.27,-2.21,-11.66,10.06
36.08,15.18,2.31,-14.75
31.52,-1.67,3.78,-9.04
32.00,6.50,-0.16,-0.20
34.49,3.48,-2.10,-6.34
39.70,-3.22,1.70,-2.82
35.73,-6.20,6.15,-8.26
30.16,-1.24,-11.04,8.14
41.27,-5.52,6.76,-15.84
36.35,-9.52,-2.47,3.49
43.95,-5.77,-8.89,-3.99
20.48,9.79,-2.21,-2.44
