x,y,u,v
40.68,-1.63,-9.72,-3.02
24.39,5.99,6.57,-10.64
45.25,-13.45,-14.29,8.80
42.93,-7.05,-11.97,2.40
31.25,1.13,-0.29,-5.78
38.95,-6.67,-7.99,2.02
25.74,1.09,5.22,-5.74
31.76,-6.43,-0.80,1.78
44.92,5.88,-13.96,-10.53
20.48,9.79,10.48,-14.44
32.64,0.25,-1.68,-4.90
41.59,-7.95,-10.63,3.30
37.18,1.21,-6.22,-5.86
39.70,-3.22,-8.74,-1.43
25.63,1.12,5.33,-5.77
33.36,4.84,-2.40,-9.49
49.20,-21.47,-18.24,16.82
40.24,-18.67,-9.28,14.02
36.85,-8.81,-5.89,4.16
34.49,3.48,-3.53,-8.13
12.78,-9.97,18.18,5.32
36.15,-7.70,-5.19,3.05
35.01,0.67,-4.05,-5.32
30.57,6.75,0.39,-11.40
21.62,-1.02,9.34,-3.63
44.95,-18.16,-13.99,13.51
31.52,-1.67,-0.56,-2.98
44.83,2.42,-13.87,-7.07
42.81,-7.31,-11.85,2.66
31.50,2.56,-0.54,-7.21
