x,y
35.60,-8.56
47.07,-19.59
40.09,-14.07
39.48,-8.58
38.60,0.25
38.25,-7.12
40.13,-20.03
45.86,-16.13
49.48,-27.11
39.26,-14.91
28.60,-2.92
31.85,-9.46
45.39,-22.49
38.94,-1.99
42.25,-21.49
45.25,-15.90
49.15,-30.59
40.09,-17.51
42.72,-11.68
35.73,-7.63
38.61,-13.33
35.74,-6.07
37.39,-7.22
48.21,-16.71
45.20,-15.01
46.42,-11.44
29.92,-4.25
29.93,-7.26
40.83,-17.36
39.62,0.64
22.18,-1.81
46.99,-21.20
32.07,1.18
41.00,-9.02
41.02,-6.28
36.16,4.54
49.67,-14.40
45.72,-11.55
51.29,-17.94
44.00,-13.84
40.54,-17.93
35.81,1.02
39.28,-6.90
50.42,-21.39
37.82,-16.81
41.52,-7.98
41.62,-2.92
41.36,-9.14
37.94,-8.69
35.08,-0.97
41.31,-15.64
44.45,-12.43
43.52,-19.24
38.08,-12.64
44.41,-18.71
30.22,-4.09
45.04,-7.84
29.84,0.60
37.37,-5.49
47.86,-18.78
33.70,0.52
47.37,-2.12
42.45,-8.72
40.25,-3.58
44.96,-10.44
39.87,-3.18
42.10,-22.71
33.99,-11.37
48.27,-7.74
37.50,-11.84
28.42,-12.72
30.85,-5.88
39.09,-1.91
36.01,-4.30
46.26,-22.62
39.28,-11.45
47.16,-15.94
38.97,-4.84
45.31,-12.02
37.14,-8.66
42.63,-16.28
41.27,-14.53
34.43,-11.14
38.41,-4.69
42.85,-14.62
27.23,-0.31
44.31,-12.16
39.81,-12.15
39.53,-12.47
36.78,1.53
23.66,-1.10
26.62,5.50
41.87,-15.78
38.81,-20.02
33.16,-18.22
34.28,-7.96
38.74,-11.58
38.57,-5.35
36.24,-8.21
49.43,-28.74
43.29,-8.30
46.13,-15.58
45.85,-24.96
34.40,-2.64
51.14,-18.64
43.99,-17.94
40.14,-4.29
45.26,-13.80
45.79,-10.90
35.14,-9.67
34.23,-6.02
37.84,-14.72
42.34,-13.09
44.92,-13.25
49.47,-17.85
32.15,-11.33
40.89,-17.87
48.32,-24.38
45.84,-12.37
40.96,-9.42
25.81,2.90
26.96,-7.19
45.70,-27.92
25.33,-3.26
42.81,-18.07
28.68,-4.89
43.08,-12.85
34.89,-3.50
49.91,-11.69
47.31,-10.42
37.56,-24.06
39.17,-2.92
49.55,-17.63
45.58,-14.74
33.76,-9.04
41.91,-3.39
42.08,-19.48
37.66,-19.42
38.24,-1.17
32.05,-7.12
43.67,-9.02
35.91,7.92
8.43,-1.58
17.32,-2.75
36.74,-5.64
36.28,-8.86
36.05,-13.61
43.92,-9.44
44.24,-13.08
43.47,-16.34
45.16,-24.82
42.45,-28.27
49.49,-23.90
46.09,-11.90
46.46,-16.30
49.15,-23.92
22.40,3.23
27.99,0.05
42.05,-9.83
49.48,-15.60
