x,y
38.45,-12.18
46.78,-16.03
43.26,-7.88
39.29,-9.11
40.07,-17.47
35.34,-6.21
45.43,-20.25
35.74,-13.72
27.74,1.73
32.99,-2.70
45.29,-5.53
48.44,-15.15
14.87,-13.08
39.61,0.66
12.70,-8.64
34.25,-8.75
42.59,-14.20
28.99,-5.85
46.99,-28.62
35.79,-9.53
39.56,-13.01
40.97,-2.88
48.80,-14.36
27.11,-6.51
27.21,-8.96
47.45,-9.67
41.69,-5.53
32.88,-16.48
47.56,-23.66
28.44,-3.09
34.40,-7.25
34.68,-4.62
52.19,-12.75
33.35,-1.62
34.24,-7.95
35.03,-10.30
36.85,-17.46
51.13,-18.66
49.09,-25.12
39.18,-9.48
31.35,-8.48
33.40,-4.79
25.66,-3.81
38.04,-9.22
48.37,-6.47
35.66,-6.33
17.29,-2.72
36.14,-2.02
35.88,-9.30
36.70,-6.22
0.33,-2.51
12.87,-3.76
32.83,-5.56
31.87,-2.51
