x,y
41.91,-8.07
33.92,-9.13
35.93,-2.73
35.50,3.94
39.68,-17.82
38.97,-18.81
30.68,-2.52
34.04,-16.79
31.83,-0.30
43.81,-2.57
35.16,0.46
25.51,-7.66
32.13,-1.29
46.63,-19.84
36.27,-4.44
38.68,-3.05
34.48,-4.17
37.88,-11.52
41.70,-20.02
15.54,-18.71
45.29,-11.16
48.61,-24.24
42.69,-9.12
24.46,-3.15
26.26,4.23
47.86,-24.74
21.78,-10.25
36.36,1.16
39.77,-10.90
36.66,-5.43
32.84,-6.26
30.25,-3.03
48.80,-24.99
32.50,-1.61
36.37,-9.47
39.19,-9.48
29.29,5.78
24.67,7.33
25.60,1.41
27.56,-8.85
37.17,-1.61
22.11,-4.99
15.75,-12.19
34.89,-4.16
6.68,4.85
37.96,-1.86
41.40,-20.17
36.92,-2.98
27.11,6.50
38.59,-6.17
35.02,-7.46
36.69,-6.24
31.68,-4.96
54.57,-26.03
46.07,-17.20
12.89,-3.75
38.88,-10.98
