x,y
22.67,-4.09
20.65,0.20
13.32,1.30
1.66,2.89
14.82,4.05
15.16,0.55
0.61,17.40
28.61,6.19
14.11,5.78
2.06,4.58
9.47,4.43
4.70,7.96
8.36,4.20
12.39,8.64
25.09,9.35
16.93,-1.48
-1.27,4.88
8.73,5.99
28.41,1.43
33.66,-0.61
3.11,3.91
3.76,15.33
14.26,2.14
6.95,9.39
23.21,1.69
11.53,2.61
22.94,-2.25
4.08,8.48
13.16,1.81
21.98,0.60
12.12,4.48
33.52,2.20
6.63,5.48
12.19,7.15
7.15,6.81
7.31,-3.55
10.02,2.46
15.30,-2.16
32.40,2.96
16.00,3.15
-0.79,8.72
10.59,5.98
14.37,-2.34
22.40,6.46
9.53,3.55
5.88,4.32
-2.46,1.25
12.62,13.83
8.34,8.18
-0.72,17.53
18.98,-0.59
18.43,2.81
23.42,-4.22
6.78,4.53
6.08,10.80
10.67,7.06
20.13,-3.49
16.91,4.55
8.07,1.44
18.77,3.13
44.57,-3.81
17.47,-2.73
14.52,0.84
17.95,-0.55
16.74,4.66
2.38,5.48
0.55,7.69
11.53,3.43
25.80,10.47
29.06,4.08
5.45,3.65
15.99,6.83
10.32,4.45
-5.53,8.28
20.64,1.48
44.97,-7.06
