x,y
13.36,4.51
1.18,5.03
30.20,7.98
22.72,-1.97
9.17,12.42
16.16,8.07
9.34,3.16
-2.06,7.67
10.86,0.58
6.12,12.85
6.81,7.41
17.07,6.82
25.00,1.86
22.77,6.15
14.77,-1.92
4.42,0.58
3.32,1.94
11.71,3.56
25.84,5.02
0.96,6.32
10.86,6.96
26.81,5.06
17.21,-5.36
15.65,0.66
8.82,6.96
7.93,1.96
-11.03,8.12
24.03,-0.04
19.07,1.34
34.79,-5.74
1.94,6.67
6.94,12.64
20.82,-2.28
12.29,5.45
9.34,3.01
21.60,1.45
1.25,-0.13
16.41,6.45
-0.91,2.44
8.57,5.89
6.83,8.58
6.61,2.99
19.32,-3.76
8.62,6.96
5.32,12.98
26.85,-6.91
8.18,8.95
0.23,3.54
0.71,10.84
8.27,-0.11
4.27,-5.61
-3.73,12.44
1.38,5.31
2.06,5.38
12.91,8.13
17.75,6.45
9.29,1.18
-3.33,7.96
1.89,10.80
12.80,7.25
2.25,9.53
7.68,7.49
3.16,4.43
-1.66,4.88
11.16,6.38
5.47,-2.20
25.50,5.45
11.46,7.96
5.14,-0.64
-6.46,3.04
4.60,8.47
1.00,16.70
11.19,6.08
23.26,2.91
11.94,5.63
-1.69,12.92
2.97,3.87
19.85,-2.67
3.19,5.18
2.34,5.18
16.07,1.75
4.98,6.74
34.92,-2.60
20.22,-10.88
13.68,-5.08
-4.13,5.65
12.09,2.13
4.33,2.92
17.14,3.04
1.60,10.88
11.31,7.27
1.38,3.00
2.42,3.10
14.09,4.66
7.21,1.00
2.87,1.69
15.36,4.35
15.31,0.42
11.12,0.21
14.03,3.85
13.49,-0.82
18.39,4.67
-1.13,5.19
4.12,-2.55
5.97,10.40
2.66,11.51
21.38,-1.39
17.82,4.87
17.24,6.53
11.73,3.67
0.64,4.10
11.29,1.98
-2.34,7.86
3.94,10.68
-0.14,17.98
19.48,4.01
28.27,-3.25
5.64,2.43
7.01,5.62
7.26,5.85
14.46,0.41
29.08,-7.82
20.05,8.37
30.82,3.79
31.03,2.58
5.82,-0.49
-2.72,7.07
7.53,3.69
-2.54,17.25
14.09,5.96
38.85,-2.62
14.55,3.87
23.30,-2.19
12.79,-1.86
8.39,2.22
19.32,2.18
2.61,8.01
5.44,2.43
10.98,5.53
11.10,5.10
22.56,-1.47
-0.32,8.58
13.07,5.00
2.58,4.26
5.49,3.54
-1.56,9.95
13.75,6.07
8.39,6.31
3.92,11.20
35.84,-5.99
5.00,9.86
10.43,12.74
0.35,7.64
39.33,-0.98
15.54,5.97
-0.94,4.39
22.87,6.06
30.83,2.46
5.91,12.79
-9.85,8.27
23.13,3.95
-8.61,12.02
12.78,7.60
-2.73,11.97
11.99,6.75
8.58,3.69
6.99,10.58
21.04,-7.95
15.46,6.80
18.84,1.43
24.07,0.40
17.61,4.69
20.76,5.84
34.43,-12.20
10.02,12.65
12.17,2.03
2.12,3.83
13.68,3.90
20.92,-5.81
14.91,-0.66
23.42,2.43
6.88,4.72
18.06,0.60
2.41,13.86
5.65,0.41
8.03,9.01
11.23,2.89
