x,y
11.90,-12.99
14.67,-11.11
0.01,4.77
-4.93,6.43
1.82,-3.71
-1.88,2.17
3.99,6.59
5.99,-7.99
3.46,1.02
1.25,-2.45
3.84,-1.57
16.02,-15.33
-1.78,-2.10
9.34,-7.06
-0.96,1.26
4.83,-1.35
-2.34,1.40
4.72,-5.67
6.36,-3.19
-1.95,6.34
3.68,0.48
4.54,-1.07
8.86,-6.39
5.51,-4.81
7.26,-0.69
10.91,-4.67
5.36,-6.24
10.93,-6.17
5.15,-5.93
12.18,-6.89
10.80,-10.37
4.69,1.48
2.92,-3.97
5.33,-0.91
-0.67,8.03
9.52,-10.00
-3.05,1.80
8.60,-12.18
11.14,-7.11
3.04,-0.32
10.04,-5.79
9.58,-5.08
7.40,-3.45
-3.80,3.59
1.68,-2.15
4.32,-5.69
-3.89,3.33
2.25,-1.62
8.81,-7.15
11.46,-10.60
-1.15,2.08
8.07,-4.44
-5.35,7.70
-0.18,2.34
5.77,-1.77
4.35,-0.00
-1.41,6.26
-2.57,-0.45
2.78,-0.15
16.70,-6.89
7.92,-9.96
-0.00,-2.60
6.85,-9.96
-2.82,3.31
4.45,-2.90
6.88,-3.01
10.01,-9.61
1.14,2.84
7.78,-6.40
2.61,-0.38
12.24,-14.07
7.13,1.84
5.22,-2.67
13.44,-8.59
2.22,-4.86
6.98,-7.23
-3.79,-0.75
3.02,-8.22
-0.73,8.01
1.38,0.21
-3.55,4.05
-0.07,-0.24
-1.37,5.42
3.07,-0.49
9.66,-6.61
4.18,-4.40
7.55,-2.47
0.57,1.01
-1.18,3.48
5.19,-3.78
2.83,-3.91
-1.28,8.28
11.26,-12.86
4.45,0.11
0.48,2.04
8.29,-5.39
3.53,-1.72
4.64,-7.66
0.06,2.38
-1.69,5.14
-2.19,1.30
0.34,-1.83
9.80,-10.71
3.99,-2.91
14.20,-6.91
8.79,-8.69
5.80,-5.40
7.63,-4.31
-1.17,1.65
1.60,-4.85
8.73,-4.51
1.64,-1.28
2.76,-6.20
2.43,-2.63
1.48,-6.00
12.99,-4.49
3.65,-2.81
10.69,0.31
6.01,-6.51
8.38,-4.09
6.22,-3.62
-3.52,4.92
3.10,-0.93
10.44,-9.05
9.03,-6.26
3.65,-3.32
3.15,-6.28
8.04,-0.99
0.87,2.97
-0.25,-0.49
1.46,2.26
5.75,-0.32
1.62,-5.28
-0.51,1.79
6.18,-4.09
8.60,-2.02
8.47,-10.78
3.31,4.93
10.73,-9.74
4.86,-1.63
10.79,-7.09
12.23,-5.84
3.23,4.36
8.66,-6.98
7.06,-5.67
0.32,3.41
3.73,4.37
3.21,-6.93
5.01,-3.72
4.21,-6.03
9.77,-7.65
4.94,-3.43
3.30,-4.80
14.43,-7.07
7.65,-8.24
12.41,-12.56
6.18,1.84
-0.67,-0.44
8.23,-3.78
14.48,-6.90
