x,y
-0.50,5.06
-3.77,7.40
0.09,4.03
4.54,2.12
5.60,-7.90
1.06,1.76
3.18,2.89
-1.02,-1.43
4.85,2.51
3.33,2.68
10.04,-8.90
18.01,-11.87
-0.72,-0.13
5.83,3.13
1.39,1.87
5.87,-4.37
9.37,-12.87
12.67,-11.04
4.45,-4.26
0.03,0.04
-9.33,5.80
8.32,-5.11
5.43,1.95
2.02,-1.53
2.50,-0.50
7.03,-5.92
9.54,-3.60
5.15,1.05
-0.28,1.53
3.72,-5.92
-3.34,1.07
-2.27,1.94
3.10,-4.58
11.72,-8.62
1.28,-0.04
-5.69,4.25
6.43,-6.17
0.02,-2.56
-3.71,9.48
3.62,-4.47
7.03,-1.85
-0.43,4.51
0.56,-2.77
-0.31,-4.72
15.01,-11.20
1.30,4.60
8.06,-10.43
1.25,1.41
7.25,3.22
14.22,-11.32
0.02,-0.92
4.05,-0.43
3.03,1.85
-0.60,4.36
5.68,-1.80
5.45,-1.24
2.80,8.03
9.79,-4.22
10.15,-2.19
-3.06,-0.81
-0.98,2.71
5.68,5.81
9.51,-6.56
-1.70,5.94
-0.11,1.17
9.87,-11.60
-0.67,-1.32
3.75,1.90
0.22,1.46
12.74,-8.46
5.28,0.24
12.79,-10.10
11.10,-8.84
0.81,7.65
1.74,-0.96
3.03,4.79
-4.69,2.78
3.44,-3.29
-1.67,4.33
3.70,-1.36
-5.96,2.42
0.97,0.72
7.30,-3.11
7.47,-0.07
2.13,-5.12
4.84,-3.44
1.68,12.92
1.20,9.90
3.64,-1.06
7.98,-8.05
6.15,1.70
9.30,-8.67
4.17,-1.38
6.70,-4.10
8.20,-6.18
-2.70,2.60
-1.63,2.25
3.00,0.53
-6.10,10.78
-3.39,8.71
-3.22,4.52
5.03,3.99
2.32,0.57
6.70,1.71
-9.72,7.54
6.20,-9.25
8.53,-4.51
0.14,11.26
2.09,-2.44
2.57,1.52
5.02,-0.59
4.33,-3.65
-2.51,4.27
4.41,-3.43
-1.07,-0.80
-1.63,3.83
12.44,-6.48
-3.01,12.30
5.77,-2.39
12.29,-5.25
3.57,0.21
-0.92,1.86
