x,y
43.23,-17.85
36.78,-2.03
25.67,6.99
36.03,0.47
47.18,-10.94
31.55,1.12
30.98,3.90
26.32,2.65
45.67,-5.15
27.88,2.31
31.03,-8.47
31.86,-3.90
43.71,-1.18
25.02,-8.58
27.03,4.28
52.39,-30.40
44.66,3.60
38.55,-5.45
40.18,-9.85
43.06,-11.59
40.47,-14.99
46.70,-15.63
48.76,-31.29
49.20,-20.98
31.16,-3.10
23.46,3.46
33.04,8.47
26.28,-7.35
35.29,-4.25
47.69,-13.95
47.05,-15.79
39.61,-15.82
37.05,-18.60
25.35,5.51
35.78,-9.91
16.68,-1.16
36.32,-3.61
33.47,-0.93
37.97,-12.58
36.91,-12.77
48.36,-8.51
22.08,7.11
32.75,-3.41
25.70,-4.96
42.37,-12.38
43.55,-3.96
45.55,-20.86
41.17,-10.09
52.25,-26.92
57.98,-25.86
47.63,-18.48
27.74,-0.32
37.65,-13.42
46.77,-7.72
22.15,-0.55
42.27,-23.48
45.04,-28.89
34.87,-16.68
42.76,-2.69
45.03,-17.11
24.55,5.62
48.99,-12.21
46.21,-5.97
47.99,-25.34
46.49,-5.31
41.53,2.15
33.29,0.71
18.05,-0.67
35.36,5.87
39.75,-2.83
27.84,-1.04
26.81,-2.48
29.78,0.21
41.13,0.46
41.11,-18.19
40.46,-0.71
50.09,-25.23
