x,y
50.27,-24.31
36.88,-5.82
10.48,-8.89
24.52,-1.47
25.22,-4.28
38.12,-4.04
51.10,-18.33
15.38,-9.61
8.34,-8.38
39.99,-0.37
24.60,-0.77
37.73,1.96
18.56,6.67
27.51,8.28
54.37,-23.47
34.43,-1.34
10.88,9.40
21.06,8.21
28.81,2.23
38.15,-2.93
30.11,-2.49
27.56,9.58
42.39,-2.34
26.30,-7.37
33.32,-5.66
47.71,-13.96
-0.66,13.39
17.65,0.01
44.70,-26.83
28.42,0.98
17.33,7.74
37.92,-12.56
10.06,4.79
23.19,2.64
33.59,-11.31
35.71,-5.12
28.25,-12.86
23.43,1.07
49.58,-12.81
29.58,-5.87
42.57,-10.46
2.74,4.91
36.14,-6.72
35.61,-14.94
45.16,-2.59
43.12,-22.52
21.34,1.70
45.29,-17.46
29.16,-2.05
14.15,-4.19
27.58,2.39
38.18,8.28
7.65,-9.24
1.45,7.90
31.23,7.98
25.05,10.74
45.68,-4.74
49.55,-19.72
24.80,-7.43
20.97,8.55
22.75,-4.65
15.01,8.13
45.50,-8.73
14.94,-18.10
36.11,-2.16
31.53,-8.10
24.87,2.02
15.77,2.38
