x,y
44.49,-9.28
16.37,-1.26
30.84,9.37
38.71,4.22
3.35,0.27
23.52,-0.60
17.43,1.31
12.76,1.51
9.93,-9.82
31.50,-2.53
29.14,-7.11
40.56,-0.84
33.54,1.84
36.34,-8.58
45.25,-26.84
50.37,-15.68
45.73,-10.83
33.66,3.54
32.06,-4.83
26.32,-1.34
3.56,-1.29
11.86,0.47
25.12,1.12
47.89,-14.21
27.51,8.27
16.44,7.73
42.96,-3.56
51.78,-28.41
53.97,-18.72
29.28,-11.34
2.13,2.99
28.51,6.39
31.73,-4.42
39.71,2.94
47.29,-10.77
33.81,2.14
14.04,5.40
37.91,-5.44
49.72,-20.17
12.06,9.35
14.08,-11.91
-8.39,11.21
17.32,7.71
53.22,-20.58
45.40,-4.53
-0.62,13.49
42.51,-8.37
14.31,1.60
10.44,-1.52
25.04,1.43
14.85,-13.19
38.42,-7.52
6.43,6.30
2.38,-0.12
23.41,1.07
13.71,7.38
36.51,-8.69
35.04,-3.06
-3.12,17.33
30.71,-3.96
26.09,-2.42
45.02,-2.00
31.80,-1.18
17.50,-11.56
37.50,-18.37
21.72,3.17
38.82,-10.14
11.78,3.24
23.28,-7.72
39.31,-13.12
10.61,-12.53
40.20,4.94
33.33,-9.22
28.07,11.40
13.15,4.30
14.16,-4.82
24.68,11.17
46.71,-4.00
38.39,-14.18
24.75,-7.39
42.49,-1.83
41.17,-10.87
24.63,-5.79
34.28,4.01
42.13,5.96
36.20,1.44
34.65,-9.15
40.24,-6.89
12.89,2.48
45.63,-21.47
40.56,-9.18
35.86,-9.39
38.55,-9.28
42.25,-10.29
0.24,12.11
28.10,8.21
22.48,0.45
27.91,-5.88
38.91,-15.49
25.98,0.38
31.57,-8.18
24.90,1.77
23.34,10.22
49.63,-17.27
5.80,-4.00
6.89,-10.42
