x,y
43.16,-17.82
32.88,9.59
21.66,-1.03
38.28,-2.31
41.55,-7.99
39.92,1.03
45.61,-6.94
24.40,5.96
43.96,-2.95
17.27,-6.11
40.70,-13.26
31.42,-0.64
28.12,4.52
44.96,-18.15
41.83,-6.16
31.51,-1.65
43.21,-5.64
31.75,-6.43
12.77,-10.02
43.71,-18.42
42.94,-11.57
37.41,-10.37
31.56,-4.57
41.29,-5.31
42.88,-7.01
32.96,-12.70
33.40,4.80
28.82,-1.71
25.00,0.38
36.85,-8.78
39.49,11.68
34.99,3.27
47.29,-7.52
46.97,-15.47
36.14,-7.69
29.58,0.27
14.92,-13.21
32.54,-1.22
31.97,6.50
35.89,-6.21
37.80,5.08
29.00,9.02
33.50,0.48
46.13,2.91
35.27,-1.49
29.99,8.45
40.23,-6.88
26.41,-1.70
39.37,-1.96
31.65,-0.82
