x,y,state
22.67,-4.09,nonconfident_right
13.36,4.51,nonconfident_wrong
1.18,5.03,nonconfident_wrong
30.20,7.98,nonconfident_wrong
22.72,-1.97,nonconfident_wrong
9.17,12.42,nonconfident_wrong
16.16,8.07,nonconfident_wrong
9.34,3.16,nonconfident_wrong
-2.06,7.67,nonconfident_wrong
10.86,0.58,nonconfident_wrong
20.65,0.20,nonconfident_right
9.67,1.46,overconfident_wrong
13.32,1.30,nonconfident_right
6.12,12.85,nonconfident_wrong
1.66,2.89,nonconfident_right
14.82,4.05,nonconfident_right
15.16,0.55,nonconfident_right
6.81,7.41,nonconfident_wrong
17.07,6.82,nonconfident_wrong
25.00,1.86,nonconfident_wrong
0.61,17.40,nonconfident_right
22.77,6.15,nonconfident_wrong
28.61,6.19,nonconfident_right
14.77,-1.92,nonconfident_wrong
4.42,0.58,nonconfident_wrong
3.32,1.94,nonconfident_wrong
14.11,5.78,nonconfident_right
2.06,4.58,nonconfident_right
11.71,3.56,nonconfident_wrong
25.84,5.02,nonconfident_wrong
0.96,6.32,nonconfident_wrong
-0.73,12.46,confident_right
10.86,6.96,nonconfident_wrong
26.81,5.06,nonconfident_wrong
9.47,4.43,nonconfident_right
17.21,-5.36,nonconfident_wrong
4.70,7.96,nonconfident_right
15.65,0.66,nonconfident_wrong
8.82,6.96,nonconfident_wrong
7.93,1.96,nonconfident_wrong
-11.03,8.12,nonconfident_wrong
24.03,-0.04,nonconfident_wrong
8.36,4.20,nonconfident_right
12.39,8.64,nonconfident_right
19.07,1.34,nonconfident_wrong
34.79,-5.74,nonconfident_wrong
1.94,6.67,nonconfident_wrong
6.94,12.64,nonconfident_wrong
20.82,-2.28,nonconfident_wrong
12.29,5.45,nonconfident_wrong
25.09,9.35,nonconfident_right
16.93,-1.48,nonconfident_right
9.34,3.01,nonconfident_wrong
21.60,1.45,nonconfident_wrong
-1.27,4.88,nonconfident_right
1.25,-0.13,nonconfident_wrong
16.41,6.45,nonconfident_wrong
-0.91,2.44,nonconfident_wrong
8.57,5.89,nonconfident_wrong
6.83,8.58,nonconfident_wrong
8.73,5.99,nonconfident_right
6.61,2.99,nonconfident_wrong
19.32,-3.76,nonconfident_wrong
8.62,6.96,nonconfident_wrong
5.32,12.98,nonconfident_wrong
26.85,-6.91,nonconfident_wrong
8.18,8.95,nonconfident_wrong
28.41,1.43,nonconfident_right
0.23,3.54,nonconfident_wrong
33.66,-0.61,nonconfident_right
0.71,10.84,nonconfident_wrong
3.11,3.91,nonconfident_right
3.76,15.33,nonconfident_right
8.27,-0.11,nonconfident_wrong
4.27,-5.61,nonconfident_wrong
-3.73,12.44,nonconfident_wrong
14.26,2.14,nonconfident_right
1.38,5.31,nonconfident_wrong
2.06,5.38,nonconfident_wrong
8.86,2.55,overconfident_wrong
12.91,8.13,nonconfident_wrong
17.75,6.45,nonconfident_wrong
6.95,9.39,nonconfident_right
31.44,-4.95,overconfident_wrong
9.29,1.18,nonconfident_wrong
6.94,2.27,overconfident_wrong
-3.33,7.96,nonconfident_wrong
1.89,10.80,nonconfident_wrong
12.80,7.25,nonconfident_wrong
2.25,9.53,nonconfident_wrong
23.21,1.69,nonconfident_right
7.68,7.49,nonconfident_wrong
11.53,2.61,nonconfident_right
3.16,4.43,nonconfident_wrong
-1.66,4.88,nonconfident_wrong
22.94,-2.25,nonconfident_right
11.16,6.38,nonconfident_wrong
5.47,-2.20,nonconfident_wrong
25.50,5.45,nonconfident_wrong
27.83,-2.93,confident_right
11.46,7.96,nonconfident_wrong
15.31,5.42,confident_right
5.14,-0.64,nonconfident_wrong
-6.46,3.04,nonconfident_wrong
4.60,8.47,nonconfident_wrong
14.14,-1.50,overconfident_wrong
32.43,-1.38,overconfident_wrong
4.08,8.48,nonconfident_right
3.00,4.83,overconfident_wrong
1.00,16.70,nonconfident_wrong
11.19,6.08,nonconfident_wrong
13.16,1.81,nonconfident_right
23.26,2.91,nonconfident_wrong
11.94,5.63,nonconfident_wrong
-1.69,12.92,nonconfident_wrong
2.97,3.87,nonconfident_wrong
21.98,0.60,nonconfident_right
19.85,-2.67,nonconfident_wrong
12.12,4.48,nonconfident_right
3.19,5.18,nonconfident_wrong
2.34,5.18,nonconfident_wrong
24.03,3.85,overconfident_wrong
16.07,1.75,nonconfident_wrong
4.98,6.74,nonconfident_wrong
24.36,2.91,overconfident_wrong
33.52,2.20,nonconfident_right
6.63,5.48,nonconfident_right
34.92,-2.60,nonconfident_wrong
20.22,-10.88,nonconfident_wrong
36.82,-10.51,overconfident_wrong
12.19,7.15,nonconfident_right
13.68,-5.08,nonconfident_wrong
33.47,-2.29,overconfident_wrong
7.15,6.81,nonconfident_right
16.05,7.67,confident_right
7.31,-3.55,nonconfident_right
-4.13,5.65,nonconfident_wrong
9.62,2.69,overconfident_wrong
12.09,2.13,nonconfident_wrong
4.33,2.92,nonconfident_wrong
17.14,3.04,nonconfident_wrong
22.12,9.12,confident_right
10.02,2.46,nonconfident_right
15.30,-2.16,nonconfident_right
32.40,2.96,nonconfident_right
1.60,10.88,nonconfident_wrong
11.31,7.27,nonconfident_wrong
1.38,3.00,nonconfident_wrong
16.00,3.15,nonconfident_right
-0.79,8.72,nonconfident_right
2.42,3.10,nonconfident_wrong
14.09,4.66,nonconfident_wrong
7.21,1.00,nonconfident_wrong
2.87,1.69,nonconfident_wrong
10.59,5.98,nonconfident_right
4.41,3.97,overconfident_wrong
20.75,10.11,overconfident_wrong
15.36,4.35,nonconfident_wrong
14.37,-2.34,nonconfident_right
15.31,0.42,nonconfident_wrong
11.12,0.21,nonconfident_wrong
22.40,6.46,nonconfident_right
9.53,3.55,nonconfident_right
5.88,4.32,nonconfident_right
-2.46,1.25,nonconfident_right
14.03,3.85,nonconfident_wrong
13.49,-0.82,nonconfident_wrong
18.39,4.67,nonconfident_wrong
-1.13,5.19,nonconfident_wrong
30.55,1.96,confident_right
9.71,3.68,confident_right
4.12,-2.55,nonconfident_wrong
5.97,10.40,nonconfident_wrong
2.66,11.51,nonconfident_wrong
21.38,-1.39,nonconfident_wrong
25.62,6.44,overconfident_wrong
17.82,4.87,nonconfident_wrong
17.24,6.53,nonconfident_wrong
32.61,2.00,overconfident_wrong
22.82,3.13,overconfident_wrong
11.73,3.67,nonconfident_wrong
0.64,4.10,nonconfident_wrong
11.29,1.98,nonconfident_wrong
21.77,-3.72,confident_right
-2.34,7.86,nonconfident_wrong
12.62,13.83,nonconfident_right
8.34,8.18,nonconfident_right
-0.72,17.53,nonconfident_right
18.98,-0.59,nonconfident_right
3.94,10.68,nonconfident_wrong
36.07,0.50,overconfident_wrong
20.86,-5.75,overconfident_wrong
-0.14,17.98,nonconfident_wrong
18.97,-0.89,confident_right
32.86,-0.85,confident_right
18.43,2.81,nonconfident_right
19.48,4.01,nonconfident_wrong
23.42,-4.22,nonconfident_right
28.27,-3.25,nonconfident_wrong
5.64,2.43,nonconfident_wrong
7.01,5.62,nonconfident_wrong
7.26,5.85,nonconfident_wrong
22.77,-5.72,overconfident_wrong
6.78,4.53,nonconfident_right
14.46,0.41,nonconfident_wrong
29.08,-7.82,nonconfident_wrong
20.05,8.37,nonconfident_wrong
30.82,3.79,nonconfident_wrong
6.08,10.80,nonconfident_right
10.67,7.06,nonconfident_right
31.03,2.58,nonconfident_wrong
5.82,-0.49,nonconfident_wrong
-2.72,7.07,nonconfident_wrong
20.13,-3.49,nonconfident_right
