x,y
-0.50,5.06
-3.82,7.54
11.89,-13.02
-0.02,4.16
14.72,-11.09
-0.47,4.64
-4.95,6.45
1.82,-3.70
1.95,3.33
-1.62,5.66
0.66,-1.25
-1.58,2.14
3.93,6.65
3.36,-4.73
3.18,2.88
5.96,-7.96
3.47,1.02
1.23,-2.43
5.15,3.84
3.79,-1.55
-1.03,-1.44
16.00,-15.32
-1.79,-2.10
9.32,-7.08
2.13,4.24
3.30,2.67
-0.97,1.28
4.88,-1.41
10.02,-8.86
18.01,-11.86
-2.38,1.45
4.70,-5.66
-0.53,-2.16
6.34,-3.16
-1.93,6.34
3.70,0.47
-0.54,-1.10
5.86,3.12
1.10,1.94
4.47,-1.04
6.51,-2.02
5.49,-4.80
0.48,4.87
10.90,-4.67
5.88,-4.40
9.37,-12.88
5.36,-6.23
12.66,-11.09
5.02,-4.63
9.49,-3.67
5.14,-5.94
0.17,0.87
-9.33,5.82
13.32,-7.81
10.78,-10.37
1.98,2.29
8.33,-5.10
3.05,-4.43
4.43,0.55
2.43,5.24
5.45,1.95
9.49,-9.98
2.06,-1.50
2.50,-0.48
-3.06,1.83
8.80,-12.33
11.14,-7.14
3.01,-0.30
7.03,-5.95
10.04,-5.80
9.53,-3.57
9.60,-5.13
7.21,-3.05
-3.87,3.60
5.13,1.04
-0.55,1.91
1.12,-1.44
3.74,-5.91
2.62,0.10
-3.34,1.20
-3.30,6.30
14.16,-11.06
3.10,-4.60
-3.89,3.35
5.26,-2.32
2.18,-1.43
1.28,-0.03
-0.22,1.18
8.80,-7.10
11.56,-10.94
-3.05,4.29
-5.67,4.28
7.30,-4.22
-5.34,7.71
6.43,-6.16
0.04,-2.57
-4.56,10.88
-0.69,3.16
6.98,-4.32
9.69,0.40
4.35,-0.01
5.03,-5.10
4.88,1.82
-2.57,-0.45
2.73,-0.12
16.67,-6.87
5.32,-0.27
-0.43,4.55
0.54,-2.76
8.24,-5.60
1.19,-2.26
13.13,-15.04
-0.13,-2.53
1.27,4.62
6.84,-9.98
-2.84,3.33
-1.80,0.76
3.81,-5.15
8.06,-10.39
-0.53,-0.05
6.64,1.45
4.46,-2.92
2.06,-1.59
7.23,3.14
5.55,-0.15
0.59,5.94
10.00,-9.62
14.22,-10.52
1.16,2.83
-1.90,1.38
-0.61,3.08
4.04,-0.43
6.85,-5.08
2.60,-0.36
3.03,1.85
12.22,-14.08
6.91,2.88
0.38,3.67
6.85,-3.16
5.23,-2.68
5.43,-1.29
13.40,-8.53
2.24,-4.86
6.92,-7.28
-4.12,-0.36
2.89,-8.49
-3.98,13.16
3.23,2.06
4.34,7.83
-3.56,4.07
-0.09,-0.21
0.90,2.99
3.10,-1.38
10.39,-7.73
9.79,-4.19
4.15,-4.36
7.55,-2.48
5.94,0.01
-0.08,2.13
-1.20,3.51
-3.05,-0.80
8.11,-2.43
2.77,-3.83
-1.29,8.30
2.71,-2.55
5.68,5.85
8.50,-5.33
10.46,-11.17
2.87,0.85
0.48,2.03
-1.70,5.93
-0.12,1.16
9.86,-11.60
3.14,-4.40
8.27,-5.34
3.66,-1.81
-0.79,-3.58
4.62,-7.65
0.04,2.41
-6.14,6.19
-2.18,1.28
0.32,-1.84
9.81,-10.93
3.75,1.93
0.18,1.48
12.74,-8.43
4.00,-2.93
14.23,-6.90
8.82,-9.35
2.86,-3.83
5.80,-5.40
7.63,-4.30
12.78,-10.09
0.08,0.02
11.08,-8.86
-0.05,1.10
0.88,7.57
1.75,-0.95
3.06,4.75
-4.69,2.77
3.45,-3.28
1.62,-4.86
8.52,-4.62
-0.60,2.50
1.56,-1.10
2.74,-6.20
2.66,0.20
-5.95,2.44
2.38,-2.59
1.48,-5.96
0.80,0.37
9.65,-4.48
7.29,-3.12
4.24,-2.92
2.81,-2.75
10.42,2.94
5.99,-6.51
8.41,-4.08
7.43,-0.03
6.20,-3.60
-3.09,4.05
3.09,-0.94
7.06,-6.06
4.84,-3.44
5.49,1.67
1.11,9.86
10.39,-9.02
4.95,-2.89
9.11,-6.31
8.00,-8.08
6.11,1.74
10.98,-10.27
3.64,-3.33
4.15,-1.34
3.30,-6.24
8.03,-0.99
0.79,2.90
6.70,-4.09
-0.24,-0.50
1.86,1.26
8.22,-6.20
-5.08,5.97
4.97,-3.00
-1.63,2.26
2.99,0.59
3.65,3.17
1.65,-5.29
0.80,2.88
2.10,2.35
7.56,-3.19
6.42,-0.17
-3.36,8.70
8.43,-10.76
2.49,5.65
-5.21,7.00
10.75,-9.75
4.85,-1.63
11.44,-8.49
1.72,5.84
12.19,-5.21
1.62,0.47
8.33,-6.31
0.45,4.01
8.53,-0.56
-1.29,1.56
6.24,-9.27
8.51,-4.50
7.11,-6.49
0.27,3.43
-2.11,11.84
3.70,4.41
2.07,-2.43
2.54,1.53
3.18,-6.94
4.99,-0.54
4.10,-2.06
4.33,-3.65
-3.61,2.95
4.18,-6.04
9.73,-7.63
4.39,-3.42
1.31,-3.45
4.66,-2.93
-1.62,3.83
3.30,-4.75
1.97,0.77
12.44,-6.48
14.41,-7.05
-1.50,11.20
5.50,-5.63
12.41,-12.57
5.73,-2.34
6.19,1.83
-0.69,-1.32
8.26,-3.80
6.87,-7.21
12.26,-5.20
11.91,-7.08
3.94,-0.59
-0.85,1.88
