x,y
44.46,-9.27
43.16,-17.82
17.50,0.91
32.88,9.59
38.65,4.04
21.66,-1.03
50.27,-24.31
36.76,-2.06
3.31,0.28
23.49,-0.56
22.12,-3.72
15.73,-4.83
36.88,-5.82
3.20,-4.49
38.28,-2.31
31.35,1.15
41.55,-7.99
31.45,-2.48
29.15,-7.11
36.50,0.54
39.92,1.03
45.59,-4.00
10.48,-8.89
24.52,-1.47
37.92,0.05
39.90,-0.17
33.53,1.82
45.61,-6.94
31.49,4.68
25.22,-4.28
29.41,-8.79
45.21,-26.79
24.40,5.96
38.12,-4.04
50.53,-15.50
45.72,-10.80
26.76,11.15
43.96,-2.95
17.27,-6.11
51.10,-18.33
31.35,-3.71
15.38,-9.61
38.60,-19.62
26.27,2.68
46.16,-11.52
40.70,-13.26
42.30,-8.29
31.42,-0.64
28.12,4.52
8.34,-8.38
15.02,1.48
20.56,0.68
44.96,-18.15
14.16,4.38
39.99,-0.37
25.01,-8.58
25.67,8.39
52.39,-30.44
24.60,-0.77
4.35,-1.91
5.08,3.21
41.83,-6.16
21.44,10.25
52.67,-17.24
37.73,1.96
31.51,-1.65
44.01,-16.50
40.49,-9.88
43.14,-11.15
30.55,3.54
47.86,-14.19
18.56,6.67
40.44,-14.92
43.21,-5.64
46.70,-15.60
27.51,8.28
16.04,8.35
31.75,-6.43
42.92,-3.53
51.75,-28.36
54.37,-23.47
12.77,-10.02
34.43,-1.34
43.71,-18.42
48.78,-31.29
10.88,9.40
49.20,-20.95
31.15,-3.11
20.98,-0.75
21.06,8.21
53.84,-21.85
30.00,-1.33
28.81,2.23
28.99,-10.97
1.67,3.86
38.15,-2.93
42.94,-11.57
23.47,3.46
37.41,-10.37
30.11,-2.49
10.44,-5.46
27.56,9.58
31.56,-4.57
33.25,8.76
42.39,-2.34
26.30,-7.37
41.29,-5.31
34.04,-1.89
42.88,-7.01
40.86,1.31
33.32,-5.66
47.27,-10.75
47.71,-13.96
-0.66,13.39
33.85,1.75
21.76,-1.75
37.93,-5.48
34.45,-1.99
31.17,12.09
49.67,-20.12
32.96,-12.70
33.40,4.80
17.65,0.01
-0.57,7.05
-1.45,14.52
47.00,-15.76
44.70,-26.83
16.89,4.27
39.60,-15.83
37.01,-18.56
14.00,-11.83
28.42,0.98
28.82,-1.71
35.75,-9.86
16.96,-2.89
-4.14,6.92
17.33,7.74
36.33,-3.59
33.43,-0.91
25.00,0.38
37.92,-12.56
53.19,-20.57
36.87,-12.75
36.85,-8.78
41.99,0.09
10.67,11.42
48.38,-8.93
10.06,4.79
31.44,13.06
23.19,2.64
32.12,-6.90
39.34,-7.20
39.49,11.68
34.99,3.27
47.29,-7.52
31.66,7.56
14.31,1.59
46.97,-15.47
33.59,-11.31
26.10,-3.12
42.39,-12.41
19.75,5.29
42.35,-3.26
36.14,-7.69
10.40,-1.49
21.93,3.43
45.60,-20.82
29.58,0.27
14.92,-13.21
38.60,-7.03
35.71,-5.12
53.99,-30.82
6.41,6.34
-2.52,2.12
57.31,-24.42
28.25,-12.86
32.54,-1.22
23.43,1.07
49.58,-12.81
29.58,-5.87
42.57,-10.46
12.86,11.42
33.49,-3.90
2.74,4.91
36.14,-6.72
35.61,-14.94
47.64,-18.50
31.97,6.50
36.47,-8.71
35.89,-6.21
37.80,5.08
-4.31,16.02
31.25,-4.23
40.44,11.42
29.00,9.02
23.72,0.04
33.50,0.48
45.16,-2.59
27.71,-0.29
38.55,-9.08
34.25,-3.81
43.12,-22.52
21.34,1.70
45.29,-17.46
29.16,-2.05
46.13,2.91
21.46,-17.46
39.12,-13.44
37.49,-18.36
21.77,3.15
39.86,-10.11
11.91,3.28
35.27,-1.49
45.32,-10.32
23.27,-7.68
14.15,-4.19
23.30,-4.56
27.58,2.39
39.28,-13.11
10.58,-12.49
38.18,8.28
7.65,-9.24
29.99,8.45
33.33,-9.20
1.45,7.90
42.20,-23.30
31.23,7.98
40.87,3.21
26.24,-2.16
-2.19,11.60
14.12,-4.82
25.05,10.74
45.68,-4.74
48.00,-6.02
31.49,2.56
49.55,-19.72
38.10,-13.47
24.80,-7.43
20.97,8.55
42.66,-2.26
22.75,-4.65
48.89,-27.46
34.87,-16.65
41.17,-10.89
24.84,-6.95
47.89,-14.44
38.13,-2.17
34.26,4.05
42.47,5.68
36.16,1.74
36.16,-11.43
40.23,-6.88
45.05,-17.12
15.01,8.13
12.84,2.50
45.73,-21.53
45.50,-8.73
20.37,7.75
48.61,-11.27
46.22,-5.95
40.57,-9.15
35.83,-9.37
40.25,-18.67
47.95,-25.33
51.82,-22.94
40.34,-8.97
-0.40,12.70
46.31,-5.25
28.77,7.62
14.94,-18.10
41.76,2.03
33.16,0.74
33.76,1.24
21.96,2.13
25.09,-5.84
37.74,-4.00
18.00,-0.62
34.07,5.88
31.12,-3.34
29.76,-1.00
26.41,-1.70
39.57,-2.01
27.80,-0.93
36.11,-2.16
48.68,-6.03
31.53,-8.10
20.45,1.58
29.75,0.26
24.87,2.02
40.94,1.12
33.02,-5.48
39.37,-1.96
22.69,9.87
40.90,-4.41
49.88,-17.75
31.65,-0.82
10.35,-5.31
6.89,-10.46
15.77,2.38
50.25,-25.64
