q,overconfident_wrong,confident_right,nonconfident_right,nonconfident_wrong
0.01,-3.597,-2.975,-15.561,-18.726
0.03,3.482,4.741,-10.055,-13.279
0.06,7.348,9.547,-6.684,-10.254
0.08,10.828,13.045,-4.174,-7.742
0.11,13.527,15.872,-1.652,-5.867
0.13,15.816,18.332,0.428,-4.055
0.16,17.664,20.839,2.801,-2.154
0.18,19.803,22.954,5.059,-0.273
0.21,21.672,24.723,7.033,1.581
0.23,23.509,26.430,8.790,3.285
0.26,25.026,28.079,10.856,5.001
0.28,26.543,29.682,12.717,6.706
0.30,28.049,31.051,14.446,8.520
0.33,29.376,32.220,16.175,10.270
0.35,30.683,33.400,17.875,12.179
0.38,31.620,34.562,19.625,14.103
0.40,32.672,35.517,21.339,15.730
0.43,33.831,36.438,23.025,17.396
0.45,34.794,37.339,24.500,19.247
0.48,35.751,38.174,26.143,20.995
0.50,36.621,39.055,27.684,22.767
0.52,37.470,39.893,29.323,24.556
0.55,38.359,40.869,30.664,26.345
0.57,39.229,41.879,32.067,28.022
0.60,40.238,43.069,33.395,29.634
0.62,41.200,44.350,34.682,31.320
0.65,42.417,45.530,35.837,32.706
0.67,43.524,46.513,36.943,34.239
0.70,44.736,47.841,38.063,35.702
0.72,45.827,49.066,39.265,37.124
0.75,47.147,50.529,40.607,38.504
0.77,48.496,52.066,42.276,39.926
0.79,49.980,53.833,43.913,41.550
0.82,51.717,55.282,45.482,43.518
0.84,53.417,56.681,47.134,45.578
0.87,54.975,58.873,49.190,47.636
0.89,56.812,60.948,51.696,50.273
0.92,59.251,63.596,54.199,53.147
0.94,62.417,67.028,56.884,56.217
0.97,67.253,71.322,61.948,61.503
0.99,75.366,79.000,71.529,71.478
