x,y,u,v,state,changed
44.46,-9.27,-38.95,15.96,nonconfident_wrong,1
43.16,-17.82,-34.76,7.49,overconfident_wrong,1
17.50,0.91,-33.96,16.13,nonconfident_wrong,1
32.88,9.59,-25.06,-20.12,overconfident_wrong,1
38.65,4.04,-37.76,3.69,nonconfident_wrong,1
21.66,-1.03,-30.70,11.82,overconfident_wrong,1
50.27,-24.31,-49.89,28.90,nonconfident_right,1
36.76,-2.06,-34.03,10.68,confident_right,1
3.31,0.28,-15.53,16.14,nonconfident_wrong,1
23.49,-0.56,-30.46,19.43,nonconfident_wrong,1
22.12,-3.72,-34.52,25.19,nonconfident_wrong,1
15.73,-4.83,-22.45,15.72,nonconfident_wrong,1
36.88,-5.82,-33.49,15.78,nonconfident_right,1
3.20,-4.49,-14.12,13.89,nonconfident_wrong,1
38.28,-2.31,-39.27,11.08,overconfident_wrong,1
31.35,1.15,-32.43,-1.97,confident_right,1
41.55,-7.99,-35.79,16.27,overconfident_wrong,1
31.45,-2.48,-22.79,-11.00,nonconfident_wrong,1
29.15,-7.11,-22.97,2.59,nonconfident_wrong,1
36.50,0.54,-27.51,-6.54,nonconfident_wrong,1
39.92,1.03,-34.42,2.07,overconfident_wrong,1
45.59,-4.00,-42.66,10.77,confident_right,1
10.48,-8.89,-16.90,12.14,nonconfident_right,1
24.52,-1.47,-32.17,14.12,nonconfident_right,1
37.92,0.05,-39.11,9.79,confident_right,1
39.90,-0.17,-39.62,4.94,nonconfident_wrong,1
33.53,1.82,-4.54,-9.40,nonconfident_wrong,1
45.61,-6.94,-8.40,-20.19,overconfident_wrong,1
31.49,4.68,-24.66,3.59,confident_right,1
25.22,-4.28,-1.59,-1.49,nonconfident_right,1
29.41,-8.79,-33.41,19.15,nonconfident_wrong,1
45.21,-26.79,-9.26,10.02,nonconfident_wrong,1
24.40,5.96,-31.25,8.30,overconfident_wrong,1
38.12,-4.04,-41.58,15.95,nonconfident_right,1
50.53,-15.50,-42.62,19.00,confident_right,1
45.72,-10.80,-42.10,15.01,nonconfident_wrong,1
26.76,11.15,-23.84,-2.96,nonconfident_wrong,1
43.96,-2.95,-32.57,7.01,overconfident_wrong,1
17.27,-6.11,-22.74,15.34,overconfident_wrong,1
