x,y,u,v,state,changed
44.46,-9.27,-1.85,-0.94,nonconfident_wrong,1
43.16,-17.82,-13.58,13.70,overconfident_wrong,1
17.50,0.91,-1.18,-2.13,nonconfident_wrong,1
32.88,9.59,-8.77,3.77,overconfident_wrong,1
38.65,4.04,8.57,-12.32,nonconfident_wrong,1
21.66,-1.03,-3.75,2.82,overconfident_wrong,1
50.27,-24.31,-8.67,6.14,nonconfident_right,1
36.76,-2.06,-4.19,3.14,confident_right,1
3.31,0.28,3.52,1.94,nonconfident_wrong,1
23.49,-0.56,1.98,0.28,nonconfident_wrong,1
22.12,-3.72,-5.27,6.17,nonconfident_wrong,1
15.73,-4.83,10.06,-4.07,nonconfident_wrong,1
36.88,-5.82,0.56,-3.59,nonconfident_right,1
3.20,-4.49,-2.28,2.98,nonconfident_wrong,1
38.28,-2.31,2.16,2.28,overconfident_wrong,1
31.35,1.15,-5.80,3.70,confident_right,1
41.55,-7.99,-2.72,4.36,overconfident_wrong,1
31.45,-2.48,3.97,-3.58,nonconfident_wrong,1
29.15,-7.11,-5.66,2.24,nonconfident_wrong,1
36.50,0.54,0.55,-0.75,nonconfident_wrong,1
39.92,1.03,0.29,0.19,overconfident_wrong,1
45.59,-4.00,-1.13,-10.27,confident_right,1
10.48,-8.89,-0.33,-1.01,nonconfident_right,1
24.52,-1.47,-0.22,0.24,nonconfident_right,1
37.92,0.05,-4.03,-3.50,confident_right,1
39.90,-0.17,-8.23,1.30,nonconfident_wrong,1
33.53,1.82,0.00,0.00,nonconfident_wrong,0
45.61,-6.94,-1.45,0.60,overconfident_wrong,1
31.49,4.68,-2.58,1.53,confident_right,1
25.22,-4.28,6.00,-10.91,nonconfident_right,1
29.41,-8.79,-1.93,8.27,nonconfident_wrong,1
45.21,-26.79,2.03,-0.05,nonconfident_wrong,1
24.40,5.96,3.18,-4.26,overconfident_wrong,1
38.12,-4.04,-2.74,0.75,nonconfident_right,1
50.53,-15.50,-7.74,6.08,confident_right,1
45.72,-10.80,-0.88,-1.65,nonconfident_wrong,1
26.76,11.15,0.00,0.00,nonconfident_wrong,0
43.96,-2.95,-4.52,9.45,overconfident_wrong,1
17.27,-6.11,6.18,-1.52,overconfident_wrong,1
51.10,-18.33,0.52,-0.31,nonconfident_right,1
31.35,-3.71,-0.85,-3.89,nonconfident_wrong,1
15.38,-9.61,-19.92,14.03,nonconfident_right,1
38.60,-19.62,-10.36,18.14,nonconfident_wrong,1
26.27,2.68,-1.26,1.84,confident_right,1
46.16,-11.52,-1.17,-0.29,confident_right,1
40.70,-13.26,2.39,-2.65,overconfident_wrong,1
42.30,-8.29,-1.58,0.96,nonconfident_wrong,1
31.42,-0.64,-7.48,3.86,overconfident_wrong,1
28.12,4.52,5.54,-7.67,overconfident_wrong,1
8.34,-8.38,-1.19,0.47,nonconfident_right,1
15.02,1.48,1.65,1.61,confident_right,1
20.56,0.68,-5.82,-5.56,nonconfident_wrong,1
44.96,-18.15,-6.55,8.37,overconfident_wrong,1
14.16,4.38,22.30,-10.00,confident_right,1
39.99,-0.37,-5.65,-0.22,nonconfident_right,1
25.01,-8.58,2.34,-9.91,confident_right,1
25.67,8.39,0.45,-11.39,confident_right,1
52.39,-30.44,-0.50,1.58,confident_right,1
24.60,-0.77,-5.91,5.15,nonconfident_right,1
4.35,-1.91,0.52,0.53,nonconfident_wrong,1
5.08,3.21,3.00,-1.07,nonconfident_wrong,1
41.83,-6.16,0.59,1.89,overconfident_wrong,1
21.44,10.25,-1.39,0.03,nonconfident_wrong,1
52.67,-17.24,-4.22,5.07,confident_right,1
37.73,1.96,-2.21,2.27,nonconfident_right,1
31.51,-1.65,1.78,-2.23,overconfident_wrong,1
44.01,-16.50,-13.48,18.86,confident_right,1
40.49,-9.88,3.12,-7.22,confident_right,1
43.14,-11.15,-8.41,5.84,confident_right,1
30.55,3.54,-5.44,-2.43,nonconfident_wrong,1
47.86,-14.19,2.04,-4.12,nonconfident_wrong,1
18.56,6.67,1.24,-2.05,nonconfident_right,1
40.44,-14.92,-3.49,2.91,confident_right,1
43.21,-5.64,-4.79,3.17,overconfident_wrong,1
46.70,-15.60,-3.09,6.02,confident_right,1
27.51,8.28,0.00,0.00,nonconfident_right,0
16.04,8.35,0.32,0.55,nonconfident_wrong,1
31.75,-6.43,-0.18,0.73,overconfident_wrong,1
42.92,-3.53,5.34,-1.73,nonconfident_wrong,1
51.75,-28.36,-2.34,8.25,nonconfident_wrong,1
54.37,-23.47,-5.69,-1.22,nonconfident_right,1
12.77,-10.02,-2.80,2.82,overconfident_wrong,1
34.43,-1.34,-2.31,-0.94,nonconfident_right,1
43.71,-18.42,-9.59,12.37,overconfident_wrong,1
48.78,-31.29,0.49,1.28,confident_right,1
10.88,9.40,-0.92,-2.52,nonconfident_right,1
49.20,-20.95,-0.90,0.95,confident_right,1
31.15,-3.11,9.69,-6.27,confident_right,1
20.98,-0.75,-1.84,6.53,nonconfident_wrong,1
21.06,8.21,2.89,-4.18,nonconfident_right,1
53.84,-21.85,-2.73,10.37,nonconfident_wrong,1
30.00,-1.33,7.05,-8.74,confident_right,1
28.81,2.23,-1.18,1.33,nonconfident_right,1
28.99,-10.97,3.33,-5.34,nonconfident_wrong,1
1.67,3.86,1.79,1.22,nonconfident_wrong,1
38.15,-2.93,0.68,-1.25,nonconfident_right,1
42.94,-11.57,-10.83,10.08,overconfident_wrong,1
23.47,3.46,-4.58,2.00,confident_right,1
37.41,-10.37,-0.62,-2.98,overconfident_wrong,1
30.11,-2.49,1.45,-8.37,nonconfident_right,1
10.44,-5.46,4.74,-7.41,confident_right,1
27.56,9.58,0.96,-3.13,nonconfident_right,1
31.56,-4.57,3.74,-5.37,overconfident_wrong,1
33.25,8.76,7.44,-9.55,confident_right,1
42.39,-2.34,10.06,-12.71,nonconfident_right,1
26.30,-7.37,-10.28,11.24,nonconfident_right,1
41.29,-5.31,10.80,-14.22,overconfident_wrong,1
34.04,-1.89,1.06,-2.29,confident_right,1
42.88,-7.01,-2.46,4.04,overconfident_wrong,1
40.86,1.31,1.42,-5.10,nonconfident_wrong,1
33.32,-5.66,-1.08,3.62,nonconfident_right,1
47.27,-10.75,-0.03,-4.10,nonconfident_wrong,1
47.71,-13.96,5.92,-8.48,nonconfident_right,1
-0.66,13.39,-0.24,-0.06,nonconfident_right,1
33.85,1.75,0.58,-0.30,nonconfident_wrong,1
21.76,-1.75,-3.72,-3.08,nonconfident_wrong,1
37.93,-5.48,-0.00,-6.82,nonconfident_wrong,1
34.45,-1.99,-3.24,10.67,nonconfident_wrong,1
31.17,12.09,-5.91,-4.81,nonconfident_wrong,1
49.67,-20.12,-0.99,-1.19,nonconfident_wrong,1
32.96,-12.70,-7.64,1.03,overconfident_wrong,1
33.40,4.80,2.11,-3.41,overconfident_wrong,1
17.65,0.01,0.00,0.00,nonconfident_right,0
-0.57,7.05,0.37,-2.44,nonconfident_wrong,1
-1.45,14.52,1.97,-3.21,nonconfident_wrong,1
47.00,-15.76,-5.98,-5.04,confident_right,1
44.70,-26.83,-4.90,7.11,nonconfident_right,1
16.89,4.27,3.89,-7.77,nonconfident_wrong,1
39.60,-15.83,-0.43,5.39,confident_right,1
37.01,-18.56,2.25,-7.65,confident_right,1
14.00,-11.83,0.17,-1.09,nonconfident_wrong,1
28.42,0.98,2.87,-9.32,nonconfident_right,1
28.82,-1.71,0.00,0.00,overconfident_wrong,0
35.75,-9.86,-0.94,6.98,confident_right,1
16.96,-2.89,-0.47,1.94,confident_right,1
-4.14,6.92,-1.70,1.82,nonconfident_wrong,1
17.33,7.74,-11.98,2.93,nonconfident_right,1
36.33,-3.59,13.85,-23.53,confident_right,1
33.43,-0.91,-14.66,16.83,confident_right,1
25.00,0.38,-1.32,1.46,overconfident_wrong,1
37.92,-12.56,-3.76,3.13,nonconfident_right,1
53.19,-20.57,-1.14,4.42,nonconfident_wrong,1
36.87,-12.75,-13.30,13.17,confident_right,1
36.85,-8.78,-0.29,0.36,overconfident_wrong,1
41.99,0.09,-10.99,8.08,nonconfident_wrong,1
10.67,11.42,5.04,-8.95,nonconfident_wrong,1
48.38,-8.93,-2.76,-7.23,confident_right,1
10.06,4.79,0.75,-0.61,nonconfident_right,1
31.44,13.06,15.18,-21.92,nonconfident_wrong,1
23.19,2.64,10.26,3.54,nonconfident_right,1
32.12,-6.90,0.74,3.47,confident_right,1
39.34,-7.20,8.67,-14.98,nonconfident_wrong,1
39.49,11.68,-2.47,-1.21,overconfident_wrong,1
34.99,3.27,-0.78,-9.53,overconfident_wrong,1
47.29,-7.52,-4.30,7.17,overconfident_wrong,1
31.66,7.56,-7.22,-3.32,nonconfident_wrong,1
14.31,1.59,0.00,0.00,nonconfident_wrong,0
46.97,-15.47,-9.61,2.41,overconfident_wrong,1
33.59,-11.31,2.62,6.92,nonconfident_right,1
26.10,-3.12,3.83,-2.37,confident_right,1
42.39,-12.41,-5.29,-1.74,confident_right,1
19.75,5.29,1.17,-10.59,nonconfident_wrong,1
42.35,-3.26,11.36,-21.37,confident_right,1
36.14,-7.69,10.05,-12.88,overconfident_wrong,1
10.40,-1.49,-0.73,-4.04,nonconfident_wrong,1
21.93,3.43,-1.43,-0.44,nonconfident_wrong,1
45.60,-20.82,-0.46,-0.38,confident_right,1
29.58,0.27,-2.29,0.97,overconfident_wrong,1
14.92,-13.21,-1.02,-4.87,overconfident_wrong,1
38.60,-7.03,1.63,-7.38,confident_right,1
35.71,-5.12,4.91,-10.58,nonconfident_right,1
53.99,-30.82,-2.83,6.16,confident_right,1
6.41,6.34,0.27,2.30,nonconfident_wrong,1
-2.52,2.12,0.00,0.00,nonconfident_wrong,0
57.31,-24.42,-1.76,-1.60,confident_right,1
28.25,-12.86,-8.68,13.20,nonconfident_right,1
32.54,-1.22,1.98,-1.14,overconfident_wrong,1
23.43,1.07,-1.03,2.66,nonconfident_right,1
49.58,-12.81,-2.28,-7.02,nonconfident_right,1
29.58,-5.87,-11.58,3.74,nonconfident_right,1
42.57,-10.46,1.64,-10.82,nonconfident_right,1
12.86,11.42,1.19,-1.13,nonconfident_wrong,1
33.49,-3.90,-6.42,8.94,nonconfident_wrong,1
2.74,4.91,-4.69,2.68,nonconfident_right,1
36.14,-6.72,-0.13,-0.08,nonconfident_right,1
35.61,-14.94,1.54,-4.49,nonconfident_right,1
47.64,-18.50,-5.81,2.36,confident_right,1
31.97,6.50,0.25,-0.23,overconfident_wrong,1
36.47,-8.71,2.27,-8.67,nonconfident_wrong,1
35.89,-6.21,-2.98,4.22,overconfident_wrong,1
37.80,5.08,1.69,-5.91,overconfident_wrong,1
-4.31,16.02,16.64,-4.71,nonconfident_wrong,1
31.25,-4.23,-6.60,10.35,nonconfident_wrong,1
40.44,11.42,6.43,-7.78,confident_right,1
29.00,9.02,-5.64,4.76,overconfident_wrong,1
23.72,0.04,-0.01,5.73,nonconfident_wrong,1
33.50,0.48,1.49,-10.61,overconfident_wrong,1
45.16,-2.59,-5.24,0.85,nonconfident_right,1
27.71,-0.29,7.07,-5.47,confident_right,1
38.55,-9.08,0.96,-7.82,nonconfident_wrong,1
34.25,-3.81,7.17,-11.05,nonconfident_wrong,1
43.12,-22.52,-1.24,8.39,nonconfident_right,1
21.34,1.70,2.09,-0.69,nonconfident_right,1
45.29,-17.46,-0.19,-3.95,nonconfident_right,1
29.16,-2.05,-3.34,2.77,nonconfident_right,1
46.13,2.91,-0.50,0.58,overconfident_wrong,1
21.46,-17.46,0.11,0.02,nonconfident_wrong,1
39.12,-13.44,-2.76,-1.12,confident_right,1
37.49,-18.36,6.03,-2.52,nonconfident_wrong,1
21.77,3.15,0.73,0.46,nonconfident_wrong,1
39.86,-10.11,-3.72,2.28,nonconfident_wrong,1
11.91,3.28,4.95,-7.11,nonconfident_wrong,1
35.27,-1.49,6.52,-10.43,overconfident_wrong,1
45.32,-10.32,-0.58,3.32,confident_right,1
23.27,-7.68,-2.62,0.16,nonconfident_wrong,1
14.15,-4.19,-3.07,0.73,nonconfident_right,1
23.30,-4.56,-6.20,-0.16,confident_right,1
27.58,2.39,14.99,-12.88,nonconfident_right,1
39.28,-13.11,-6.46,8.91,confident_right,1
10.58,-12.49,-1.36,1.69,nonconfident_wrong,1
38.18,8.28,0.99,-3.83,nonconfident_right,1
7.65,-9.24,0.00,0.00,nonconfident_right,0
29.99,8.45,-3.72,-8.82,overconfident_wrong,1
33.33,-9.20,1.95,-5.33,nonconfident_wrong,1
1.45,7.90,-3.11,1.24,nonconfident_right,1
42.20,-23.30,-4.27,0.91,confident_right,1
31.23,7.98,-3.41,3.18,nonconfident_right,1
40.87,3.21,3.68,-3.28,nonconfident_wrong,1
26.24,-2.16,-11.57,11.15,nonconfident_wrong,1
-2.19,11.60,19.46,-10.85,nonconfident_wrong,1
14.12,-4.82,0.00,0.00,nonconfident_wrong,0
25.05,10.74,2.06,-2.43,nonconfident_right,1
45.68,-4.74,-0.03,-5.48,nonconfident_right,1
48.00,-6.02,-3.57,5.15,nonconfident_wrong,1
31.49,2.56,-1.07,3.02,nonconfident_wrong,1
49.55,-19.72,-8.56,10.76,nonconfident_right,1
38.10,-13.47,-13.24,2.32,nonconfident_wrong,1
24.80,-7.43,2.43,-4.64,nonconfident_right,1
20.97,8.55,2.26,-0.67,nonconfident_right,1
42.66,-2.26,-1.18,0.11,nonconfident_wrong,1
22.75,-4.65,-0.40,0.38,nonconfident_right,1
48.89,-27.46,-7.66,0.72,confident_right,1
34.87,-16.65,0.88,-2.41,confident_right,1
41.17,-10.89,-0.03,-5.93,nonconfident_wrong,1
24.84,-6.95,-4.39,5.52,nonconfident_wrong,1
47.89,-14.44,-2.57,7.74,confident_right,1
38.13,-2.17,0.43,-2.19,confident_right,1
34.26,4.05,3.11,-1.66,nonconfident_wrong,1
42.47,5.68,-1.75,1.07,nonconfident_wrong,1
36.16,1.74,-2.19,-2.66,nonconfident_wrong,1
36.16,-11.43,-9.05,1.60,nonconfident_wrong,1
40.23,-6.88,-4.84,4.97,overconfident_wrong,1
45.05,-17.12,-4.38,4.68,confident_right,1
15.01,8.13,-7.55,4.32,nonconfident_right,1
12.84,2.50,0.00,0.00,nonconfident_wrong,0
45.73,-21.53,0.12,1.95,nonconfident_wrong,1
45.50,-8.73,-5.36,-3.04,nonconfident_right,1
20.37,7.75,2.13,-0.36,confident_right,1
48.61,-11.27,0.60,-8.26,confident_right,1
46.22,-5.95,3.34,-18.87,confident_right,1
40.57,-9.15,5.87,-16.63,nonconfident_wrong,1
35.83,-9.37,-1.82,-2.12,nonconfident_wrong,1
40.25,-18.67,-0.05,-3.63,nonconfident_wrong,1
47.95,-25.33,-0.17,0.20,confident_right,1
51.82,-22.94,-3.73,15.11,nonconfident_wrong,1
40.34,-8.97,0.16,-0.33,nonconfident_wrong,1
-0.40,12.70,3.10,-2.12,nonconfident_wrong,1
46.31,-5.25,-0.28,0.23,confident_right,1
28.77,7.62,-16.67,-3.24,nonconfident_wrong,1
14.94,-18.10,0.01,-0.04,nonconfident_right,1
41.76,2.03,0.62,-7.40,confident_right,1
33.16,0.74,-2.86,2.30,confident_right,1
33.76,1.24,-1.28,-1.49,confident_right,1
21.96,2.13,0.52,-1.81,nonconfident_wrong,1
25.09,-5.84,-3.68,1.63,nonconfident_wrong,1
37.74,-4.00,2.75,-8.82,nonconfident_wrong,1
18.00,-0.62,-0.20,5.79,confident_right,1
34.07,5.88,4.78,-8.81,nonconfident_wrong,1
31.12,-3.34,2.46,-5.38,confident_right,1
29.76,-1.00,-4.60,1.17,nonconfident_wrong,1
26.41,-1.70,-1.36,-2.83,overconfident_wrong,1
39.57,-2.01,2.41,-11.87,confident_right,1
27.80,-0.93,18.68,-24.28,confident_right,1
36.11,-2.16,-3.31,-3.47,nonconfident_right,1
48.68,-6.03,-2.37,2.46,confident_right,1
31.53,-8.10,-3.03,1.43,nonconfident_right,1
20.45,1.58,1.45,1.09,confident_right,1
29.75,0.26,11.81,-17.61,confident_right,1
24.87,2.02,-5.05,1.53,nonconfident_right,1
40.94,1.12,-0.83,-9.60,confident_right,1
33.02,-5.48,4.29,-6.73,confident_right,1
39.37,-1.96,7.40,-13.12,overconfident_wrong,1
22.69,9.87,0.45,3.83,nonconfident_wrong,1
40.90,-4.41,-1.83,4.58,confident_right,1
49.88,-17.75,1.76,-11.29,nonconfident_wrong,1
31.65,-0.82,-1.62,-0.74,overconfident_wrong,1
10.35,-5.31,-0.59,-1.31,nonconfident_wrong,1
6.89,-10.46,0.07,-0.29,nonconfident_wrong,1
15.77,2.38,1.90,-5.48,nonconfident_right,1
50.25,-25.64,-1.95,-1.98,confident_right,1
