x,y,u,v,state,changed
44.46,-9.27,-12.62,10.98,nonconfident_wrong,1
43.16,-17.82,-8.15,7.74,overconfident_wrong,1
17.50,0.91,-2.42,-0.02,nonconfident_wrong,1
32.88,9.59,1.53,-3.98,overconfident_wrong,1
38.65,4.04,1.09,0.38,nonconfident_wrong,1
21.66,-1.03,-4.54,5.71,overconfident_wrong,1
50.27,-24.31,-15.43,18.84,nonconfident_right,1
36.76,-2.06,-1.04,4.19,confident_right,1
3.31,0.28,5.60,-0.68,nonconfident_wrong,1
23.49,-0.56,3.51,-3.50,nonconfident_wrong,1
22.12,-3.72,1.23,0.01,nonconfident_wrong,1
15.73,-4.83,-7.70,4.95,nonconfident_wrong,1
36.88,-5.82,0.95,-2.79,nonconfident_right,1
3.20,-4.49,7.60,-6.00,nonconfident_wrong,1
38.28,-2.31,-5.64,5.97,overconfident_wrong,1
31.35,1.15,-3.35,3.56,confident_right,1
41.55,-7.99,-3.62,8.25,overconfident_wrong,1
31.45,-2.48,5.64,-3.74,nonconfident_wrong,1
29.15,-7.11,-7.10,5.61,nonconfident_wrong,1
36.50,0.54,3.62,-4.89,nonconfident_wrong,1
39.92,1.03,-0.67,0.21,overconfident_wrong,1
45.59,-4.00,6.00,-11.26,confident_right,1
10.48,-8.89,0.10,0.46,nonconfident_right,1
24.52,-1.47,2.25,-3.78,nonconfident_right,1
37.92,0.05,-0.70,-4.77,confident_right,1
39.90,-0.17,-1.08,0.69,nonconfident_wrong,1
33.53,1.82,-0.39,1.36,nonconfident_wrong,1
45.61,-6.94,-3.89,3.75,overconfident_wrong,1
31.49,4.68,6.48,-5.82,confident_right,1
25.22,-4.28,-1.78,3.42,nonconfident_right,1
29.41,-8.79,6.32,0.28,nonconfident_wrong,1
45.21,-26.79,-0.20,1.56,nonconfident_wrong,1
24.40,5.96,1.00,1.41,overconfident_wrong,1
38.12,-4.04,-2.42,2.90,nonconfident_right,1
50.53,-15.50,-1.56,7.75,confident_right,1
45.72,-10.80,-2.53,0.27,nonconfident_wrong,1
26.76,11.15,6.84,-7.21,nonconfident_wrong,1
43.96,-2.95,-8.88,12.22,overconfident_wrong,1
17.27,-6.11,-0.55,1.00,overconfident_wrong,1
51.10,-18.33,-0.92,-2.04,nonconfident_right,1
31.35,-3.71,0.94,-0.38,nonconfident_wrong,1
15.38,-9.61,-17.67,14.99,nonconfident_right,1
38.60,-19.62,1.76,1.29,nonconfident_wrong,1
26.27,2.68,-2.53,1.10,confident_right,1
46.16,-11.52,3.37,-1.91,confident_right,1
40.70,-13.26,-10.10,7.25,overconfident_wrong,1
42.30,-8.29,-1.80,1.01,nonconfident_wrong,1
31.42,-0.64,-2.68,-1.02,overconfident_wrong,1
28.12,4.52,0.63,-3.02,overconfident_wrong,1
8.34,-8.38,1.39,-0.37,nonconfident_right,1
15.02,1.48,0.99,6.91,confident_right,1
20.56,0.68,5.69,-2.83,nonconfident_wrong,1
44.96,-18.15,-7.04,16.45,overconfident_wrong,1
14.16,4.38,19.21,-3.16,confident_right,1
39.99,-0.37,1.89,-7.84,nonconfident_right,1
25.01,-8.58,0.00,0.00,confident_right,0
25.67,8.39,2.50,-3.69,confident_right,1
52.39,-30.44,0.27,1.26,confident_right,1
24.60,-0.77,-1.45,-3.50,nonconfident_right,1
4.35,-1.91,0.36,3.62,nonconfident_wrong,1
5.08,3.21,1.39,0.82,nonconfident_wrong,1
41.83,-6.16,0.74,0.59,overconfident_wrong,1
21.44,10.25,-1.11,0.08,nonconfident_wrong,1
52.67,-17.24,-1.44,-0.44,confident_right,1
37.73,1.96,-0.92,-0.35,nonconfident_right,1
31.51,-1.65,7.87,-7.67,overconfident_wrong,1
44.01,-16.50,-4.88,7.91,confident_right,1
40.49,-9.88,-0.03,0.01,confident_right,1
43.14,-11.15,-9.85,9.55,confident_right,1
30.55,3.54,-0.79,-1.41,nonconfident_wrong,1
47.86,-14.19,0.00,0.00,nonconfident_wrong,0
18.56,6.67,0.00,0.00,nonconfident_right,0
40.44,-14.92,-6.90,13.26,confident_right,1
43.21,-5.64,7.98,-8.86,overconfident_wrong,1
46.70,-15.60,0.00,0.00,confident_right,0
27.51,8.28,-0.52,0.28,nonconfident_right,1
16.04,8.35,1.31,-1.60,nonconfident_wrong,1
31.75,-6.43,-3.62,11.40,overconfident_wrong,1
42.92,-3.53,-2.33,-0.62,nonconfident_wrong,1
51.75,-28.36,-0.93,3.16,nonconfident_wrong,1
54.37,-23.47,-8.46,13.34,nonconfident_right,1
12.77,-10.02,-0.86,-0.12,overconfident_wrong,1
