x,y,u,v,state,changed
44.46,-9.27,-7.23,12.29,nonconfident_wrong,1
43.16,-17.82,0.00,0.00,overconfident_wrong,0
17.50,0.91,-6.32,3.92,nonconfident_wrong,1
32.88,9.59,-5.40,7.20,overconfident_wrong,1
38.65,4.04,4.15,-1.64,nonconfident_wrong,1
21.66,-1.03,0.00,0.00,overconfident_wrong,0
50.27,-24.31,0.00,0.00,nonconfident_right,0
36.76,-2.06,-0.28,-2.22,confident_right,1
3.31,0.28,0.00,0.00,nonconfident_wrong,0
23.49,-0.56,1.85,-0.14,nonconfident_wrong,1
22.12,-3.72,0.00,0.00,nonconfident_wrong,0
15.73,-4.83,0.00,0.00,nonconfident_wrong,0
36.88,-5.82,-12.28,11.87,nonconfident_right,1
3.20,-4.49,0.00,0.00,nonconfident_wrong,0
38.28,-2.31,6.48,-0.58,overconfident_wrong,1
31.35,1.15,-2.61,1.03,confident_right,1
41.55,-7.99,-1.65,2.34,overconfident_wrong,1
31.45,-2.48,-1.75,-2.53,nonconfident_wrong,1
29.15,-7.11,0.00,0.00,nonconfident_wrong,0
36.50,0.54,0.47,-0.37,nonconfident_wrong,1
39.92,1.03,-0.88,2.01,overconfident_wrong,1
45.59,-4.00,2.39,-2.64,confident_right,1
10.48,-8.89,0.00,0.00,nonconfident_right,0
24.52,-1.47,0.00,0.00,nonconfident_right,0
37.92,0.05,1.12,-1.00,confident_right,1
39.90,-0.17,-4.09,1.06,nonconfident_wrong,1
33.53,1.82,0.21,-1.18,nonconfident_wrong,1
45.61,-6.94,-4.73,0.95,overconfident_wrong,1
31.49,4.68,5.83,-6.43,confident_right,1
25.22,-4.28,0.00,0.00,nonconfident_right,0
29.41,-8.79,0.00,0.00,nonconfident_wrong,0
45.21,-26.79,0.00,0.00,nonconfident_wrong,0
24.40,5.96,1.09,-1.62,overconfident_wrong,1
38.12,-4.04,0.86,-0.97,nonconfident_right,1
50.53,-15.50,-2.87,13.94,confident_right,1
45.72,-10.80,-6.02,0.68,nonconfident_wrong,1
26.76,11.15,4.65,-4.57,nonconfident_wrong,1
43.96,-2.95,-6.39,10.56,overconfident_wrong,1
17.27,-6.11,0.00,0.00,overconfident_wrong,0
51.10,-18.33,0.00,0.00,nonconfident_right,0
31.35,-3.71,0.00,0.00,nonconfident_wrong,0
15.38,-9.61,0.00,0.00,nonconfident_right,0
38.60,-19.62,0.00,0.00,nonconfident_wrong,0
26.27,2.68,-1.06,1.48,confident_right,1
46.16,-11.52,-1.18,-0.33,confident_right,1
40.70,-13.26,-10.45,7.05,overconfident_wrong,1
42.30,-8.29,-1.67,0.72,nonconfident_wrong,1
31.42,-0.64,-6.59,2.08,overconfident_wrong,1
28.12,4.52,5.31,-6.16,overconfident_wrong,1
8.34,-8.38,0.00,0.00,nonconfident_right,0
15.02,1.48,0.00,0.00,confident_right,0
20.56,0.68,6.83,-2.23,nonconfident_wrong,1
44.96,-18.15,-2.66,8.56,overconfident_wrong,1
14.16,4.38,0.00,0.00,confident_right,0
39.99,-0.37,1.95,-8.23,nonconfident_right,1
25.01,-8.58,0.00,0.00,confident_right,0
25.67,8.39,5.21,-3.24,confident_right,1
52.39,-30.44,0.00,0.00,confident_right,0
24.60,-0.77,-16.38,8.07,nonconfident_right,1
4.35,-1.91,0.00,0.00,nonconfident_wrong,0
5.08,3.21,0.00,0.00,nonconfident_wrong,0
41.83,-6.16,-2.76,8.47,overconfident_wrong,1
21.44,10.25,-1.49,-0.36,nonconfident_wrong,1
52.67,-17.24,-7.73,20.92,confident_right,1
37.73,1.96,-2.01,-7.10,nonconfident_right,1
31.51,-1.65,1.43,-2.82,overconfident_wrong,1
44.01,-16.50,-0.08,4.01,confident_right,1
40.49,-9.88,0.07,0.12,confident_right,1
43.14,-11.15,-9.85,9.55,confident_right,1
30.55,3.54,-0.14,-0.27,nonconfident_wrong,1
47.86,-14.19,0.00,0.00,nonconfident_wrong,0
18.56,6.67,-0.01,1.78,nonconfident_right,1
40.44,-14.92,0.00,0.00,confident_right,0
43.21,-5.64,-5.86,2.38,overconfident_wrong,1
46.70,-15.60,-0.59,-2.36,confident_right,1
27.51,8.28,-0.52,0.07,nonconfident_right,1
16.04,8.35,0.04,0.42,nonconfident_wrong,1
31.75,-6.43,0.00,0.00,overconfident_wrong,0
42.92,-3.53,-1.29,-2.43,nonconfident_wrong,1
51.75,-28.36,0.00,0.00,nonconfident_wrong,0
54.37,-23.47,0.00,0.00,nonconfident_right,0
12.77,-10.02,0.00,0.00,overconfident_wrong,0
34.43,-1.34,1.93,0.19,nonconfident_right,1
43.71,-18.42,0.00,0.00,overconfident_wrong,0
48.78,-31.29,0.00,0.00,confident_right,0
10.88,9.40,1.44,-3.86,nonconfident_right,1
49.20,-20.95,0.00,0.00,confident_right,0
31.15,-3.11,11.21,3.23,confident_right,1
20.98,-0.75,0.00,0.00,nonconfident_wrong,0
21.06,8.21,5.02,-6.00,nonconfident_right,1
53.84,-21.85,0.00,0.00,nonconfident_wrong,0
30.00,-1.33,8.01,-10.76,confident_right,1
28.81,2.23,16.54,-9.73,nonconfident_right,1
28.99,-10.97,0.00,0.00,nonconfident_wrong,0
1.67,3.86,0.00,0.00,nonconfident_wrong,0
38.15,-2.93,-9.79,2.08,nonconfident_right,1
42.94,-11.57,-1.60,1.90,overconfident_wrong,1
23.47,3.46,2.60,-5.66,confident_right,1
37.41,-10.37,2.76,3.05,overconfident_wrong,1
30.11,-2.49,-1.18,-6.75,nonconfident_right,1
10.44,-5.46,0.00,0.00,confident_right,0
27.56,9.58,-10.25,-0.63,nonconfident_right,1
31.56,-4.57,0.00,0.00,overconfident_wrong,0
33.25,8.76,5.10,-2.14,confident_right,1
42.39,-2.34,-2.31,1.57,nonconfident_right,1
26.30,-7.37,0.00,0.00,nonconfident_right,0
41.29,-5.31,4.85,0.26,overconfident_wrong,1
34.04,-1.89,3.32,-3.46,confident_right,1
42.88,-7.01,0.39,-0.09,overconfident_wrong,1
40.86,1.31,3.71,-4.95,nonconfident_wrong,1
33.32,-5.66,0.00,0.00,nonconfident_right,0
47.27,-10.75,-10.17,5.20,nonconfident_wrong,1
47.71,-13.96,4.29,-7.29,nonconfident_right,1
-0.66,13.39,0.00,0.00,nonconfident_right,0
33.85,1.75,4.56,-11.43,nonconfident_wrong,1
21.76,-1.75,0.00,0.00,nonconfident_wrong,0
37.93,-5.48,-0.48,3.39,nonconfident_wrong,1
34.45,-1.99,-1.45,2.00,nonconfident_wrong,1
31.17,12.09,5.78,-12.30,nonconfident_wrong,1
49.67,-20.12,0.00,0.00,nonconfident_wrong,0
32.96,-12.70,0.00,0.00,overconfident_wrong,0
33.40,4.80,0.00,0.00,overconfident_wrong,0
17.65,0.01,0.00,0.00,nonconfident_right,0
-0.57,7.05,0.00,0.00,nonconfident_wrong,0
-1.45,14.52,0.00,0.00,nonconfident_wrong,0
47.00,-15.76,-3.25,-4.66,confident_right,1
44.70,-26.83,0.00,0.00,nonconfident_right,0
16.89,4.27,4.14,-4.76,nonconfident_wrong,1
39.60,-15.83,0.00,0.00,confident_right,0
37.01,-18.56,0.00,0.00,confident_right,0
14.00,-11.83,0.00,0.00,nonconfident_wrong,0
28.42,0.98,2.97,-5.32,nonconfident_right,1
28.82,-1.71,-0.83,-1.15,overconfident_wrong,1
35.75,-9.86,0.00,0.00,confident_right,0
16.96,-2.89,0.00,0.00,confident_right,0
-4.14,6.92,0.00,0.00,nonconfident_wrong,0
17.33,7.74,6.53,-9.13,nonconfident_right,1
36.33,-3.59,3.91,-6.36,confident_right,1
33.43,-0.91,-3.72,4.23,confident_right,1
25.00,0.38,-0.02,0.37,overconfident_wrong,1
37.92,-12.56,0.00,0.00,nonconfident_right,0
53.19,-20.57,0.00,0.00,nonconfident_wrong,0
36.87,-12.75,-10.35,16.28,confident_right,1
36.85,-8.78,0.00,0.00,overconfident_wrong,0
41.99,0.09,3.51,-7.32,nonconfident_wrong,1
10.67,11.42,-3.23,-5.04,nonconfident_wrong,1
48.38,-8.93,1.00,1.20,confident_right,1
10.06,4.79,0.00,0.00,nonconfident_right,0
31.44,13.06,11.53,-15.46,nonconfident_wrong,1
23.19,2.64,13.76,-6.84,nonconfident_right,1
32.12,-6.90,0.00,0.00,confident_right,0
39.34,-7.20,7.87,-4.02,nonconfident_wrong,1
39.49,11.68,7.82,-7.41,overconfident_wrong,1
34.99,3.27,-10.14,5.10,overconfident_wrong,1
47.29,-7.52,-9.71,3.64,overconfident_wrong,1
31.66,7.56,-11.59,3.89,nonconfident_wrong,1
14.31,1.59,0.00,0.00,nonconfident_wrong,0
46.97,-15.47,0.00,0.00,overconfident_wrong,0
33.59,-11.31,0.00,0.00,nonconfident_right,0
26.10,-3.12,0.00,0.00,confident_right,0
42.39,-12.41,0.74,8.55,confident_right,1
19.75,5.29,2.23,-8.40,nonconfident_wrong,1
42.35,-3.26,-6.04,0.54,confident_right,1
36.14,-7.69,4.82,-8.16,overconfident_wrong,1
10.40,-1.49,0.00,0.00,nonconfident_wrong,0
21.93,3.43,3.54,-1.53,nonconfident_wrong,1
