x,y,u,v,state,changed
44.46,-9.27,-9.75,4.04,nonconfident_wrong,1
43.16,-17.82,0.00,0.00,overconfident_wrong,0
17.50,0.91,-6.32,1.40,nonconfident_wrong,1
32.88,9.59,-7.09,-4.77,overconfident_wrong,1
38.65,4.04,3.25,-20.32,nonconfident_wrong,1
21.66,-1.03,-2.49,-1.07,overconfident_wrong,1
50.27,-24.31,0.00,0.00,nonconfident_right,0
36.76,-2.06,-1.29,-7.71,confident_right,1
3.31,0.28,-2.39,3.85,nonconfident_wrong,1
23.49,-0.56,-9.68,6.32,nonconfident_wrong,1
22.12,-3.72,-6.42,13.01,nonconfident_wrong,1
15.73,-4.83,5.80,-4.44,nonconfident_wrong,1
36.88,-5.82,-42.51,19.64,nonconfident_right,1
3.20,-4.49,8.85,-5.48,nonconfident_wrong,1
38.28,-2.31,1.29,2.21,overconfident_wrong,1
31.35,1.15,-10.11,4.71,confident_right,1
41.55,-7.99,-3.62,4.40,overconfident_wrong,1
31.45,-2.48,6.39,-10.36,nonconfident_wrong,1
29.15,-7.11,-21.82,5.43,nonconfident_wrong,1
36.50,0.54,-4.52,2.78,nonconfident_wrong,1
39.92,1.03,3.21,-15.95,overconfident_wrong,1
45.59,-4.00,-2.37,-13.68,confident_right,1
10.48,-8.89,-0.33,-1.01,nonconfident_right,1
24.52,-1.47,-1.19,-0.94,nonconfident_right,1
37.92,0.05,-6.21,-10.16,confident_right,1
39.90,-0.17,-7.83,5.06,nonconfident_wrong,1
33.53,1.82,-0.69,0.20,nonconfident_wrong,1
45.61,-6.94,-5.05,-2.38,overconfident_wrong,1
31.49,4.68,-2.08,-1.53,confident_right,1
25.22,-4.28,-0.16,-6.35,nonconfident_right,1
29.41,-8.79,4.22,-5.75,nonconfident_wrong,1
45.21,-26.79,0.00,0.00,nonconfident_wrong,0
24.40,5.96,1.10,-13.91,overconfident_wrong,1
38.12,-4.04,-10.90,3.18,nonconfident_right,1
50.53,-15.50,0.00,0.00,confident_right,0
45.72,-10.80,0.00,0.00,nonconfident_wrong,0
26.76,11.15,8.50,-15.52,nonconfident_wrong,1
43.96,-2.95,-4.63,-2.74,overconfident_wrong,1
17.27,-6.11,-3.73,7.82,overconfident_wrong,1
51.10,-18.33,0.00,0.00,nonconfident_right,0
31.35,-3.71,0.15,-6.53,nonconfident_wrong,1
