x,y,u,v,state,changed
44.46,-9.27,0.88,-5.89,nonconfident_wrong,1
43.16,-17.82,0.00,0.00,overconfident_wrong,0
17.50,0.91,0.00,0.00,nonconfident_wrong,0
32.88,9.59,-0.72,-2.27,overconfident_wrong,1
38.65,4.04,-0.11,-1.00,nonconfident_wrong,1
21.66,-1.03,0.00,0.00,overconfident_wrong,0
50.27,-24.31,0.00,0.00,nonconfident_right,0
36.76,-2.06,-0.72,0.49,confident_right,1
3.31,0.28,0.00,0.00,nonconfident_wrong,0
23.49,-0.56,0.00,0.00,nonconfident_wrong,0
22.12,-3.72,0.00,0.00,nonconfident_wrong,0
15.73,-4.83,0.00,0.00,nonconfident_wrong,0
36.88,-5.82,1.25,0.18,nonconfident_right,1
3.20,-4.49,0.00,0.00,nonconfident_wrong,0
38.28,-2.31,2.73,2.47,overconfident_wrong,1
31.35,1.15,-1.66,-1.02,confident_right,1
41.55,-7.99,-1.69,2.71,overconfident_wrong,1
31.45,-2.48,0.00,0.00,nonconfident_wrong,0
29.15,-7.11,0.00,0.00,nonconfident_wrong,0
36.50,0.54,-8.10,4.74,nonconfident_wrong,1
39.92,1.03,0.42,-0.53,overconfident_wrong,1
45.59,-4.00,-2.86,-2.07,confident_right,1
10.48,-8.89,0.00,0.00,nonconfident_right,0
24.52,-1.47,0.00,0.00,nonconfident_right,0
37.92,0.05,-0.03,-0.04,confident_right,1
39.90,-0.17,0.47,-0.75,nonconfident_wrong,1
33.53,1.82,0.00,0.00,nonconfident_wrong,0
45.61,-6.94,-0.18,0.48,overconfident_wrong,1
31.49,4.68,-0.79,0.33,confident_right,1
25.22,-4.28,0.00,0.00,nonconfident_right,0
29.41,-8.79,0.00,0.00,nonconfident_wrong,0
45.21,-26.79,0.00,0.00,nonconfident_wrong,0
24.40,5.96,4.75,-5.52,overconfident_wrong,1
38.12,-4.04,0.84,-4.18,nonconfident_right,1
50.53,-15.50,-1.10,1.88,confident_right,1
45.72,-10.80,0.00,-0.11,nonconfident_wrong,1
26.76,11.15,-0.61,-1.37,nonconfident_wrong,1
43.96,-2.95,-0.07,-1.56,overconfident_wrong,1
17.27,-6.11,0.00,0.00,overconfident_wrong,0
51.10,-18.33,0.00,0.00,nonconfident_right,0
31.35,-3.71,0.00,0.00,nonconfident_wrong,0
15.38,-9.61,0.00,0.00,nonconfident_right,0
38.60,-19.62,0.00,0.00,nonconfident_wrong,0
26.27,2.68,0.00,0.00,confident_right,0
46.16,-11.52,0.00,0.00,confident_right,0
40.70,-13.26,0.00,0.00,overconfident_wrong,0
42.30,-8.29,0.00,0.00,nonconfident_wrong,0
31.42,-0.64,0.00,0.00,overconfident_wrong,0
28.12,4.52,0.00,0.00,overconfident_wrong,0
8.34,-8.38,0.00,0.00,nonconfident_right,0
15.02,1.48,0.00,0.00,confident_right,0
20.56,0.68,0.00,0.00,nonconfident_wrong,0
44.96,-18.15,0.00,0.00,overconfident_wrong,0
14.16,4.38,0.00,0.00,confident_right,0
39.99,-0.37,0.45,-0.90,nonconfident_right,1
25.01,-8.58,0.00,0.00,confident_right,0
25.67,8.39,0.73,-0.79,confident_right,1
52.39,-30.44,0.00,0.00,confident_right,0
24.60,-0.77,0.00,0.00,nonconfident_right,0
4.35,-1.91,0.00,0.00,nonconfident_wrong,0
5.08,3.21,0.00,0.00,nonconfident_wrong,0
41.83,-6.16,-0.06,-1.53,overconfident_wrong,1
21.44,10.25,-7.03,4.12,nonconfident_wrong,1
52.67,-17.24,0.00,0.00,confident_right,0
37.73,1.96,-3.52,-0.03,nonconfident_right,1
31.51,-1.65,0.00,0.00,overconfident_wrong,0
44.01,-16.50,0.00,0.00,confident_right,0
